93,79,268,128,189,132,66,201,357,78,239,123,89,65,147,256,108,320,316
126,45,313,240,317,121,134,12,286,202,163,329,278,292,68,5,43,260,324
285,166,105,49,222,11,339,7,281,251,331,20,91,342,152,106,130,247,333
96,209,194,62,180,82,41,216,360,253,125,112,131,306,95,196,69,271,312
15,195,275,264,208,304,226,33,229,118,87,169,315,289,72,176,77,215,279
172,170,277,140,37,167,232,225,354,171,204,250,109,144,58,86,97,227,302
179,217,63,137,35,234,85,158,337,310,199,141,153,50,263,148,38,321,318
178,296,55,67,22,348,90,34,350,297,259,243,155,151,266,142,8,328,110
183,64,60,120,17,143,224,305,336,246,290,154,186,184,210,80,94,334,182
356,84,54,288,44,326,57,346,235,223,211,272,168,203,31,46,18,101,303
99,61,75,14,322,219,207,23,274,361,24,351,174,200,267,10,308,325,59
40,252,244,25,98,298,81,165,347,156,205,104,36,262,175,139,115,344,287
146,83,206,138,198,117,185,173,355,193,124,150,13,192,29,213,92,345,352
136,293,273,103,220,30,159,161,309,47,214,51,157,181,254,231,122,282,299
53,177,237,133,258,221,149,3,314,270,261,301,135,269,100,127,212,265,102
284,70,257,76,228,4,39,238,343,332,42,280,73,249,9,6,338,358,294
242,48,107,323,245,335,330,295,276,52,56,340,114,341,1,32,241,74,113
21,311,28,218,19,116,27,319,255,230,162,248,88,197,307,300,160,164,349
188,129,353,187,191,16,190,26,119,327,111,291,359,145,233,71,236,283,2
