Gene1	Gene2	corVal	pValue
DMRT1	DMRT1	1	0
FGF9	FGF9	1	0
RSPO1	RSPO1	1	0
DHH	DHH	1	0
CTNNB1	CTNNB1	1	0
PGD2	PGD2	1	0
WT1mKTS	WT1mKTS	1	0
SRY	SRY	1	0
DKK1	DKK1	1	0
WNT4	WNT4	1	0
CBX2	CBX2	1	0
AMH	AMH	1	0
NR0B1	NR0B1	1	0
NR5A1	NR5A1	1	0
WT1pKTS	WT1pKTS	1	0
FOXL2	FOXL2	1	0
UGR	UGR	1	0
SOX9	SOX9	1	0
GATA4	GATA4	1	0
NR5A1	WT1pKTS	0.338825919898906	8.04274624290275e-44
WT1pKTS	NR5A1	0.338825919898906	8.04274624290333e-44
DMRT1	DKK1	0.254352852888417	8.54084526740723e-25
DKK1	DMRT1	0.254352852888417	8.54084526740809e-25
RSPO1	CTNNB1	0.238000012813404	7.9881439749526e-22
CTNNB1	RSPO1	0.238000012813403	7.98814397495289e-22
WNT4	NR0B1	0.216357748077302	3.18382555343383e-18
NR0B1	WNT4	0.216357748077302	3.18382555343406e-18
SRY	DKK1	0.211939802149329	1.55780383541415e-17
DKK1	SRY	0.211939802149329	1.55780383541425e-17
CBX2	UGR	0.189270011100914	3.11964583866672e-14
UGR	CBX2	0.189270011100914	3.11964583866675e-14
CBX2	NR5A1	0.180541124580369	4.58548330353496e-13
NR5A1	CBX2	0.180541124580369	4.58548330353508e-13
WNT4	CTNNB1	0.178000928893951	9.78082582545248e-13
CTNNB1	WNT4	0.178000928893951	9.7808258254527e-13
DMRT1	SRY	0.168695602907269	1.42790487513819e-11
SRY	DMRT1	0.168695602907269	1.42790487513822e-11
SRY	NR0B1	0.145869438566228	5.5319988022229e-09
NR0B1	SRY	0.145869438566228	5.53199880222292e-09
AMH	PGD2	0.140762284995173	1.86478947939141e-08
PGD2	AMH	0.140762284995173	1.86478947939141e-08
GATA4	WT1mKTS	0.135540433834932	6.18124945786672e-08
WT1mKTS	GATA4	0.135540433834932	6.1812494578669e-08
UGR	WT1pKTS	0.135364049867847	6.43160288558236e-08
WT1pKTS	UGR	0.135364049867846	6.43160288558239e-08
WT1mKTS	WT1pKTS	0.132034494766523	1.34801965400535e-07
WT1pKTS	WT1mKTS	0.132034494766523	1.34801965400536e-07
SOX9	DKK1	0.126014948509296	4.90862906566699e-07
DKK1	SOX9	0.126014948509296	4.90862906566715e-07
WT1pKTS	SRY	0.125906221694626	5.02186330254756e-07
SRY	WT1pKTS	0.125906221694626	5.02186330254767e-07
RSPO1	WNT4	0.123533201738921	8.22217681181751e-07
WNT4	RSPO1	0.123533201738921	8.22217681181779e-07
FGF9	DHH	0.117935275852489	2.53860736747177e-06
DHH	FGF9	0.117935275852489	2.53860736747178e-06
DHH	AMH	0.1116086587418	8.54829843841545e-06
AMH	DHH	0.1116086587418	8.54829843841545e-06
PGD2	DHH	0.10798744931203	1.66464873012083e-05
DHH	PGD2	0.10798744931203	1.66464873012085e-05
DMRT1	SOX9	0.0936718868305011	0.000189828665199681
SOX9	DMRT1	0.093671886830501	0.000189828665199684
WT1pKTS	GATA4	0.0925708432054072	0.000225915353717395
GATA4	WT1pKTS	0.0925708432054071	0.000225915353717396
PGD2	FGF9	0.0855285252003212	0.000658080651909109
FGF9	PGD2	0.0855285252003211	0.000658080651909115
CTNNB1	NR0B1	0.0840339039445104	0.000817704850922447
NR0B1	CTNNB1	0.0840339039445104	0.000817704850922449
UGR	FOXL2	0.0775721615143278	0.00201118844876667
FOXL2	UGR	0.0775721615143278	0.00201118844876667
FGF9	AMH	0.0751264005983869	0.0027814267033142
AMH	FGF9	0.0751264005983869	0.0027814267033142
SOX9	DHH	0.0737016894316105	0.00334582474947195
DHH	SOX9	0.0737016894316104	0.00334582474947199
WT1pKTS	CBX2	0.067318480639327	0.00737718961040862
CBX2	WT1pKTS	0.0673184806393269	0.00737718961040878
SOX9	NR5A1	0.0631136251654457	0.0120179046508732
NR5A1	SOX9	0.0631136251654456	0.0120179046508732
FOXL2	CTNNB1	0.0597645836207352	0.0174022482987364
CTNNB1	FOXL2	0.0597645836207351	0.0174022482987366
CBX2	GATA4	0.0562036517974523	0.02534049698497
GATA4	CBX2	0.0562036517974522	0.0253404969849701
SOX9	PGD2	0.0547171315718366	0.0294851892250255
PGD2	SOX9	0.0547171315718366	0.0294851892250256
WT1pKTS	DMRT1	0.0545194572467476	0.0300779933892148
DMRT1	WT1pKTS	0.0545194572467475	0.030077993389215
FOXL2	RSPO1	0.05177938371328	0.0394083562600844
RSPO1	FOXL2	0.05177938371328	0.0394083562600845
DKK1	WT1pKTS	0.0474849696775601	0.0589113403379877
WT1pKTS	DKK1	0.0474849696775599	0.0589113403379884
