Parent	Type	Child	Weight	Probability	Score
DMRT1	+	DMRT1	0.272950	0.106172	0.033472
FGF9	+	DMRT1	0.106615	0.078853	0.009710
RSPO1	+	DMRT1	0.138146	0.042757	0.006822
DHH	+	DMRT1	0.029739	0.042924	0.001474
CTNNB1	+	DMRT1	0.095261	0.064698	0.007119
PGD2	+	DMRT1	0.109660	0.079148	0.010025
WT1mKTS	+	DMRT1	0.038383	0.080678	0.003577
SRY	+	DMRT1	0.102959	0.080326	0.009552
DKK1	+	DMRT1	0.170720	0.089190	0.017587
WNT4	+	DMRT1	0.117908	0.054236	0.007386
CBX2	+	DMRT1	0.027188	0.069608	0.002186
AMH	+	DMRT1	0.075591	0.068442	0.005976
NR0B1	-	DMRT1	-0.123963	0.208555	-0.029861
NR5A1	+	DMRT1	0.082584	0.076049	0.007254
WT1pKTS	+	DMRT1	0.126737	0.055121	0.008069
FOXL2	-	DMRT1	-0.069022	0.108998	-0.008690
UGR	+	DMRT1	0.063251	0.079412	0.005802
SOX9	+	DMRT1	0.082765	0.071419	0.006827
GATA4	+	DMRT1	0.078916	0.055206	0.005032
DMRT1	+	FGF9	0.129140	0.118298	0.017645
FGF9	+	FGF9	0.129761	0.112404	0.016847
RSPO1	+	FGF9	0.601775	0.000000	0.000000
DHH	+	FGF9	0.047749	0.060381	0.003330
CTNNB1	+	FGF9	0.051439	0.086895	0.005163
PGD2	+	FGF9	0.042211	0.055819	0.002721
WT1mKTS	-	FGF9	-0.089502	0.133662	-0.013818
SRY	-	FGF9	-0.008167	0.041113	-0.000388
DKK1	+	FGF9	0.044035	0.061693	0.003138
WNT4	-	FGF9	-0.016697	0.085641	-0.001652
CBX2	+	FGF9	0.001506	0.063060	0.000110
AMH	+	FGF9	0.157118	0.134461	0.024401
NR0B1	+	FGF9	0.411299	0.000000	0.000000
NR5A1	+	FGF9	0.035501	0.084189	0.003452
WT1pKTS	-	FGF9	-0.015061	0.072647	-0.001264
FOXL2	+	FGF9	0.127239	0.145144	0.021331
UGR	+	FGF9	0.142482	0.157744	0.025960
SOX9	+	FGF9	0.126130	0.112327	0.016364
GATA4	+	FGF9	0.422728	0.999404	0.487970
DMRT1	+	RSPO1	0.082785	0.074575	0.007131
FGF9	+	RSPO1	0.025159	0.046176	0.001342
RSPO1	+	RSPO1	0.705110	0.000008	0.000007
DHH	-	RSPO1	-0.010027	0.038603	-0.000447
CTNNB1	+	RSPO1	0.453751	0.000000	0.000000
PGD2	+	RSPO1	0.064073	0.067483	0.004994
