Parent	Type	Child	Weight	Probability	Score
DMRT1	+	DMRT1	0.638963	1.000000	0.705413
FGF9	+	DMRT1	0.056613	0.083500	0.005219
RSPO1	+	DMRT1	0.063396	0.081608	0.005712
DHH	+	DMRT1	0.030723	0.075496	0.002561
CTNNB1	+	DMRT1	0.009034	0.040681	0.000406
PGD2	+	DMRT1	0.129436	0.094789	0.013545
WT1mKTS	+	DMRT1	0.360473	0.142014	0.056516
SRY	+	DMRT1	0.217811	0.069744	0.016771
DKK1	+	DMRT1	0.431910	0.956799	0.456227
WNT4	-	DMRT1	-0.101737	0.148805	-0.016713
CBX2	-	DMRT1	-0.185437	0.528054	-0.108104
AMH	-	DMRT1	-0.009030	0.068313	-0.000681
NR0B1	-	DMRT1	-0.011521	0.068303	-0.000869
NR5A1	-	DMRT1	-0.478060	1.000000	-0.527776
WT1pKTS	+	DMRT1	0.217657	0.039296	0.009442
FOXL2	-	DMRT1	-0.055309	0.070335	-0.004295
UGR	-	DMRT1	-0.056854	0.098196	-0.006163
SOX9	+	DMRT1	0.193554	0.098145	0.020972
GATA4	+	DMRT1	0.372010	0.170102	0.069861
DMRT1	+	FGF9	0.163398	0.000001	0.000000
FGF9	+	FGF9	0.693576	0.000000	0.000000
RSPO1	-	FGF9	-0.133791	0.887982	-0.131159
DHH	+	FGF9	0.391622	0.000000	0.000000
CTNNB1	-	FGF9	-0.020186	0.058911	-0.001313
PGD2	+	FGF9	0.735030	0.000000	0.000000
WT1mKTS	+	FGF9	0.032075	0.012542	0.000444
SRY	+	FGF9	0.261320	0.000000	0.000000
DKK1	-	FGF9	-0.053865	0.267956	-0.015934
WNT4	-	FGF9	-0.013224	0.075139	-0.001097
CBX2	-	FGF9	-0.040217	0.122957	-0.005459
AMH	+	FGF9	0.719756	0.000000	0.000000
NR0B1	-	FGF9	-0.164130	0.999459	-0.181100
NR5A1	+	FGF9	0.168751	0.000000	0.000000
WT1pKTS	+	FGF9	0.411230	0.000000	0.000000
FOXL2	+	FGF9	0.024158	0.034497	0.000920
UGR	-	FGF9	-0.002341	0.042778	-0.000111
SOX9	+	FGF9	0.135425	0.000142	0.000021
GATA4	-	FGF9	-0.058703	0.771924	-0.050027
DMRT1	+	RSPO1	0.675874	0.000000	0.000000
FGF9	-	RSPO1	-0.119515	0.721325	-0.095175
RSPO1	+	RSPO1	1.262867	0.000000	0.000000
DHH	-	RSPO1	-0.124892	0.761536	-0.105001
CTNNB1	+	RSPO1	0.709537	0.000000	0.000000
PGD2	+	RSPO1	0.012201	0.057642	0.000776
WT1mKTS	+	RSPO1	1.058391	0.000000	0.000000
SRY	+	RSPO1	0.054921	0.012202	0.000740
DKK1	+	RSPO1	0.186940	0.000000	0.000000
WNT4	+	RSPO1	0.703727	0.000000	0.000000
CBX2	+	RSPO1	0.131004	0.001030	0.000149
AMH	+	RSPO1	0.035390	0.040643	0.001588
NR0B1	-	RSPO1	-0.045584	0.202198	-0.010175
NR5A1	-	RSPO1	-0.288476	1.000000	-0.318476
WT1pKTS	+	RSPO1	0.150557	0.000000	0.000000
FOXL2	+	RSPO1	0.072342	0.033821	0.002701
UGR	-	RSPO1	-0.067292	0.197138	-0.014645
SOX9	-	RSPO1	-0.121061	0.769174	-0.102801
GATA4	+	RSPO1	0.872765	0.000000	0.000000
DMRT1	-	DHH	-0.059203	0.188429	-0.012316
FGF9	+	DHH	0.519820	0.000000	0.000000
RSPO1	-	DHH	-0.124632	0.450082	-0.061928
DHH	+	DHH	0.304594	0.000001	0.000000
CTNNB1	-	DHH	-0.022261	0.056354	-0.001385
PGD2	+	DHH	0.524819	0.000000	0.000000
WT1mKTS	+	DHH	0.143009	0.000059	0.000009
SRY	+	DHH	0.208320	0.000004	0.000001
DKK1	+	DHH	0.177068	0.000226	0.000044
WNT4	-	DHH	-0.072731	0.197199	-0.015834
CBX2	+	DHH	0.017532	0.057306	0.001109
AMH	+	DHH	0.593999	0.000000	0.000000
NR0B1	-	DHH	-0.168643	0.976695	-0.181843
NR5A1	+	DHH	0.052243	0.028508	0.001644
WT1pKTS	-	DHH	-0.162336	0.967607	-0.173413
FOXL2	-	DHH	-0.078656	0.113263	-0.009835
UGR	+	DHH	0.008746	0.045862	0.000443
SOX9	+	DHH	0.093674	0.020465	0.002116
GATA4	+	DHH	0.345623	0.000000	0.000000
DMRT1	-	CTNNB1	-0.030035	0.193267	-0.006408
FGF9	-	CTNNB1	-0.004212	0.068628	-0.000319
RSPO1	+	CTNNB1	1.695836	0.000000	0.000000
DHH	-	CTNNB1	-0.096469	0.531134	-0.056567
CTNNB1	+	CTNNB1	1.399345	0.000000	0.000000
PGD2	+	CTNNB1	0.060508	0.013667	0.000913
WT1mKTS	+	CTNNB1	0.194387	0.000000	0.000000
SRY	+	CTNNB1	1.111043	0.000000	0.000000
DKK1	-	CTNNB1	-0.032058	0.209981	-0.007432
WNT4	+	CTNNB1	0.328703	0.000000	0.000000
CBX2	+	CTNNB1	0.760082	0.000000	0.000000
AMH	+	CTNNB1	0.095855	0.002324	0.000246
NR0B1	+	CTNNB1	0.046012	0.009026	0.000459
NR5A1	+	CTNNB1	0.486837	0.000000	0.000000
WT1pKTS	+	CTNNB1	0.569655	0.000000	0.000000
FOXL2	+	CTNNB1	0.133919	0.004502	0.000666
UGR	-	CTNNB1	-0.064055	0.284752	-0.020137
SOX9	-	CTNNB1	-0.036294	0.178733	-0.007161
GATA4	-	CTNNB1	-0.090872	0.956989	-0.096007
DMRT1	+	PGD2	0.172963	0.188133	0.035924
FGF9	+	PGD2	0.343274	0.940336	0.356362
RSPO1	-	PGD2	-0.048660	0.076470	-0.004108
DHH	+	PGD2	0.399491	0.996998	0.439713
CTNNB1	+	PGD2	0.004164	0.037155	0.000171
PGD2	+	PGD2	0.299317	0.729116	0.240933
WT1mKTS	-	PGD2	-0.335095	0.500386	-0.185115
SRY	+	PGD2	0.090121	0.109220	0.010867
DKK1	-	PGD2	-0.061682	0.094432	-0.006431
WNT4	-	PGD2	-0.015474	0.062983	-0.001076
CBX2	+	PGD2	0.039949	0.075243	0.003318
AMH	+	PGD2	0.451488	0.999976	0.498428
NR0B1	-	PGD2	-0.162571	0.205346	-0.036855
NR5A1	+	PGD2	0.125060	0.133688	0.018458
WT1pKTS	+	PGD2	0.411533	0.726433	0.330041
FOXL2	-	PGD2	-0.117570	0.109065	-0.014156
UGR	-	PGD2	-0.048712	0.075487	-0.004060
SOX9	+	PGD2	0.169768	0.183012	0.034301
GATA4	-	PGD2	-0.051456	0.113521	-0.006449
DMRT1	+	WT1mKTS	0.016635	0.077175	0.001417
FGF9	+	WT1mKTS	0.007955	0.073740	0.000648
RSPO1	+	WT1mKTS	0.034315	0.080290	0.003042
DHH	+	WT1mKTS	0.020058	0.079829	0.001768
CTNNB1	+	WT1mKTS	0.011826	0.061009	0.000796
PGD2	+	WT1mKTS	0.037051	0.071986	0.002945
WT1mKTS	+	WT1mKTS	0.503835	1.000000	0.556232
SRY	+	WT1mKTS	0.032231	0.054565	0.001942
DKK1	+	WT1mKTS	0.041596	0.046571	0.002139
WNT4	+	WT1mKTS	0.005892	0.066126	0.000430
CBX2	+	WT1mKTS	0.036396	0.066835	0.002685
AMH	+	WT1mKTS	0.008188	0.072710	0.000657
NR0B1	+	WT1mKTS	0.065884	0.012892	0.000938
NR5A1	+	WT1mKTS	0.049223	0.020540	0.001116
WT1pKTS	+	WT1mKTS	0.355976	1.000000	0.392996
FOXL2	+	WT1mKTS	0.024413	0.075004	0.002021
UGR	+	WT1mKTS	0.075145	0.042091	0.003492
SOX9	+	WT1mKTS	0.015210	0.077482	0.001301
GATA4	+	WT1mKTS	0.449358	1.000000	0.496089
DMRT1	+	SRY	0.096122	0.124432	0.013204
FGF9	+	SRY	0.182472	0.330378	0.066554
RSPO1	-	SRY	-0.011122	0.051430	-0.000632
DHH	+	SRY	0.013173	0.074187	0.001079
CTNNB1	+	SRY	0.115757	0.131642	0.016823
PGD2	+	SRY	0.063461	0.098817	0.006923
WT1mKTS	-	SRY	-0.183897	0.300014	-0.060909
SRY	+	SRY	0.678090	1.000000	0.748609
DKK1	+	SRY	0.174857	0.278825	0.053825
WNT4	+	SRY	0.236154	0.795171	0.207311
CBX2	-	SRY	-0.133767	0.162999	-0.024071
AMH	-	SRY	-0.001009	0.069257	-0.000077
NR0B1	+	SRY	0.209244	0.574173	0.132636
NR5A1	+	SRY	0.006400	0.093106	0.000658
WT1pKTS	+	SRY	0.646045	1.000000	0.713231
FOXL2	-	SRY	-0.061237	0.075769	-0.005122
UGR	-	SRY	-0.258387	0.965009	-0.275277
SOX9	+	SRY	0.121655	0.146256	0.019643
GATA4	-	SRY	-0.137730	0.195909	-0.029789
DMRT1	+	DKK1	1.134751	0.000000	0.000000
FGF9	+	DKK1	0.079304	0.005509	0.000482
RSPO1	+	DKK1	0.211414	0.000000	0.000000
DHH	+	DKK1	0.071064	0.009160	0.000719
CTNNB1	-	DKK1	-0.009715	0.049480	-0.000531
PGD2	+	DKK1	0.178828	0.000000	0.000000
WT1mKTS	+	DKK1	0.841055	0.000000	0.000000
SRY	+	DKK1	0.797282	0.000000	0.000000
DKK1	+	DKK1	1.389290	0.000000	0.000000
WNT4	-	DKK1	-0.132161	0.986239	-0.143897
CBX2	-	DKK1	-0.156928	0.999814	-0.173216
AMH	-	DKK1	-0.057542	0.271268	-0.017233
NR0B1	+	DKK1	0.034853	0.026274	0.001011
NR5A1	-	DKK1	-0.276629	1.000000	-0.305397
WT1pKTS	+	DKK1	0.132267	0.000000	0.000000
FOXL2	-	DKK1	-0.029747	0.064904	-0.002131
UGR	-	DKK1	-0.063336	0.324639	-0.022700
SOX9	+	DKK1	0.518074	0.000000	0.000000
GATA4	+	DKK1	1.565827	0.000000	0.000000
DMRT1	-	WNT4	-0.120882	0.990247	-0.132152
FGF9	+	WNT4	0.022796	0.040971	0.001031
RSPO1	+	WNT4	0.785859	0.000000	0.000000
DHH	-	WNT4	-0.068736	0.405193	-0.030748
CTNNB1	+	WNT4	0.074350	0.013929	0.001143
PGD2	-	WNT4	-0.080763	0.553915	-0.049388
WT1mKTS	+	WNT4	1.200078	0.000000	0.000000
SRY	+	WNT4	1.560086	0.000000	0.000000
DKK1	-	WNT4	-0.152215	0.999715	-0.167997
WNT4	+	WNT4	2.282042	0.000000	0.000000
CBX2	+	WNT4	0.468480	0.000000	0.000000
AMH	-	WNT4	-0.047188	0.226473	-0.011798
NR0B1	+	WNT4	1.061798	0.000000	0.000000
NR5A1	-	WNT4	-0.053111	0.697201	-0.040880
WT1pKTS	+	WNT4	0.071720	0.000000	0.000000
FOXL2	+	WNT4	0.058940	0.025524	0.001661
UGR	-	WNT4	-0.078338	0.429688	-0.037162
SOX9	-	WNT4	-0.134825	0.993435	-0.147869
GATA4	+	WNT4	0.998029	0.000000	0.000000
DMRT1	-	CBX2	-0.186775	0.999795	-0.206157
FGF9	-	CBX2	-0.054522	0.185498	-0.011166
RSPO1	+	CBX2	0.050990	0.031211	0.001757
DHH	+	CBX2	0.081543	0.014739	0.001327
CTNNB1	+	CBX2	0.114213	0.008334	0.001051
PGD2	+	CBX2	0.063279	0.023253	0.001624
WT1mKTS	+	CBX2	1.974395	0.000000	0.000000
SRY	-	CBX2	-0.161310	0.999178	-0.177939
DKK1	-	CBX2	-0.249028	1.000000	-0.274926
WNT4	+	CBX2	0.258818	0.000000	0.000000
CBX2	+	CBX2	1.117815	0.000000	0.000000
AMH	-	CBX2	-0.120975	0.710250	-0.094858
NR0B1	-	CBX2	-0.027162	0.132060	-0.003960
NR5A1	+	CBX2	1.077322	0.000000	0.000000
WT1pKTS	+	CBX2	0.165680	0.000000	0.000000
FOXL2	+	CBX2	0.308955	0.000001	0.000000
UGR	+	CBX2	1.270545	0.000000	0.000000
SOX9	-	CBX2	-0.188989	0.998328	-0.208294
GATA4	+	CBX2	1.252750	0.000000	0.000000
DMRT1	+	AMH	0.007386	0.049556	0.000404
FGF9	+	AMH	1.648194	0.000000	0.000000
RSPO1	-	AMH	-0.030405	0.130493	-0.004380
DHH	+	AMH	1.249276	0.000000	0.000000
CTNNB1	+	AMH	0.026228	0.021491	0.000622
PGD2	+	AMH	1.754042	0.000000	0.000000
WT1mKTS	+	AMH	0.001645	0.019660	0.000036
SRY	+	AMH	1.339248	0.000000	0.000000
DKK1	+	AMH	0.340378	0.000000	0.000000
WNT4	-	AMH	-0.016806	0.117310	-0.002177
CBX2	+	AMH	0.036625	0.012190	0.000493
AMH	+	AMH	1.616832	0.000000	0.000000
NR0B1	-	AMH	-0.175192	1.000000	-0.193411
NR5A1	+	AMH	0.973250	0.000000	0.000000
WT1pKTS	+	AMH	1.088330	0.000000	0.000000
FOXL2	-	AMH	-0.021494	0.062726	-0.001488
UGR	-	AMH	-0.048433	0.293511	-0.015694
SOX9	+	AMH	0.801412	0.000000	0.000000
GATA4	+	AMH	0.599177	0.000000	0.000000
DMRT1	-	NR0B1	-0.033310	0.086488	-0.003181
FGF9	-	NR0B1	-0.154297	0.174105	-0.029658
RSPO1	-	NR0B1	-0.026461	0.055534	-0.001622
DHH	-	NR0B1	-0.183992	0.230369	-0.046794
CTNNB1	+	NR0B1	0.036004	0.054440	0.002164
PGD2	-	NR0B1	-0.184210	0.229803	-0.046734
WT1mKTS	+	NR0B1	0.229697	0.070167	0.017793
SRY	+	NR0B1	0.461676	0.912601	0.465142
DKK1	-	NR0B1	-0.012155	0.080131	-0.001075
WNT4	+	NR0B1	0.294204	0.243080	0.078952
CBX2	+	NR0B1	0.779686	0.000000	0.000000
AMH	-	NR0B1	-0.185954	0.235399	-0.048326
NR0B1	+	NR0B1	0.822702	1.000000	0.908260
NR5A1	+	NR0B1	0.068813	0.088011	0.006686
WT1pKTS	+	NR0B1	0.238157	0.071669	0.018844
FOXL2	+	NR0B1	0.045292	0.051619	0.002581
UGR	-	NR0B1	-0.039953	0.072800	-0.003211
SOX9	+	NR0B1	0.079500	0.087334	0.007665
GATA4	+	NR0B1	0.135642	0.070776	0.010599
DMRT1	-	NR5A1	-0.167706	0.999895	-0.185128
FGF9	+	NR5A1	0.080982	0.022271	0.001991
RSPO1	-	NR5A1	-0.106244	0.637159	-0.074735
DHH	+	NR5A1	0.005167	0.069343	0.000396
CTNNB1	+	NR5A1	0.032722	0.051376	0.001856
PGD2	+	NR5A1	0.194499	0.000009	0.000002
WT1mKTS	+	NR5A1	0.263049	0.000000	0.000000
SRY	+	NR5A1	0.063297	0.015983	0.001117
DKK1	-	NR5A1	-0.113805	0.920578	-0.115662
WNT4	-	NR5A1	-0.043735	0.154223	-0.007446
CBX2	+	NR5A1	0.027692	0.057522	0.001759
AMH	+	NR5A1	0.071869	0.028782	0.002284
NR0B1	+	NR5A1	0.088114	0.005447	0.000530
NR5A1	+	NR5A1	1.175068	0.000000	0.000000
WT1pKTS	+	NR5A1	0.731970	0.000000	0.000000
FOXL2	+	NR5A1	0.041003	0.052450	0.002374
UGR	+	NR5A1	0.078140	0.019384	0.001672
SOX9	+	NR5A1	0.065936	0.028461	0.002072
GATA4	+	NR5A1	0.255546	0.000000	0.000000
DMRT1	+	WT1pKTS	0.039387	0.049780	0.002165
FGF9	+	WT1pKTS	0.022033	0.079293	0.001929
RSPO1	+	WT1pKTS	0.026920	0.080938	0.002405
DHH	+	WT1pKTS	0.016145	0.078511	0.001399
CTNNB1	+	WT1pKTS	0.022794	0.077902	0.001960
PGD2	+	WT1pKTS	0.016902	0.078431	0.001464
WT1mKTS	+	WT1pKTS	0.367103	1.000000	0.405280
SRY	+	WT1pKTS	0.040434	0.042192	0.001883
DKK1	+	WT1pKTS	0.022031	0.073004	0.001776
WNT4	+	WT1pKTS	0.013214	0.073821	0.001077
CBX2	+	WT1pKTS	0.025874	0.075179	0.002147
AMH	+	WT1pKTS	0.000794	0.068666	0.000060
NR0B1	+	WT1pKTS	0.054739	0.023736	0.001434
