Gene1	Gene2	corVal	pValue
DMRT1	DMRT1	1	0
FGF9	FGF9	1	0
RSPO1	RSPO1	1	0
DHH	DHH	1	0
CTNNB1	CTNNB1	1	0
PGD2	PGD2	1	0
WT1mKTS	WT1mKTS	1	0
SRY	SRY	1	0
DKK1	DKK1	1	0
WNT4	WNT4	1	0
CBX2	CBX2	1	0
AMH	AMH	1	0
NR0B1	NR0B1	1	0
NR5A1	NR5A1	1	0
WT1pKTS	WT1pKTS	1	0
FOXL2	FOXL2	1	0
UGR	UGR	1	0
SOX9	SOX9	1	0
GATA4	GATA4	1	0
NR5A1	WT1pKTS	0.385970005908384	2.16057949760149e-57
WT1pKTS	NR5A1	0.385970005908383	2.16057949760158e-57
DKK1	DMRT1	0.286615950421302	2.59188453415059e-31
DMRT1	DKK1	0.286615950421302	2.59188453415081e-31
RSPO1	CTNNB1	0.234114745171377	3.76994184699666e-21
CTNNB1	RSPO1	0.234114745171377	3.76994184699677e-21
WNT4	NR0B1	0.226514772281167	7.23662896009188e-20
NR0B1	WNT4	0.226514772281167	7.23662896009225e-20
SRY	DKK1	0.19912670557336	1.2790961538456e-15
DKK1	SRY	0.19912670557336	1.27909615384566e-15
DMRT1	SRY	0.186251295873879	8.02143823918726e-14
SRY	DMRT1	0.186251295873879	8.02143823918788e-14
WNT4	CTNNB1	0.1854375624031	1.03190645435054e-13
CTNNB1	WNT4	0.1854375624031	1.03190645435057e-13
UGR	CBX2	0.183945716693711	1.63265832047947e-13
CBX2	UGR	0.183945716693711	1.63265832047953e-13
CBX2	NR5A1	0.157138024752691	3.25347849702926e-10
NR5A1	CBX2	0.157138024752691	3.25347849702932e-10
SRY	NR0B1	0.139027662186198	2.79033787222143e-08
NR0B1	SRY	0.139027662186198	2.79033787222147e-08
RSPO1	WNT4	0.131614256926034	1.47810119857038e-07
WNT4	RSPO1	0.131614256926033	1.47810119857046e-07
DHH	FGF9	0.130219422127481	2.00266253062723e-07
FGF9	DHH	0.130219422127481	2.00266253062727e-07
GATA4	WT1mKTS	0.12509270354451	5.95267490307666e-07
WT1mKTS	GATA4	0.12509270354451	5.95267490307679e-07
SOX9	DKK1	0.119095748686088	2.01781704653605e-06
DKK1	SOX9	0.119095748686088	2.01781704653606e-06
WT1pKTS	WT1mKTS	0.1148781280026	4.6007626402406e-06
WT1mKTS	WT1pKTS	0.1148781280026	4.60076264024064e-06
AMH	DHH	0.111964132266155	7.99802599459668e-06
DHH	AMH	0.111964132266155	7.99802599459671e-06
PGD2	DHH	0.111318167052138	9.02463746491814e-06
DHH	PGD2	0.111318167052138	9.02463746491824e-06
GATA4	WT1pKTS	0.110637563712271	1.02418796428815e-05
WT1pKTS	GATA4	0.110637563712271	1.02418796428815e-05
WT1pKTS	UGR	0.110568326570803	1.03741348988688e-05
UGR	WT1pKTS	0.110568326570803	1.0374134898869e-05
WT1pKTS	SRY	0.108939175690885	1.39997338530606e-05
SRY	WT1pKTS	0.108939175690884	1.39997338530613e-05
AMH	PGD2	0.107491244766917	1.82090018208906e-05
PGD2	AMH	0.107491244766916	1.8209001820891e-05
CTNNB1	NR0B1	0.101912442779788	4.8620578799941e-05
NR0B1	CTNNB1	0.101912442779788	4.86205787999413e-05
DMRT1	SOX9	0.101689210868838	5.05182305264657e-05
SOX9	DMRT1	0.101689210868838	5.05182305264658e-05
DMRT1	WT1pKTS	0.092625227408631	0.000223991446176756
WT1pKTS	DMRT1	0.0926252274086309	0.000223991446176759
SOX9	NR5A1	0.0844770423969736	0.000766984049594953
NR5A1	SOX9	0.0844770423969735	0.000766984049594958
FGF9	AMH	0.0828778511696888	0.000965023824894919
AMH	FGF9	0.0828778511696888	0.000965023824894927
CTNNB1	FOXL2	0.0783826725069837	0.00180271606462428
FOXL2	CTNNB1	0.0783826725069837	0.00180271606462429
PGD2	FGF9	0.0782786287851198	0.00182831944517528
FGF9	PGD2	0.0782786287851197	0.00182831944517532
SOX9	DHH	0.0776890356297328	0.00197982202963161
DHH	SOX9	0.0776890356297328	0.00197982202963161
WT1pKTS	CBX2	0.0692182319897864	0.0058672311736333
CBX2	WT1pKTS	0.0692182319897863	0.00586723117363335
CBX2	GATA4	0.0559956941556356	0.0258881770417879
GATA4	CBX2	0.0559956941556356	0.025888177041788
FOXL2	UGR	0.0505237705120796	0.0444437211807897
UGR	FOXL2	0.0505237705120795	0.04444372118079
UGR	WT1mKTS	0.0473406812623276	0.0596856715722641
WT1mKTS	UGR	0.0473406812623276	0.0596856715722645
NR0B1	FOXL2	0.0451800844099201	0.0723237654440954
FOXL2	NR0B1	0.04518008440992	0.0723237654440963
DKK1	WT1pKTS	0.0435855921570019	0.0829906784362484
WT1pKTS	DKK1	0.0435855921570019	0.0829906784362487
