Parent	Type	Child	Weight	Probability	Score
DMRT1	+	DMRT1	0.554306	0.999999	0.727622
FGF9	+	DMRT1	0.020245	0.073588	0.001956
RSPO1	+	DMRT1	0.081763	0.088334	0.009481
DHH	+	DMRT1	0.039902	0.079700	0.004175
CTNNB1	-	DMRT1	-0.024625	0.050965	-0.001647
PGD2	+	DMRT1	0.044599	0.081028	0.004744
WT1mKTS	+	DMRT1	0.270602	0.078735	0.027967
SRY	+	DMRT1	0.127936	0.081631	0.013709
DKK1	+	DMRT1	0.502739	0.999793	0.659796
WNT4	-	DMRT1	-0.141710	0.223348	-0.041547
CBX2	-	DMRT1	-0.163595	0.317767	-0.068239
AMH	+	DMRT1	0.086584	0.092300	0.010491
NR0B1	+	DMRT1	0.005046	0.065312	0.000433
NR5A1	-	DMRT1	-0.533150	1.000000	-0.699851
WT1pKTS	+	DMRT1	0.376414	0.323895	0.160039
FOXL2	-	DMRT1	-0.127737	0.132939	-0.022291
UGR	-	DMRT1	-0.063033	0.102363	-0.008470
SOX9	+	DMRT1	0.278174	0.216573	0.079082
GATA4	+	DMRT1	0.434556	0.715575	0.408185
DMRT1	+	FGF9	0.014430	0.077847	0.001475
FGF9	+	FGF9	0.394055	0.998715	0.516601
RSPO1	-	FGF9	-0.127775	0.144197	-0.024186
DHH	+	FGF9	0.364947	0.991818	0.475137
CTNNB1	-	FGF9	-0.047472	0.072728	-0.004532
PGD2	+	FGF9	0.394500	0.998988	0.517325
WT1mKTS	-	FGF9	-0.164337	0.181218	-0.039093
SRY	+	FGF9	0.287274	0.854316	0.322160
DKK1	-	FGF9	-0.011383	0.077944	-0.001165
WNT4	-	FGF9	-0.031124	0.074099	-0.003027
CBX2	-	FGF9	-0.035191	0.069584	-0.003214
AMH	+	FGF9	0.327504	0.946209	0.406780
NR0B1	-	FGF9	-0.190225	0.281684	-0.070337
NR5A1	+	FGF9	0.090789	0.115426	0.013756
WT1pKTS	+	FGF9	0.528154	0.978661	0.678499
FOXL2	+	FGF9	0.060276	0.070873	0.005608
UGR	+	FGF9	0.033622	0.067645	0.002985
SOX9	+	FGF9	0.083230	0.107770	0.011774
GATA4	-	FGF9	-0.335622	0.569457	-0.250881
DMRT1	+	RSPO1	0.575786	0.000000	0.000000
FGF9	-	RSPO1	-0.194401	0.991544	-0.253027
RSPO1	+	RSPO1	1.353581	0.000000	0.000000
DHH	-	RSPO1	-0.105656	0.500531	-0.069420
CTNNB1	+	RSPO1	1.138892	0.000000	0.000000
PGD2	+	RSPO1	0.263077	0.000000	0.000000
WT1mKTS	+	RSPO1	1.284929	0.000000	0.000000
SRY	+	RSPO1	0.058179	0.007119	0.000544
DKK1	+	RSPO1	0.276333	0.000000	0.000000
WNT4	+	RSPO1	0.907929	0.000000	0.000000
CBX2	+	RSPO1	0.640573	0.000000	0.000000
AMH	-	RSPO1	-0.022061	0.096126	-0.002784
NR0B1	+	RSPO1	0.032507	0.028488	0.001216
NR5A1	-	RSPO1	-0.332451	1.000000	-0.436399
WT1pKTS	-	RSPO1	-0.051933	0.935997	-0.063808
FOXL2	+	RSPO1	0.004437	0.032712	0.000191
UGR	-	RSPO1	-0.106781	0.605003	-0.084802
SOX9	-	RSPO1	-0.124531	0.798024	-0.130452
GATA4	+	RSPO1	1.537311	0.000000	0.000000
DMRT1	+	DHH	0.065025	0.078285	0.006682
FGF9	+	DHH	0.485118	0.982261	0.625505
RSPO1	-	DHH	-0.085463	0.118949	-0.013344
DHH	+	DHH	0.288792	0.127090	0.048178
CTNNB1	-	DHH	-0.046432	0.073183	-0.004461
PGD2	+	DHH	0.408433	0.628037	0.336715
WT1mKTS	+	DHH	0.434779	0.068728	0.039225
SRY	+	DHH	0.283968	0.035228	0.013132
DKK1	-	DHH	-0.062916	0.109846	-0.009072
WNT4	-	DHH	-0.076508	0.119496	-0.012001
CBX2	+	DHH	0.057436	0.083425	0.006290
AMH	+	DHH	0.380897	0.433528	0.216761
NR0B1	-	DHH	-0.216287	0.796786	-0.226219
NR5A1	+	DHH	0.057382	0.077890	0.005867
WT1pKTS	-	DHH	-0.499705	0.996893	-0.653912
FOXL2	-	DHH	-0.130841	0.133847	-0.022988
UGR	+	DHH	0.036754	0.071407	0.003445
SOX9	+	DHH	0.111288	0.078833	0.011516
GATA4	+	DHH	0.322015	0.035586	0.015042
DMRT1	-	CTNNB1	-0.209384	0.192292	-0.052852
FGF9	-	CTNNB1	-0.124366	0.106972	-0.017463
RSPO1	+	CTNNB1	0.517372	0.999994	0.679136
DHH	-	CTNNB1	-0.053811	0.079187	-0.005594
CTNNB1	+	CTNNB1	0.513596	0.999911	0.674123
PGD2	+	CTNNB1	0.195465	0.146877	0.037686
WT1mKTS	-	CTNNB1	-0.115932	0.124923	-0.019011
SRY	+	CTNNB1	0.283781	0.384438	0.143208
DKK1	-	CTNNB1	-0.021696	0.083937	-0.002391
WNT4	+	CTNNB1	0.082845	0.096257	0.010468
CBX2	+	CTNNB1	0.116443	0.113107	0.017289
AMH	-	CTNNB1	-0.016031	0.065697	-0.001382
NR0B1	+	CTNNB1	0.082233	0.100100	0.010805
NR5A1	+	CTNNB1	0.031614	0.091729	0.003807
WT1pKTS	+	CTNNB1	0.393987	0.482297	0.249432
FOXL2	+	CTNNB1	0.082051	0.072471	0.007806
UGR	-	CTNNB1	-0.052282	0.067676	-0.004645
SOX9	-	CTNNB1	-0.016387	0.072666	-0.001563
GATA4	-	CTNNB1	-0.221871	0.179111	-0.052165
DMRT1	+	PGD2	0.097752	0.064605	0.008290
FGF9	+	PGD2	0.423493	0.162896	0.090555
RSPO1	-	PGD2	-0.027542	0.059894	-0.002165
DHH	+	PGD2	0.411853	0.130910	0.070774
CTNNB1	-	PGD2	-0.053718	0.081758	-0.005765
PGD2	+	PGD2	0.340386	0.055054	0.024599
WT1mKTS	-	PGD2	-0.079426	0.220777	-0.023018
SRY	+	PGD2	0.082410	0.068212	0.007379
DKK1	+	PGD2	0.017812	0.080116	0.001873
WNT4	-	PGD2	-0.023460	0.070102	-0.002159
CBX2	+	PGD2	0.106863	0.081805	0.011475
AMH	+	PGD2	0.427736	0.183768	0.103182
NR0B1	-	PGD2	-0.169156	0.537065	-0.119254
NR5A1	+	PGD2	0.038057	0.079245	0.003959
WT1pKTS	+	PGD2	0.175603	0.024819	0.005721
FOXL2	-	PGD2	-0.062400	0.074366	-0.006091
UGR	-	PGD2	-0.101717	0.141459	-0.018888
SOX9	+	PGD2	0.174780	0.043504	0.009981
GATA4	+	PGD2	0.042025	0.077808	0.004292
DMRT1	+	WT1mKTS	0.059661	0.021205	0.001661
FGF9	+	WT1mKTS	0.005471	0.072220	0.000519
RSPO1	+	WT1mKTS	0.030124	0.077817	0.003077
DHH	+	WT1mKTS	0.045321	0.058786	0.003497
CTNNB1	+	WT1mKTS	0.011746	0.056462	0.000871
PGD2	+	WT1mKTS	0.022594	0.076119	0.002258
WT1mKTS	+	WT1mKTS	0.620215	1.000000	0.814139
SRY	+	WT1mKTS	0.048032	0.030633	0.001931
DKK1	+	WT1mKTS	0.025980	0.067323	0.002296
WNT4	+	WT1mKTS	0.037810	0.062783	0.003116
CBX2	+	WT1mKTS	0.025496	0.073301	0.002453
AMH	+	WT1mKTS	0.008664	0.071218	0.000810
NR0B1	+	WT1mKTS	0.059343	0.020485	0.001596
NR5A1	+	WT1mKTS	0.065415	0.007613	0.000654
WT1pKTS	+	WT1mKTS	0.307711	0.994682	0.401775
FOXL2	+	WT1mKTS	0.032371	0.077156	0.003279
UGR	+	WT1mKTS	0.098221	0.014999	0.001934
SOX9	-	WT1mKTS	-0.002016	0.076592	-0.000203
GATA4	+	WT1mKTS	0.424675	1.000000	0.557459
DMRT1	+	SRY	0.078346	0.110784	0.011393
FGF9	+	SRY	0.173601	0.242797	0.055329
RSPO1	+	SRY	0.068053	0.095747	0.008553
DHH	-	SRY	-0.005508	0.073251	-0.000530
CTNNB1	+	SRY	0.095061	0.110131	0.013743
PGD2	+	SRY	0.053334	0.092327	0.006464
WT1mKTS	+	SRY	0.218165	0.431158	0.123475
SRY	+	SRY	0.499523	1.000000	0.655710
DKK1	+	SRY	0.230538	0.598658	0.181166
WNT4	+	SRY	0.259896	0.892135	0.304359
CBX2	-	SRY	-0.144142	0.173989	-0.032921
AMH	+	SRY	0.135057	0.156923	0.027820
NR0B1	+	SRY	0.288700	0.984137	0.372957
NR5A1	+	SRY	0.046745	0.102090	0.006264
WT1pKTS	+	SRY	0.512722	0.999998	0.673034
FOXL2	-	SRY	-0.049216	0.064743	-0.004183
UGR	-	SRY	-0.309972	0.999747	-0.406788
SOX9	+	SRY	0.151526	0.184692	0.036736
GATA4	-	SRY	-0.300904	0.749695	-0.296121
DMRT1	+	DKK1	1.250350	0.000000	0.000000
FGF9	+	DKK1	0.107902	0.000838	0.000119
RSPO1	+	DKK1	0.120964	0.002631	0.000418
DHH	+	DKK1	0.072966	0.009493	0.000909
CTNNB1	-	DKK1	-0.036621	0.091991	-0.004422
PGD2	+	DKK1	0.036724	0.035504	0.001712
WT1mKTS	+	DKK1	0.927410	0.000000	0.000000
SRY	+	DKK1	0.640257	0.000000	0.000000
DKK1	+	DKK1	1.204549	0.000000	0.000000
WNT4	-	DKK1	-0.131963	0.963320	-0.166870
CBX2	-	DKK1	-0.163503	0.999739	-0.214570
AMH	+	DKK1	0.007080	0.060249	0.000560
NR0B1	+	DKK1	0.079795	0.002653	0.000278
NR5A1	-	DKK1	-0.285551	1.000000	-0.374835
WT1pKTS	+	DKK1	0.149742	0.000000	0.000000
FOXL2	-	DKK1	-0.032112	0.065418	-0.002758
UGR	-	DKK1	-0.048019	0.178670	-0.011262
SOX9	+	DKK1	0.378322	0.000000	0.000000
GATA4	+	DKK1	1.330061	0.000000	0.000000
DMRT1	-	WNT4	-0.150871	0.992602	-0.196579
FGF9	-	WNT4	-0.015388	0.091206	-0.001842
RSPO1	+	WNT4	0.345272	0.000000	0.000000
DHH	-	WNT4	-0.040534	0.148520	-0.007902
CTNNB1	+	WNT4	0.152473	0.002365	0.000473
PGD2	-	WNT4	-0.041110	0.150357	-0.008114
WT1mKTS	+	WNT4	0.786147	0.000000	0.000000
SRY	+	WNT4	1.366771	0.000000	0.000000
DKK1	-	WNT4	-0.179234	0.999554	-0.235171
WNT4	+	WNT4	1.717745	0.000000	0.000000
CBX2	+	WNT4	0.204621	0.000000	0.000000
AMH	-	WNT4	-0.100494	0.592925	-0.078216
NR0B1	+	WNT4	0.270850	0.000000	0.000000
NR5A1	+	WNT4	0.515863	0.000000	0.000000
WT1pKTS	+	WNT4	0.123950	0.000000	0.000000
FOXL2	+	WNT4	0.066476	0.035860	0.003129
UGR	-	WNT4	-0.062395	0.181484	-0.014864
SOX9	-	WNT4	-0.144760	0.975100	-0.185291
GATA4	+	WNT4	0.896725	0.000000	0.000000
DMRT1	-	CBX2	-0.252886	0.296706	-0.098493
FGF9	+	CBX2	0.014246	0.069252	0.001295
RSPO1	+	CBX2	0.073540	0.084969	0.008202
DHH	+	CBX2	0.088302	0.092340	0.010703
CTNNB1	+	CBX2	0.117218	0.103626	0.015945
PGD2	-	CBX2	-0.018960	0.069971	-0.001741
WT1mKTS	+	CBX2	0.753468	1.000000	0.989057
SRY	-	CBX2	-0.421680	0.978140	-0.541428
DKK1	-	CBX2	-0.176198	0.155358	-0.035933
WNT4	+	CBX2	0.256743	0.357657	0.120537
CBX2	+	CBX2	0.374285	0.883903	0.434273
AMH	-	CBX2	-0.167988	0.138545	-0.030551
NR0B1	+	CBX2	0.012248	0.068163	0.001096
NR5A1	+	CBX2	0.412088	0.947194	0.512371
WT1pKTS	-	CBX2	-0.402209	0.748529	-0.395200
FOXL2	+	CBX2	0.228560	0.172600	0.051784
UGR	+	CBX2	0.464463	0.999893	0.609622
SOX9	-	CBX2	-0.180425	0.148725	-0.035224
GATA4	+	CBX2	0.355053	0.695744	0.324264
DMRT1	-	AMH	-0.007822	0.094300	-0.000968
FGF9	+	AMH	0.882595	0.000000	0.000000
RSPO1	+	AMH	0.009060	0.037036	0.000440
DHH	+	AMH	0.746858	0.000000	0.000000
CTNNB1	+	AMH	0.028689	0.035906	0.001352
PGD2	+	AMH	0.967629	0.000000	0.000000
WT1mKTS	-	AMH	-0.059217	0.885113	-0.068802
SRY	+	AMH	0.831969	0.000000	0.000000
DKK1	+	AMH	0.014467	0.051852	0.000985
WNT4	-	AMH	-0.011166	0.071451	-0.001047
CBX2	+	AMH	0.085319	0.007838	0.000878
AMH	+	AMH	0.984013	0.000000	0.000000
NR0B1	-	AMH	-0.234442	1.000000	-0.307746
NR5A1	+	AMH	0.084685	0.000062	0.000007
WT1pKTS	+	AMH	0.349370	0.000000	0.000000
FOXL2	-	AMH	-0.010050	0.037851	-0.000499
UGR	-	AMH	-0.061108	0.196807	-0.015787
SOX9	+	AMH	0.246781	0.000000	0.000000
GATA4	+	AMH	0.330252	0.000000	0.000000
DMRT1	-	NR0B1	-0.026021	0.080762	-0.002759
FGF9	-	NR0B1	-0.162816	0.143043	-0.030572
RSPO1	+	NR0B1	0.001017	0.045406	0.000061
DHH	-	NR0B1	-0.152375	0.135279	-0.027058
CTNNB1	+	NR0B1	0.058881	0.073298	0.005665
PGD2	-	NR0B1	-0.240853	0.276067	-0.087281
WT1mKTS	-	NR0B1	-0.094649	0.135264	-0.016806
SRY	+	NR0B1	0.522002	0.999998	0.685216
DKK1	-	NR0B1	-0.022091	0.080940	-0.002347
WNT4	+	NR0B1	0.238198	0.328747	0.102792
CBX2	+	NR0B1	0.641438	0.000000	0.000000
AMH	-	NR0B1	-0.233576	0.258749	-0.079335
NR0B1	+	NR0B1	0.761805	1.000000	1.000000
NR5A1	+	NR0B1	0.045522	0.097914	0.005851
WT1pKTS	+	NR0B1	0.016575	0.115772	0.002519
FOXL2	+	NR0B1	0.107191	0.090776	0.012773
UGR	-	NR0B1	-0.029534	0.059355	-0.002301
SOX9	+	NR0B1	0.137768	0.124741	0.022559
GATA4	+	NR0B1	0.553978	0.999986	0.727182
DMRT1	-	NR5A1	-0.125804	0.997311	-0.164696
FGF9	+	NR5A1	0.089618	0.006702	0.000788
RSPO1	-	NR5A1	-0.112915	0.860953	-0.127611
DHH	+	NR5A1	0.072393	0.015670	0.001489
CTNNB1	+	NR5A1	0.033437	0.046406	0.002037
PGD2	+	NR5A1	0.209523	0.000000	0.000000
WT1mKTS	+	NR5A1	0.854435	0.000000	0.000000
SRY	+	NR5A1	0.089132	0.000711	0.000083
DKK1	-	NR5A1	-0.101554	0.945951	-0.126102
WNT4	-	NR5A1	-0.023344	0.101023	-0.003096
CBX2	+	NR5A1	0.012832	0.058746	0.000989
