	AMH	CBX2	CTNNB1	DHH	DKK1	DMRT1	FGF9	FOXL2	GATA4	NR0B1	NR5A1	PGD2	RSPO1	SOX9	SRY	UGR	WNT4	WT1mKTS	WT1pKTS
AMH	1.0	-0.33605110455881904	-0.39143551723619385	0.8329787047503465	0.44490206758164474	0.46708744984776057	0.8362091503390336	-0.3552956742573155	-0.0601768721403277	-0.3655805149240383	0.2829099068897164	0.8287646277793166	-0.405092195923787	0.703404691726979	0.3145334110397104	-0.254613271105369	-0.417194012087311	-0.036070071332630786	0.14126982003762442
CBX2	-0.33605110455881904	1.0	-0.2087286291579958	-0.33955758539306635	-0.2973666859288379	-0.33433456385667054	-0.3367226122876645	-0.272068553793329	0.01800049672176391	-0.11408270987226542	0.19899975978950296	-0.35977400838043533	-0.20829321345820836	-0.33953425977793	-0.12435860026708236	0.6184006386078719	0.017397763884444018	-0.03754328473238158	0.059610376711237534
CTNNB1	-0.39143551723619385	-0.2087286291579958	1.0	-0.39280787328667044	-0.4205654302651416	-0.4275648239816989	-0.40990995132201097	0.7775954303404407	0.009385382624099988	0.2856989604755111	-0.4015396537634731	-0.3963232887626204	0.685156722076951	-0.42972271408433343	-0.41702578936249113	-0.1919518084611708	0.4931115030602497	-0.007570071266169374	-0.30385864386341677
DHH	0.8329787047503465	-0.33955758539306635	-0.39280787328667044	1.0	0.45913899709109246	0.457228869441597	0.8338093876931558	-0.36018864776105985	-0.04198371347908963	-0.3568184058242805	0.2921120771029919	0.8371370056478085	-0.4067448223984648	0.7104929653535753	0.3175771473215375	-0.25253171975519983	-0.42857586551355686	-0.024221506167798744	0.14322555644014978
DKK1	0.44490206758164474	-0.2973666859288379	-0.4205654302651416	0.45913899709109246	1.0	0.4932393234881113	0.47361100453750027	-0.3906149966325128	-0.03717542675447793	-0.18386838298974706	0.13691225653483688	0.4684150563604243	-0.3686334885225816	0.48470396766603396	0.3692893606802645	-0.24836340600022683	-0.35667959204903976	-0.019795046599385382	0.1835907807375848
DMRT1	0.46708744984776057	-0.33433456385667054	-0.4275648239816989	0.457228869441597	0.4932393234881113	1.0	0.4577679096781176	-0.3870803890513876	-0.055350242662521164	-0.13676858746837728	0.1296040757646126	0.47906037194941636	-0.3424817888042583	0.49786478759728914	0.37210914779396864	-0.27337681676521985	-0.3512176345741121	-0.018687312423949304	0.1633658962537183
FGF9	0.8362091503390336	-0.3367226122876645	-0.40990995132201097	0.8338093876931558	0.47361100453750027	0.4577679096781176	1.0	-0.36191702167037476	-0.04651792199750213	-0.370444142997718	0.29599267542361823	0.8379912570565001	-0.39974619825034197	0.7075647038860734	0.32591611054958297	-0.26927758885701136	-0.42867813989144643	-0.012477563379188952	0.12984230664860313
FOXL2	-0.3552956742573155	-0.272068553793329	0.7775954303404407	-0.36018864776105985	-0.3906149966325128	-0.3870803890513876	-0.36191702167037476	1.0	0.012251797553507238	0.2721253562087145	-0.3963652302621744	-0.35761738149642625	0.6685058555791443	-0.3860870595393896	-0.40564793747521155	-0.1947484905320629	0.4481529287129429	0.00014500395543051234	-0.3590006878922433
GATA4	-0.0601768721403277	0.01800049672176391	0.009385382624099988	-0.04198371347908963	-0.03717542675447793	-0.055350242662521164	-0.04651792199750213	0.012251797553507238	1.0	-0.04403972265439232	-0.02400956043282858	-0.0448346570206741	-0.008892828677825093	-0.07226699837623746	-0.035443631382503914	0.026209890702169066	0.007424836838081267	0.013965531023100256	-0.024949553414511928
NR0B1	-0.3655805149240383	-0.11408270987226542	0.2856989604755111	-0.3568184058242805	-0.18386838298974706	-0.13676858746837728	-0.370444142997718	0.2721253562087145	-0.04403972265439232	1.0	-0.2466949829700898	-0.3498753990884039	0.28441953766681793	-0.2669652470020861	-0.10656162497879818	-0.157009742146224	0.2342968012038627	0.013074303289919643	-0.08763848051809528
NR5A1	0.2829099068897164	0.19899975978950296	-0.4015396537634731	0.2921120771029919	0.13691225653483688	0.1296040757646126	0.29599267542361823	-0.3963652302621744	-0.02400956043282858	-0.2466949829700898	1.0	0.28382183033474545	-0.3815580677495682	0.29543410132224535	0.13122103882091515	0.14929952739298766	-0.28005413703953447	0.0012229079999279964	0.15726236072162483
PGD2	0.8287646277793166	-0.35977400838043533	-0.3963232887626204	0.8371370056478085	0.4684150563604243	0.47906037194941636	0.8379912570565001	-0.35761738149642625	-0.0448346570206741	-0.3498753990884039	0.28382183033474545	1.0	-0.4101267920852126	0.7214917888880142	0.32159427737188545	-0.2800232933049856	-0.4366273010808022	-0.031284944581084426	0.152064324421998
RSPO1	-0.405092195923787	-0.20829321345820836	0.685156722076951	-0.4067448223984648	-0.3686334885225816	-0.3424817888042583	-0.39974619825034197	0.6685058555791443	-0.008892828677825093	0.28441953766681793	-0.3815580677495682	-0.4101267920852126	1.0	-0.4427179924590648	-0.33952154923480715	-0.196480589393456	0.48884740785525727	-0.012896463761855766	-0.261005896398668
SOX9	0.703404691726979	-0.33953425977793	-0.42972271408433343	0.7104929653535753	0.48470396766603396	0.49786478759728914	0.7075647038860734	-0.3860870595393896	-0.07226699837623746	-0.2669652470020861	0.29543410132224535	0.7214917888880142	-0.4427179924590648	1.0	0.35863163002313025	-0.2721001269737413	-0.42108966977966417	-0.022176374376520848	0.18049110676474875
SRY	0.3145334110397104	-0.12435860026708236	-0.41702578936249113	0.3175771473215375	0.3692893606802645	0.37210914779396864	0.32591611054958297	-0.40564793747521155	-0.035443631382503914	-0.10656162497879818	0.13122103882091515	0.32159427737188545	-0.33952154923480715	0.35863163002313025	1.0	-0.20210852578345198	-0.24197035748146872	0.0035081652970812586	0.19274531796456226
UGR	-0.254613271105369	0.6184006386078719	-0.1919518084611708	-0.25253171975519983	-0.24836340600022683	-0.27337681676521985	-0.26927758885701136	-0.1947484905320629	0.026209890702169066	-0.157009742146224	0.14929952739298766	-0.2800232933049856	-0.196480589393456	-0.2721001269737413	-0.20210852578345198	1.0	-0.1190877519158407	-0.025925507824600815	-0.005450584248995017
WNT4	-0.417194012087311	0.017397763884444018	0.4931115030602497	-0.42857586551355686	-0.35667959204903976	-0.3512176345741121	-0.42867813989144643	0.4481529287129429	0.007424836838081267	0.2342968012038627	-0.28005413703953447	-0.4366273010808022	0.48884740785525727	-0.42108966977966417	-0.24197035748146872	-0.1190877519158407	1.0	-0.030372399451861442	-0.1795084888567641
WT1mKTS	-0.036070071332630786	-0.03754328473238158	-0.007570071266169374	-0.024221506167798744	-0.019795046599385382	-0.018687312423949304	-0.012477563379188952	0.00014500395543051234	0.013965531023100256	0.013074303289919643	0.0012229079999279964	-0.031284944581084426	-0.012896463761855766	-0.022176374376520848	0.0035081652970812586	-0.025925507824600815	-0.030372399451861442	1.0	-0.024251385606210495
WT1pKTS	0.14126982003762442	0.059610376711237534	-0.30385864386341677	0.14322555644014978	0.1835907807375848	0.1633658962537183	0.12984230664860313	-0.3590006878922433	-0.024949553414511928	-0.08763848051809528	0.15726236072162483	0.152064324421998	-0.261005896398668	0.18049110676474875	0.19274531796456226	-0.005450584248995017	-0.1795084888567641	-0.024251385606210495	1.0
