141,60,63,198,114,135,352,224,116,58,242,221,64,337,344,68,23,308,321
222,143,16,225,48,161,353,295,120,25,91,93,61,329,361,150,146,148,357
190,266,188,246,101,65,326,106,62,88,185,168,156,34,358,218,8,268,354
259,282,30,77,82,186,359,273,195,35,164,36,104,194,360,274,46,80,286
181,307,86,260,28,287,310,176,144,175,78,172,83,208,351,111,1,258,250
290,232,10,229,43,204,322,207,210,26,122,302,97,118,350,128,42,214,315
212,54,32,230,151,252,345,319,115,59,233,291,192,113,216,19,162,197,220
174,180,202,301,2,293,349,81,29,84,39,320,100,237,356,12,134,231,355
267,219,85,153,72,245,334,31,137,261,102,193,109,226,331,119,155,140,205
305,281,47,272,51,199,312,75,117,187,53,236,79,165,316,123,74,271,238
213,304,179,324,125,159,314,133,240,251,6,330,56,327,313,103,5,71,121
66,227,92,248,73,170,311,223,243,57,163,139,27,167,335,189,76,265,328
300,262,136,298,22,253,270,99,158,191,45,142,44,348,318,105,33,276,107
112,280,55,203,157,256,347,333,183,41,70,178,3,241,343,289,4,209,247
336,96,166,184,7,254,169,296,130,177,95,160,152,124,338,11,173,288,325
279,228,98,292,15,129,306,201,89,255,17,275,52,269,346,37,67,277,244
171,309,21,339,69,200,257,94,145,154,38,332,49,264,323,87,40,303,217
239,215,20,297,24,132,211,249,294,90,14,18,138,278,182,340,108,299,342
147,285,9,263,13,234,283,317,206,126,50,149,127,341,196,131,110,284,235
