Gene1	Gene2	corVal	pValue
DMRT1	DMRT1	1	0
FGF9	FGF9	1	0
RSPO1	RSPO1	1	0
DHH	DHH	1	0
CTNNB1	CTNNB1	1	0
PGD2	PGD2	1	0
WT1mKTS	WT1mKTS	1	0
SRY	SRY	1	0
DKK1	DKK1	1	0
WNT4	WNT4	1	0
CBX2	CBX2	1	0
AMH	AMH	1	0
NR0B1	NR0B1	1	0
NR5A1	NR5A1	1	0
WT1pKTS	WT1pKTS	1	0
FOXL2	FOXL2	1	0
UGR	UGR	1	0
SOX9	SOX9	1	0
GATA4	GATA4	1	0
WT1pKTS	NR5A1	0.351222579351932	3.59895398557686e-47
NR5A1	WT1pKTS	0.351222579351932	3.59895398557686e-47
DKK1	DMRT1	0.299466475143074	3.68277634383222e-34
DMRT1	DKK1	0.299466475143074	3.68277634383296e-34
RSPO1	CTNNB1	0.227592225202244	4.79091644611036e-20
CTNNB1	RSPO1	0.227592225202244	4.79091644611158e-20
NR0B1	WNT4	0.219379736754387	1.05312356562399e-18
WNT4	NR0B1	0.219379736754387	1.05312356562411e-18
CBX2	UGR	0.209323817199288	3.9233913550606e-17
UGR	CBX2	0.209323817199288	3.92339135506066e-17
DKK1	SRY	0.204522028031764	2.07113919035853e-16
SRY	DKK1	0.204522028031764	2.07113919035862e-16
CBX2	NR5A1	0.192605367015785	1.07881139710381e-14
NR5A1	CBX2	0.192605367015785	1.07881139710384e-14
WNT4	CTNNB1	0.185616980685339	9.76257328053649e-14
CTNNB1	WNT4	0.185616980685339	9.76257328053753e-14
DMRT1	SRY	0.167096280442902	2.23042351584835e-11
SRY	DMRT1	0.167096280442902	2.23042351584839e-11
SRY	NR0B1	0.142856859577546	1.13876532382939e-08
NR0B1	SRY	0.142856859577545	1.13876532382942e-08
FGF9	DHH	0.140944338058752	1.78704892954331e-08
DHH	FGF9	0.140944338058752	1.78704892954334e-08
WNT4	RSPO1	0.138884899231605	2.88381118416994e-08
RSPO1	WNT4	0.138884899231605	2.88381118417003e-08
WT1pKTS	WT1mKTS	0.130227128065523	1.99932227769134e-07
WT1mKTS	WT1pKTS	0.130227128065523	1.99932227769134e-07
DHH	AMH	0.125828890523596	5.10392747380845e-07
AMH	DHH	0.125828890523596	5.10392747380853e-07
WT1pKTS	SRY	0.122157050659901	1.08984279556954e-06
SRY	WT1pKTS	0.122157050659901	1.08984279556954e-06
GATA4	WT1mKTS	0.114089389020448	5.35067729212622e-06
WT1mKTS	GATA4	0.114089389020448	5.35067729212625e-06
UGR	WT1pKTS	0.109338601688337	1.30128942113982e-05
WT1pKTS	UGR	0.109338601688336	1.3012894211399e-05
AMH	PGD2	0.107624131714155	1.77773862047467e-05
PGD2	AMH	0.107624131714155	1.77773862047467e-05
SOX9	DKK1	0.104169980450977	3.28673109927678e-05
DKK1	SOX9	0.104169980450977	3.28673109927682e-05
SOX9	DMRT1	0.101339305840611	5.36344525901327e-05
DMRT1	SOX9	0.101339305840611	5.36344525901335e-05
PGD2	FGF9	0.0896259495086563	0.000356556374474613
FGF9	PGD2	0.0896259495086561	0.000356556374474626
PGD2	DHH	0.0878883603978818	0.000463825356802136
DHH	PGD2	0.0878883603978818	0.000463825356802137
GATA4	WT1pKTS	0.0763639437664065	0.00236321233461914
WT1pKTS	GATA4	0.0763639437664064	0.00236321233461917
SOX9	DHH	0.0746782296172607	0.00294882703472864
DHH	SOX9	0.0746782296172606	0.00294882703472865
UGR	FOXL2	0.0717215574025949	0.00430363025589404
FOXL2	UGR	0.0717215574025948	0.00430363025589409
CTNNB1	NR0B1	0.0697673717941942	0.00548595874301551
NR0B1	CTNNB1	0.0697673717941937	0.0054859587430158
FOXL2	CTNNB1	0.0679843189730058	0.00681232895348932
CTNNB1	FOXL2	0.0679843189730058	0.00681232895348936
FGF9	AMH	0.0669651532404837	0.00769367329213045
AMH	FGF9	0.0669651532404837	0.00769367329213046
DMRT1	WT1pKTS	0.0652483587967519	0.00941107282614882
WT1pKTS	DMRT1	0.0652483587967518	0.00941107282614894
CBX2	GATA4	0.0652372828996962	0.00942318183301492
GATA4	CBX2	0.0652372828996962	0.00942318183301495
SOX9	NR5A1	0.062706535222224	0.0125820220504482
NR5A1	SOX9	0.062706535222224	0.0125820220504482
CBX2	WT1pKTS	0.0624677697530944	0.0129236745449459
WT1pKTS	CBX2	0.0624677697530944	0.0129236745449459
SOX9	PGD2	0.0588041516352298	0.019293369055797
PGD2	SOX9	0.0588041516352296	0.0192933690557973
FOXL2	WT1mKTS	0.0472658618238475	0.0600905032565359
WT1mKTS	FOXL2	0.0472658618238474	0.060090503256536
RSPO1	FOXL2	0.0404443131233156	0.107716485665681
FOXL2	RSPO1	0.0404443131233153	0.107716485665683
FOXL2	GATA4	0.0403768222186492	0.108305606831921
