SourceGENES,TargetGENES,Interaction,Edges
UGR,FOXL2,1,activation
UGR,WT1mKTS,0.619239432927552,activation
SRY,WT1mKTS,0.410468802565952,repression
SRY,FOXL2,0.335524134434272,repression
SRY,GATA4,0.332827036402783,repression
SRY,WT1pKTS,0.323551412584053,repression
UGR,SRY,0.299186898779679,repression
CTNNB1,CBX2,0.28217102196223,repression
DMRT1,RSPO1,0.2569571707531,activation
UGR,UGR,0.253347645646003,activation
SRY,PGD2,0.252520550929146,repression
CBX2,WT1mKTS,0.249313124703488,activation
UGR,WT1pKTS,0.249258620504393,repression
CBX2,WNT4,0.230552559238375,repression
CBX2,UGR,0.221484195620233,activation
CBX2,SRY,0.21979877238935,repression
SRY,AMH,0.205701607808254,repression
DKK1,RSPO1,0.202346698384102,repression
DMRT1,GATA4,0.200765730998905,repression
CTNNB1,CTNNB1,0.200718804065886,activation
CBX2,NR0B1,0.185909028797714,repression
CBX2,FOXL2,0.184779537139532,repression
SRY,DHH,0.18272341461138,repression
UGR,NR0B1,0.177250155359671,repression
CTNNB1,UGR,0.166077121826593,repression
UGR,WNT4,0.163100744555526,repression
WT1pKTS,GATA4,0.162266879597675,activation
SRY,NR0B1,0.161886386902441,activation
SRY,FGF9,0.160605863768792,repression
CBX2,CBX2,0.160188860306777,activation
DMRT1,CTNNB1,0.156727998228041,repression
FOXL2,GATA4,0.152595121256055,repression
CTNNB1,SRY,0.147476085595501,repression
DMRT1,CBX2,0.139592258072642,repression
CTNNB1,WNT4,0.136362584536912,activation
WT1pKTS,SOX9,0.124019833917863,repression
DKK1,CTNNB1,0.121398971942989,repression
CTNNB1,WT1mKTS,0.118826004823988,repression
WT1mKTS,SOX9,0.117893561057779,repression
DKK1,CBX2,0.11317440509889,repression
DKK1,GATA4,0.111667803414258,activation
WT1mKTS,WT1mKTS,0.110009877855056,activation
CTNNB1,NR0B1,0.10969286046076,repression
WT1mKTS,PGD2,0.109642211371899,repression
DMRT1,NR5A1,0.10896694670522,repression
FOXL2,WT1mKTS,0.108296021887699,repression
CTNNB1,RSPO1,0.105271888555402,activation
DKK1,NR5A1,0.0927650511249256,repression
UGR,PGD2,0.0926673854581081,repression
WT1mKTS,FOXL2,0.0907043008598405,repression
FOXL2,FOXL2,0.0889946958335488,activation
FOXL2,WT1pKTS,0.0836448305896571,activation
WT1mKTS,GATA4,0.081880072782096,activation
WT1pKTS,FGF9,0.0808075966207785,repression
WT1mKTS,AMH,0.0800099813723265,repression
FOXL2,DHH,0.0733776427598832,repression
WT1mKTS,FGF9,0.0729053063123361,repression
FOXL2,FGF9,0.0672639001354578,repression
WT1pKTS,PGD2,0.0657220501565589,repression
DMRT1,WT1pKTS,0.0619730589724801,repression
WT1mKTS,DHH,0.0578110756512067,repression
SRY,SRY,0.057227504950797,activation
UGR,AMH,0.0572142653689916,repression
WT1pKTS,DHH,0.0546129542214261,repression
WT1mKTS,NR0B1,0.0543596340737569,repression
FOXL2,PGD2,0.0539144450616468,activation
WT1pKTS,WT1mKTS,0.0522044392497267,activation
WT1pKTS,AMH,0.050308829792381,repression
FOXL2,AMH,0.0459138366910554,repression
SRY,UGR,0.0439667768272152,repression
