Regulator	Target	SINGE_Score
WT1pKTS	UGR	6
WT1pKTS	NR0B1	1.5
GATA4	AMH	0.66666
GATA4	FGF9	0.375
GATA4	DHH	0.24
WT1pKTS	SRY	0.16666
WT1pKTS	RSPO1	0.12244
WT1mKTS	PGD2	0.09375
WT1mKTS	WNT4	0.07407
WT1pKTS	DMRT1	0.06
GATA4	NR0B1	0.04958
WT1mKTS	FGF9	0.04166
WT1mKTS	DHH	0.0355
WT1pKTS	NR5A1	0.03061
GATA4	PGD2	0.02666
WT1pKTS	WNT4	0.02343
WT1pKTS	SOX9	0.02076
WT1pKTS	DHH	0.01851
WT1pKTS	DKK1	0.015
WT1pKTS	FGF9	0.0136
WT1mKTS	DMRT1	0.01239
WT1mKTS	CTNNB1	0.01134
WT1mKTS	DKK1	0.01041
WT1mKTS	SOX9	0.0096
SRY	UGR	0.00887
SRY	CBX2	0.00823
WT1pKTS	CBX2	0.00765
GATA4	DKK1	0.00713
WT1mKTS	AMH	0.00666
WT1mKTS	UGR	0.00624
WT1pKTS	PGD2	0.00585
GATA4	RSPO1	0.0055
SRY	NR0B1	0.00519
GATA4	UGR	0.00489
WT1mKTS	CBX2	0.00462
AMH	UGR	0.00415
NR5A1	CBX2	0.00394
NR0B1	UGR	0.00375
WNT4	CBX2	0.00356
GATA4	WNT4	0.00324
WT1mKTS	FOXL2	0.00309
NR0B1	DKK1	0.00296
UGR	AMH	0.00283
FOXL2	UGR	0.00271
AMH	FGF9	0.0026
NR0B1	DMRT1	0.00249
NR5A1	NR0B1	0.0024
DKK1	DHH	0.0023
SRY	RSPO1	0.00221
PGD2	NR0B1	0.00213
WT1mKTS	SRY	0.00205
UGR	FGF9	0.00198
NR0B1	CTNNB1	0.00191
FOXL2	AMH	0.00184
NR0B1	CBX2	0.00178
DHH	SOX9	0.00172
GATA4	DMRT1	0.00166
SRY	PGD2	0.00161
UGR	PGD2	0.00156
NR0B1	WNT4	0.00151
SRY	DMRT1	0.00146
FOXL2	CTNNB1	0.00142
DKK1	AMH	0.00137
NR0B1	FGF9	0.00133
AMH	DHH	0.00129
WT1pKTS	AMH	0.00126
NR0B1	SRY	0.00122
UGR	DHH	0.00119
DHH	DMRT1	0.00115
CTNNB1	UGR	0.00112
NR5A1	SRY	0.00109
DKK1	DMRT1	0.00106
DKK1	PGD2	0.00103
FGF9	RSPO1	0.00101
FGF9	AMH	0.00098
PGD2	AMH	0.00096
CTNNB1	WNT4	0.00093
AMH	RSPO1	0.00089
NR5A1	UGR	0.00087
SRY	FOXL2	0.00085
SOX9	RSPO1	0.00083
FOXL2	CBX2	0.00081
UGR	NR0B1	0.00079
DKK1	FGF9	0.00077
PGD2	WNT4	0.00075
