Parent	Type	Child	Weight	Probability	Score
DMRT1	+	DMRT1	0.309307	0.073611	0.027358
FGF9	+	DMRT1	0.073365	0.064526	0.005688
RSPO1	+	DMRT1	0.171767	0.014474	0.002987
DHH	+	DMRT1	0.030310	0.042927	0.001563
CTNNB1	+	DMRT1	0.098733	0.052505	0.006229
PGD2	+	DMRT1	0.164460	0.083304	0.016462
WT1mKTS	+	DMRT1	0.087797	0.040852	0.004310
SRY	+	DMRT1	0.038011	0.057641	0.002633
DKK1	+	DMRT1	0.138933	0.079260	0.013232
WNT4	+	DMRT1	0.083359	0.057274	0.005737
CBX2	+	DMRT1	0.091725	0.072508	0.007992
AMH	+	DMRT1	0.028144	0.042688	0.001444
NR0B1	-	DMRT1	-0.075752	0.149513	-0.013609
NR5A1	+	DMRT1	0.061941	0.073640	0.005481
WT1pKTS	+	DMRT1	0.147110	0.030711	0.005429
FOXL2	-	DMRT1	-0.080891	0.131036	-0.012736
UGR	+	DMRT1	0.051796	0.072210	0.004494
SOX9	+	DMRT1	0.124722	0.078627	0.011783
GATA4	-	DMRT1	-0.011236	0.120724	-0.001630
DMRT1	+	FGF9	0.104858	0.102528	0.012918
FGF9	+	FGF9	0.178902	0.153059	0.032903
RSPO1	-	FGF9	-0.013876	0.080485	-0.001342
DHH	+	FGF9	0.034690	0.051064	0.002128
CTNNB1	-	FGF9	-0.028078	0.084323	-0.002845
PGD2	+	FGF9	0.088945	0.086474	0.009242
WT1mKTS	-	FGF9	-0.184484	0.205843	-0.045630
SRY	+	FGF9	0.051318	0.077543	0.004782
DKK1	+	FGF9	0.024427	0.047575	0.001396
WNT4	-	FGF9	-0.027179	0.089324	-0.002917
CBX2	+	FGF9	0.006675	0.063562	0.000510
AMH	+	FGF9	0.128109	0.111407	0.017149
NR0B1	+	FGF9	0.495301	0.000000	0.000000
NR5A1	-	FGF9	-0.001630	0.069347	-0.000136
WT1pKTS	-	FGF9	-0.016983	0.072546	-0.001480
FOXL2	+	FGF9	0.127024	0.147232	0.022472
UGR	+	FGF9	0.145682	0.163263	0.028579
SOX9	+	FGF9	0.131045	0.115234	0.018145
GATA4	+	FGF9	0.510523	0.999903	0.613381
DMRT1	+	RSPO1	0.090620	0.090636	0.009869
FGF9	+	RSPO1	0.023577	0.047213	0.001338
RSPO1	+	RSPO1	0.598547	1.000000	0.719209
DHH	-	RSPO1	-0.011787	0.039663	-0.000562
CTNNB1	+	RSPO1	0.510816	0.999705	0.613611
PGD2	+	RSPO1	0.054312	0.068297	0.004457
WT1mKTS	+	RSPO1	0.403461	0.048542	0.023533
SRY	-	RSPO1	-0.102645	0.164923	-0.020341
DKK1	+	RSPO1	0.054234	0.072277	0.004710
WNT4	-	RSPO1	-0.028227	0.109013	-0.003697
CBX2	-	RSPO1	-0.340995	1.000000	-0.409737
AMH	+	RSPO1	0.103158	0.093772	0.011623
NR0B1	+	RSPO1	0.124482	0.048851	0.007307
NR5A1	-	RSPO1	-0.047585	0.103577	-0.005922
WT1pKTS	+	RSPO1	0.069023	0.079733	0.006613
FOXL2	+	RSPO1	0.167730	0.046120	0.009295
UGR	-	RSPO1	-0.159713	0.489465	-0.093933
SOX9	+	RSPO1	0.027158	0.049975	0.001631
GATA4	+	RSPO1	0.291585	0.007591	0.002660
DMRT1	+	DHH	0.108546	0.018168	0.002370
FGF9	+	DHH	0.149588	0.008339	0.001499
RSPO1	-	DHH	-0.047232	0.332278	-0.018858
DHH	+	DHH	0.041912	0.037064	0.001867
CTNNB1	+	DHH	0.361780	0.000000	0.000000
PGD2	+	DHH	0.038108	0.036895	0.001689
WT1mKTS	+	DHH	0.091484	0.000000	0.000000
SRY	-	DHH	-0.000940	0.040793	-0.000046
DKK1	-	DHH	-0.011277	0.044735	-0.000606
WNT4	-	DHH	-0.049725	0.414917	-0.024791
CBX2	+	DHH	0.057294	0.025277	0.001740
AMH	+	DHH	0.208131	0.000672	0.000168
NR0B1	+	DHH	0.019684	0.042359	0.001002
NR5A1	+	DHH	0.083666	0.004096	0.000412
WT1pKTS	-	DHH	-0.040226	0.191862	-0.009274
FOXL2	+	DHH	0.112400	0.000057	0.000008
UGR	+	DHH	0.284779	0.000000	0.000000
SOX9	+	DHH	0.131397	0.012058	0.001904
GATA4	+	DHH	0.624858	0.000000	0.000000
DMRT1	+	CTNNB1	0.055213	0.052898	0.003509
FGF9	-	CTNNB1	-0.011585	0.043677	-0.000608
RSPO1	+	CTNNB1	0.963175	0.000000	0.000000
DHH	-	CTNNB1	-0.040899	0.075489	-0.003710
CTNNB1	+	CTNNB1	0.575053	0.000000	0.000000
PGD2	+	CTNNB1	0.020945	0.039698	0.000999
WT1mKTS	+	CTNNB1	0.257715	0.000000	0.000000
SRY	-	CTNNB1	-0.087358	0.264287	-0.027742
DKK1	+	CTNNB1	0.096910	0.043031	0.005011
WNT4	+	CTNNB1	0.264509	0.000000	0.000000
CBX2	-	CTNNB1	-0.310905	1.000000	-0.373581
AMH	+	CTNNB1	0.063765	0.053040	0.004064
NR0B1	+	CTNNB1	0.114278	0.000209	0.000029
NR5A1	-	CTNNB1	-0.069043	0.269358	-0.022346
WT1pKTS	+	CTNNB1	0.030176	0.052473	0.001903
FOXL2	+	CTNNB1	0.234011	0.000000	0.000000
UGR	-	CTNNB1	-0.128276	0.780463	-0.120297
SOX9	+	CTNNB1	0.060952	0.052931	0.003877
GATA4	+	CTNNB1	0.833318	0.000000	0.000000
DMRT1	+	PGD2	0.018924	0.041641	0.000947
FGF9	+	PGD2	0.125254	0.106628	0.016048
RSPO1	+	PGD2	0.091958	0.109472	0.012096
DHH	+	PGD2	0.099870	0.093128	0.011176
CTNNB1	+	PGD2	0.053656	0.097640	0.006295
PGD2	+	PGD2	0.082741	0.082082	0.008161
WT1mKTS	+	PGD2	0.212070	0.246584	0.062835
SRY	-	PGD2	-0.022262	0.050555	-0.001352
DKK1	+	PGD2	0.099471	0.096920	0.011584
WNT4	-	PGD2	-0.037968	0.095405	-0.004353
CBX2	+	PGD2	0.041639	0.082207	0.004113
AMH	+	PGD2	0.127088	0.107894	0.016476
NR0B1	+	PGD2	0.503168	0.000000	0.000000
NR5A1	-	PGD2	-0.010986	0.067946	-0.000897
WT1pKTS	+	PGD2	0.000057	0.066369	0.000005
FOXL2	+	PGD2	0.008770	0.067552	0.000712
UGR	+	PGD2	0.163167	0.169222	0.033178
SOX9	+	PGD2	0.076422	0.081042	0.007442
GATA4	+	PGD2	0.119040	0.120733	0.017269
DMRT1	+	WT1mKTS	0.024947	0.075585	0.002266
FGF9	+	WT1mKTS	0.028460	0.076632	0.002621
RSPO1	+	WT1mKTS	0.042320	0.035298	0.001795
DHH	+	WT1mKTS	0.040370	0.085570	0.004151
CTNNB1	+	WT1mKTS	0.040656	0.038264	0.001869
PGD2	+	WT1mKTS	0.021774	0.067675	0.001771
WT1mKTS	+	WT1mKTS	0.664039	1.000000	0.797903
SRY	+	WT1mKTS	0.006373	0.053349	0.000409
DKK1	+	WT1mKTS	0.037334	0.083695	0.003755
WNT4	+	WT1mKTS	0.064665	0.006463	0.000502
CBX2	+	WT1mKTS	0.027223	0.073928	0.002418
AMH	+	WT1mKTS	0.026900	0.075057	0.002426
NR0B1	+	WT1mKTS	0.077744	0.002129	0.000199
NR5A1	+	WT1mKTS	0.030555	0.063290	0.002324
WT1pKTS	+	WT1mKTS	0.009020	0.073965	0.000802
FOXL2	+	WT1mKTS	0.032684	0.056778	0.002230
UGR	+	WT1mKTS	0.086100	0.027075	0.002801
SOX9	+	WT1mKTS	0.003014	0.039102	0.000142
GATA4	+	WT1mKTS	0.521079	1.000000	0.626124
DMRT1	+	SRY	0.031349	0.044305	0.001669
FGF9	-	SRY	-0.030031	0.046931	-0.001694
RSPO1	-	SRY	-0.077384	0.146408	-0.013614
DHH	+	SRY	0.041987	0.047813	0.002412
CTNNB1	-	SRY	-0.116312	0.219781	-0.030717
PGD2	+	SRY	0.133826	0.080578	0.012957
WT1mKTS	-	SRY	-0.148939	0.495548	-0.088685
SRY	+	SRY	0.491348	0.155231	0.091648
DKK1	+	SRY	0.124615	0.079885	0.011962
WNT4	+	SRY	0.783789	0.000002	0.000002
CBX2	+	SRY	0.224071	0.041732	0.011236
AMH	+	SRY	0.085574	0.067690	0.006960
NR0B1	+	SRY	0.288686	0.003214	0.001115
NR5A1	+	SRY	0.300210	0.009699	0.003499
WT1pKTS	+	SRY	0.017609	0.071265	0.001508
FOXL2	-	SRY	-0.362245	0.999982	-0.435263
UGR	-	SRY	-0.027536	0.063503	-0.002101
SOX9	+	SRY	0.156737	0.083856	0.015793
GATA4	+	SRY	0.738990	0.000000	0.000000
DMRT1	+	DKK1	0.247023	0.000002	0.000001
FGF9	+	DKK1	0.102893	0.018199	0.002250
RSPO1	+	DKK1	0.357829	0.000000	0.000000
DHH	+	DKK1	0.132622	0.008853	0.001411
CTNNB1	+	DKK1	0.869588	0.000000	0.000000
PGD2	+	DKK1	0.133477	0.009995	0.001603
WT1mKTS	-	DKK1	-0.106870	0.974662	-0.125160
SRY	+	DKK1	0.218186	0.000000	0.000000
DKK1	+	DKK1	0.124220	0.007894	0.001178
WNT4	+	DKK1	0.079751	0.000196	0.000019
CBX2	+	DKK1	0.072936	0.008582	0.000752
AMH	+	DKK1	0.023735	0.032087	0.000915
NR0B1	-	DKK1	-0.007635	0.121896	-0.001118
NR5A1	+	DKK1	0.349974	0.000000	0.000000
WT1pKTS	+	DKK1	0.107224	0.000045	0.000006
FOXL2	-	DKK1	-0.077283	0.535537	-0.049731
UGR	+	DKK1	0.136348	0.000070	0.000011
SOX9	+	DKK1	0.121101	0.010765	0.001567
GATA4	+	DKK1	0.540223	0.000000	0.000000
DMRT1	+	WNT4	0.005937	0.035904	0.000256
FGF9	-	WNT4	-0.035960	0.069978	-0.003024
RSPO1	+	WNT4	0.112068	0.010212	0.001375
DHH	-	WNT4	-0.017700	0.046637	-0.000992
CTNNB1	+	WNT4	0.039281	0.064513	0.003045
PGD2	-	WNT4	-0.048604	0.084636	-0.004943
WT1mKTS	+	WNT4	0.346260	0.000000	0.000000
SRY	+	WNT4	0.171449	0.019501	0.004017
DKK1	-	WNT4	-0.036857	0.074820	-0.003314
WNT4	+	WNT4	0.769217	1.000000	0.924284
CBX2	-	WNT4	-0.022713	0.081049	-0.002212
AMH	-	WNT4	-0.038957	0.073502	-0.003441
NR0B1	+	WNT4	0.663153	0.000785	0.000625
NR5A1	+	WNT4	0.018102	0.070340	0.001530
WT1pKTS	+	WNT4	0.012329	0.069918	0.001036
FOXL2	+	WNT4	0.093834	0.024643	0.002779
UGR	-	WNT4	-0.114241	0.527716	-0.072440
SOX9	-	WNT4	-0.003747	0.038165	-0.000172
GATA4	+	WNT4	0.052503	0.022542	0.001422
DMRT1	+	CBX2	0.014373	0.036247	0.000626
FGF9	+	CBX2	0.032674	0.043258	0.001698
RSPO1	-	CBX2	-0.314609	1.000000	-0.378032
DHH	+	CBX2	0.019564	0.037622	0.000884
CTNNB1	-	CBX2	-0.328404	1.000000	-0.394607
PGD2	+	CBX2	0.078463	0.054620	0.005150
WT1mKTS	+	CBX2	0.587207	0.000000	0.000000
SRY	+	CBX2	0.225464	0.000470	0.000127
DKK1	+	CBX2	0.008785	0.037934	0.000400
WNT4	-	CBX2	-0.014506	0.117235	-0.002043
CBX2	+	CBX2	0.602288	0.000000	0.000000
AMH	+	CBX2	0.173170	0.032105	0.006680
