DMRT1,FGF9,RSPO1,DHH,CTNNB1,PGD2,WT1mKTS,SRY,DKK1,WNT4,CBX2,AMH,NR0B1,NR5A1,WT1pKTS,FOXL2,UGR,SOX9,GATA4,Time
9.5252117302,9.715691636599999,2.8673148373000004,9.540795871,1.5690127733,9.818772227,9.728475984600001,9.5251772507,9.859220260499999,3.9886186225,2.4015049387,9.4127788441,2.8230478206,9.3814365433,10.101605693,0.38553189179999997,1.9926434884,9.8608267717,9.7457057143,148.321
9.3059970218,0.0314674227,9.500928782999999,2.7238320629,8.1400835326,2.6162835348,9.8207205022,10.4015651693,9.4363382522,9.5908930711,7.9917186547000005,6.4052029494000005,10.2966746461,8.6404044066,10.2896389177,2.6745394080000002,2.8109614808999996,6.9814795212,10.2958755741,67.00800000000001
9.7832620975,9.8575623272,2.2524568202,9.2323674769,1.5599182092,9.9696879995,9.7119780578,10.1361379503,9.4500201792,1.0652443645,2.4863000572,9.2406982778,7.2887104946,9.9264341028,9.5958263176,0.6394637954,5.4720650175,9.1831227885,9.6286617765,138.317
10.208445132,6.069467485700001,3.5843736916,3.4992747986,3.5775780695,3.6215007907,10.1152362138,10.2328763377,10.127451843200001,4.8658809048,1.0463061603000001,3.9582892482,10.2850645549,9.3442814284,10.390356757100001,1.0936072522,2.4177619025,9.6834726694,10.1967480637,116.36449999999999
9.4749214259,9.6371667141,3.0008111046,9.3579434041,4.6928291715,9.9321979836,9.8113796525,9.5298919645,9.9846325643,2.3938574364,3.5204460392000003,9.4928893326,1.2873820697,10.0836578437,9.7271874167,0.558228176,4.0723970361,9.6249526402,9.477561875,138.317
9.7482905062,9.7155463854,1.5659662337,9.1167786497,2.4218295407,9.6596593685,9.6881231689,9.6902328124,9.4857031394,1.5714402006000001,1.2539419237,9.7353112478,7.056238445700001,9.330229364,9.7892192868,3.7375610094,3.4272769939999996,10.1290080277,9.8371601828,157.426
5.3305126345,4.74288311,4.4877420466,1.8169831741,1.4270755622,0.5743427111,10.9526673833,0.0977007792,4.2315161306,5.1149731399,10.6415557512,3.0337625945999998,4.2330928732999995,10.4888123872,10.4973486162,0.36517706590000004,10.8847712343,5.5932700038,10.4900258,18.868
3.7316747013,5.592896172300001,3.7267578517,1.3554305309999999,4.4810267002,3.8355164411000002,10.228464073200001,5.7123495874,4.7837574581,9.8680685898,9.797452522999999,1.7077574916999998,9.7359414461,10.890841871600001,10.3033845686,2.7578555725,9.3163342128,6.1399799546,11.0138566131,35.198
9.7398815946,4.2548424222,10.1140657725,2.774773578,6.4811711571,4.0259820706000005,10.20531442,9.6374851936,10.159737159,10.1507829862,3.1057888394999997,2.2510422745,10.1203038531,4.6711426871,10.4644916164,2.7873111603,3.1816435736,4.6451279668000005,10.0505209413,90.86
3.8762660226,3.0195288576,1.0398194487,5.023539975199999,0.2244247129,0.0307334229,10.5063745491,8.0804858433,5.9494417787,8.7572025666,10.7473677901,4.3457976193,8.4108915738,10.4543402504,10.7544164549,4.8693785552,9.58591919,5.560790427000001,10.7181620515,35.198
10.290286884299999,2.6212309913,7.6328691373,1.4410090949,7.253586413,2.9079166363,10.820230963399998,10.2744416138,10.051031310499999,5.778754224400001,6.270874888,3.4478881469,10.210537329500001,3.1006589906,10.5671616766,1.2647398729000001,4.3637954526,3.5764522669,10.4545459979,90.86
