Parent	Type	Child	Weight	Probability	Score
DMRT1	+	DMRT1	0.859208	0.000000	0.000000
FGF9	+	DMRT1	0.024406	0.056519	0.001700
RSPO1	+	DMRT1	0.096199	0.024561	0.002912
DHH	+	DMRT1	0.056065	0.038187	0.002639
CTNNB1	+	DMRT1	0.000429	0.039717	0.000021
PGD2	+	DMRT1	0.112286	0.006307	0.000873
WT1mKTS	+	DMRT1	1.237192	0.000000	0.000000
SRY	+	DMRT1	0.103199	0.001466	0.000186
DKK1	+	DMRT1	0.999040	0.000000	0.000000
WNT4	-	DMRT1	-0.099327	0.487499	-0.059688
CBX2	-	DMRT1	-0.144937	0.939488	-0.167848
AMH	+	DMRT1	0.072365	0.026650	0.002377
NR0B1	+	DMRT1	0.016240	0.054123	0.001083
NR5A1	-	DMRT1	-0.389352	1.000000	-0.479944
WT1pKTS	+	DMRT1	0.428225	0.000000	0.000000
FOXL2	-	DMRT1	-0.080572	0.142156	-0.014119
UGR	-	DMRT1	-0.092394	0.432113	-0.049214
SOX9	+	DMRT1	0.320746	0.000000	0.000000
GATA4	+	DMRT1	0.243907	0.000000	0.000000
DMRT1	+	FGF9	0.250022	0.000001	0.000000
FGF9	+	FGF9	0.479272	0.000000	0.000000
RSPO1	-	FGF9	-0.107093	0.314358	-0.041499
DHH	+	FGF9	0.411078	0.000000	0.000000
CTNNB1	-	FGF9	-0.023224	0.056964	-0.001631
PGD2	+	FGF9	0.508419	0.000000	0.000000
WT1mKTS	+	FGF9	0.215305	0.000039	0.000010
SRY	+	FGF9	0.104446	0.011551	0.001487
DKK1	-	FGF9	-0.047724	0.150066	-0.008828
WNT4	+	FGF9	0.002793	0.057294	0.000197
CBX2	-	FGF9	-0.036930	0.090469	-0.004118
AMH	+	FGF9	0.500190	0.000000	0.000000
NR0B1	-	FGF9	-0.114876	0.552831	-0.078283
NR5A1	+	FGF9	0.179575	0.000093	0.000021
WT1pKTS	+	FGF9	0.312547	0.000000	0.000000
FOXL2	+	FGF9	0.056408	0.055126	0.003833
UGR	+	FGF9	0.019955	0.045605	0.001122
SOX9	-	FGF9	-0.002425	0.074670	-0.000223
GATA4	-	FGF9	-0.318883	0.997187	-0.391973
DMRT1	+	RSPO1	0.939084	0.000000	0.000000
FGF9	-	RSPO1	-0.115092	0.593839	-0.084248
RSPO1	+	RSPO1	1.097909	0.000000	0.000000
DHH	-	RSPO1	-0.110931	0.557548	-0.076240
CTNNB1	+	RSPO1	0.877616	0.000000	0.000000
PGD2	+	RSPO1	0.079026	0.018914	0.001842
WT1mKTS	+	RSPO1	0.208819	0.000000	0.000000
SRY	+	RSPO1	0.202893	0.000000	0.000000
DKK1	+	RSPO1	0.053039	0.019469	0.001273
WNT4	+	RSPO1	0.354370	0.000000	0.000000
CBX2	+	RSPO1	0.333435	0.000000	0.000000
AMH	+	RSPO1	0.016148	0.052486	0.001045
NR0B1	+	RSPO1	0.041486	0.029246	0.001496
NR5A1	-	RSPO1	-0.324520	1.000000	-0.400027
WT1pKTS	+	RSPO1	0.137703	0.000000	0.000000
FOXL2	+	RSPO1	0.056555	0.034086	0.002376
UGR	-	RSPO1	-0.057696	0.157393	-0.011194
SOX9	-	RSPO1	-0.165070	0.968944	-0.197158
GATA4	+	RSPO1	1.106476	0.000000	0.000000
DMRT1	-	DHH	-0.047504	0.302047	-0.017687
FGF9	+	DHH	0.929823	0.000000	0.000000
RSPO1	-	DHH	-0.128833	0.936978	-0.148801
DHH	+	DHH	0.666993	0.000000	0.000000
CTNNB1	-	DHH	-0.010507	0.049747	-0.000644
PGD2	+	DHH	1.240925	0.000000	0.000000
WT1mKTS	-	DHH	-0.026069	0.504441	-0.016210
SRY	+	DHH	0.795176	0.000000	0.000000
DKK1	+	DHH	0.142590	0.000000	0.000000
WNT4	-	DHH	-0.030829	0.125368	-0.004764
CBX2	+	DHH	0.009154	0.050258	0.000567
AMH	+	DHH	1.047575	0.000000	0.000000
