Parent	Type	Child	Weight	Probability	Score
DMRT1	+	DMRT1	0.272640	0.306083	0.108485
FGF9	+	DMRT1	0.071057	0.071108	0.006569
RSPO1	+	DMRT1	0.165472	0.164354	0.035354
DHH	+	DMRT1	0.046582	0.055005	0.003331
CTNNB1	+	DMRT1	0.109554	0.118230	0.016838
PGD2	+	DMRT1	0.110350	0.091374	0.013108
WT1mKTS	+	DMRT1	0.038130	0.105203	0.005215
SRY	+	DMRT1	0.059458	0.077628	0.006000
DKK1	+	DMRT1	0.146939	0.115250	0.022015
WNT4	+	DMRT1	0.146703	0.121689	0.023208
CBX2	+	DMRT1	0.082520	0.101060	0.010841
AMH	+	DMRT1	0.068802	0.070747	0.006328
NR0B1	+	DMRT1	0.785548	0.000000	0.000000
NR5A1	+	DMRT1	0.098900	0.110938	0.014263
WT1pKTS	+	DMRT1	0.124907	0.126353	0.020517
FOXL2	-	DMRT1	-0.041093	0.077675	-0.004149
UGR	+	DMRT1	0.076372	0.096730	0.009604
SOX9	+	DMRT1	0.136788	0.107311	0.019082
GATA4	-	DMRT1	-0.029565	0.104572	-0.004019
DMRT1	+	FGF9	0.118555	0.111283	0.017151
FGF9	+	FGF9	0.183272	0.159727	0.038055
RSPO1	+	FGF9	0.096262	0.115669	0.014475
DHH	-	FGF9	-0.000045	0.035970	-0.000002
CTNNB1	-	FGF9	-0.020552	0.084849	-0.002267
PGD2	+	FGF9	0.080417	0.081962	0.008568
WT1mKTS	-	FGF9	-0.267412	0.333934	-0.116087
SRY	+	FGF9	0.015306	0.047702	0.000949
DKK1	+	FGF9	0.074680	0.083981	0.008153
WNT4	+	FGF9	0.515441	0.000000	0.000000
CBX2	+	FGF9	0.059934	0.094624	0.007373
AMH	+	FGF9	0.132228	0.116089	0.019955
NR0B1	-	FGF9	-0.024366	0.087917	-0.002785
NR5A1	+	FGF9	0.012762	0.074441	0.001235
WT1pKTS	+	FGF9	0.011891	0.074001	0.001144
FOXL2	+	FGF9	0.128401	0.153003	0.025539
UGR	+	FGF9	0.148075	0.166591	0.032068
SOX9	+	FGF9	0.127082	0.112997	0.018668
GATA4	+	FGF9	0.473945	0.986850	0.608023
DMRT1	+	RSPO1	0.124117	0.013840	0.002233
FGF9	-	RSPO1	-0.015143	0.048114	-0.000947
RSPO1	+	RSPO1	1.081653	0.000000	0.000000
DHH	-	RSPO1	-0.015439	0.045822	-0.000920
CTNNB1	+	RSPO1	1.117227	0.000000	0.000000
PGD2	+	RSPO1	0.101219	0.033443	0.004401
WT1mKTS	+	RSPO1	0.998227	0.000000	0.000000
SRY	-	RSPO1	-0.077867	0.311581	-0.031540
DKK1	+	RSPO1	0.021883	0.040803	0.001161
WNT4	+	RSPO1	0.060219	0.004490	0.000352
CBX2	-	RSPO1	-0.253663	1.000000	-0.329760
AMH	+	RSPO1	0.090039	0.035798	0.004190
NR0B1	+	RSPO1	0.039416	0.019452	0.000997
NR5A1	-	RSPO1	-0.074210	0.422633	-0.040773
WT1pKTS	+	RSPO1	0.073069	0.008430	0.000801
FOXL2	+	RSPO1	0.162167	0.000000	0.000000
UGR	-	RSPO1	-0.110058	0.800337	-0.114508
SOX9	-	RSPO1	-0.004474	0.039662	-0.000231
GATA4	+	RSPO1	0.223686	0.000000	0.000000
DMRT1	+	DHH	0.183037	0.000103	0.000024
FGF9	+	DHH	0.198934	0.000155	0.000040
RSPO1	+	DHH	0.086121	0.000064	0.000007
DHH	+	DHH	0.077510	0.024414	0.002460
CTNNB1	+	DHH	0.641932	0.000000	0.000000
PGD2	+	DHH	0.138058	0.005686	0.001020
WT1mKTS	+	DHH	0.013322	0.035511	0.000615
SRY	+	DHH	0.025740	0.034700	0.001161
DKK1	-	DHH	-0.007664	0.044814	-0.000446
WNT4	+	DHH	0.001660	0.083010	0.000179
CBX2	+	DHH	0.026420	0.038520	0.001323
AMH	+	DHH	0.111870	0.010793	0.001570
NR0B1	-	DHH	-0.021052	0.204363	-0.005593
NR5A1	+	DHH	0.086452	0.000345	0.000039
WT1pKTS	+	DHH	0.002175	0.067972	0.000192
FOXL2	+	DHH	0.071272	0.001887	0.000175
UGR	+	DHH	0.593573	0.000000	0.000000
SOX9	+	DHH	0.114101	0.009688	0.001437
GATA4	+	DHH	0.478456	0.000000	0.000000
DMRT1	+	CTNNB1	0.029817	0.052066	0.002018
FGF9	-	CTNNB1	-0.005870	0.039350	-0.000300
RSPO1	+	CTNNB1	0.661517	1.000000	0.859967
DHH	-	CTNNB1	-0.032858	0.057200	-0.002443
CTNNB1	+	CTNNB1	0.486720	0.410634	0.259821
PGD2	+	CTNNB1	0.067227	0.074752	0.006533
WT1mKTS	+	CTNNB1	0.378391	0.000414	0.000204
SRY	-	CTNNB1	-0.059675	0.102674	-0.007965
DKK1	+	CTNNB1	0.037615	0.059491	0.002909
WNT4	+	CTNNB1	0.028057	0.081574	0.002975
CBX2	-	CTNNB1	-0.301791	0.999994	-0.392324
AMH	+	CTNNB1	0.134273	0.098099	0.017124
NR0B1	+	CTNNB1	0.200843	0.006245	0.001631
NR5A1	-	CTNNB1	-0.095193	0.187634	-0.023220
WT1pKTS	+	CTNNB1	0.045948	0.076095	0.004545
FOXL2	+	CTNNB1	0.146251	0.035239	0.006700
UGR	-	CTNNB1	-0.144481	0.421725	-0.079210
SOX9	+	CTNNB1	0.078091	0.081242	0.008248
GATA4	+	CTNNB1	0.213324	0.002438	0.000676
DMRT1	-	PGD2	-0.044877	0.060327	-0.003519
FGF9	+	PGD2	0.133631	0.116394	0.020220
RSPO1	+	PGD2	0.092046	0.119712	0.014325
DHH	+	PGD2	0.124994	0.111699	0.018150
CTNNB1	+	PGD2	0.103820	0.127164	0.017163
PGD2	+	PGD2	0.067729	0.074550	0.006564
WT1mKTS	-	PGD2	-0.151760	0.165133	-0.032579
