SourceGENES,TargetGENES,Interaction,Edges
WT1mKTS,PGD2,1.69644750987654,repression
WT1mKTS,FGF9,1.42785865007043,repression
WT1mKTS,DMRT1,1.323826309232,repression
WT1mKTS,DHH,1.24373584634159,repression
WT1mKTS,DKK1,1.04769214237589,repression
WT1pKTS,NR5A1,1,activation
WT1mKTS,SOX9,0.872771032793769,repression
NR5A1,CBX2,0.819677271564336,activation
WT1mKTS,GATA4,0.798871925246326,repression
WT1mKTS,WT1mKTS,0.734202539979516,activation
NR5A1,RSPO1,0.678461545519285,repression
WT1pKTS,RSPO1,0.569100245183572,repression
WT1mKTS,WNT4,0.56645866232029,repression
WT1pKTS,CTNNB1,0.483831535769624,repression
WT1mKTS,WT1pKTS,0.479484427174285,repression
WT1mKTS,NR0B1,0.478456116046463,repression
NR5A1,CTNNB1,0.470464086608427,repression
WT1pKTS,FOXL2,0.382154497537612,repression
WT1mKTS,FOXL2,0.359254712655244,repression
NR5A1,UGR,0.323320244223167,repression
WT1pKTS,SRY,0.292277848865832,repression
PGD2,DHH,0.112197760811618,activation
WT1mKTS,AMH,0.109085995924177,repression
NR5A1,NR5A1,0.0907990417690358,activation
SOX9,DHH,0.0897417964221466,activation
PGD2,FGF9,0.0747510861175178,activation
NR5A1,SRY,0.0746524317025436,repression
SOX9,PGD2,0.073248272329692,activation
PGD2,AMH,0.0689418673952329,activation
NR0B1,DHH,0.0683049766438049,repression
SOX9,FGF9,0.0639107960399431,activation
PGD2,PGD2,0.0608265767211384,activation
NR0B1,AMH,0.0583862580726542,repression
NR0B1,SOX9,0.0560750159857323,repression
SRY,SOX9,0.0487989797527108,activation
WT1pKTS,CBX2,0.048481463175121,repression
UGR,AMH,0.0483116470447618,activation
SRY,AMH,0.0428548243352672,repression
SOX9,WT1mKTS,0.0411047923693403,repression
WNT4,DHH,0.0408149433363675,repression
UGR,SOX9,0.040485279425697,activation
UGR,DHH,0.0397477109759908,activation
SRY,DHH,0.0393279151182859,repression
WT1pKTS,WT1pKTS,0.037278036267712,activation
NR0B1,FGF9,0.0357965473534916,repression
SOX9,DMRT1,0.0352171850649975,activation
PGD2,DMRT1,0.0342095383465423,activation
WNT4,AMH,0.0326806220322273,repression
GATA4,DHH,0.0324229368658797,repression
SOX9,WNT4,0.0312682582852904,repression
NR0B1,PGD2,0.0300398257540407,repression
GATA4,PGD2,0.0299704164261954,repression
PGD2,WT1pKTS,0.0294971152180293,repression
SOX9,GATA4,0.0278296331359944,repression
PGD2,WT1mKTS,0.0257217346549551,repression
GATA4,SOX9,0.0244893072377158,repression
GATA4,FGF9,0.0222091735670606,activation
SOX9,SOX9,0.0217433648792356,activation
PGD2,GATA4,0.0212875432792447,repression
SOX9,DKK1,0.0198548213651507,activation
SRY,FGF9,0.0193036729395676,activation
SOX9,NR0B1,0.0187238820413044,repression
WNT4,PGD2,0.0170996517742487,repression
WNT4,FGF9,0.0161093061128874,repression
PGD2,WNT4,0.0158701773583904,repression
GATA4,AMH,0.014749424583384,repression
GATA4,DMRT1,0.0141989708308015,repression
UGR,FGF9,0.0141389217618261,activation
NR0B1,DMRT1,0.0139679581831519,repression
UGR,UGR,0.0127812086569906,activation
SRY,DKK1,0.0122436990745668,activation
SRY,UGR,0.0121924954939185,repression
CTNNB1,CBX2,0.0112670658296638,repression
SRY,CBX2,0.0102594095941208,repression
CTNNB1,UGR,0.0100950838845823,repression
GATA4,WNT4,0.00972928583332929,repression
NR0B1,DKK1,0.00944213259954294,repression
UGR,PGD2,0.00943202616179014,activation
WNT4,WT1pKTS,0.00875515102083551,repression
SOX9,UGR,0.00865763860593894,activation
PGD2,DKK1,0.00727536691003202,activation
UGR,SRY,0.00722712889259115,repression
GATA4,DKK1,0.00653003878735855,repression
NR0B1,WNT4,0.00643937289573875,activation
PGD2,SOX9,0.00616123856883978,activation
SRY,DMRT1,0.00603518549938002,activation
GATA4,WT1pKTS,0.00575075260062555,repression
GATA4,GATA4,0.00512941697897337,activation
UGR,NR0B1,0.00428050288419222,repression
UGR,DKK1,0.0037933174939466,activation
CTNNB1,SRY,0.00359585442097599,repression
WNT4,WNT4,0.00357330686583292,activation
CTNNB1,WNT4,0.00354208003708439,repression
CTNNB1,NR0B1,0.00283662183788503,repression
CTNNB1,RSPO1,0.0026362613587753,activation
GATA4,CTNNB1,0.00210984317519533,repression
GATA4,WT1mKTS,0.00191920964526904,repression
CTNNB1,WT1mKTS,0.00174550584352239,repression
GATA4,NR0B1,0.00107022018789343,repression
WNT4,WT1mKTS,0.000859183346776562,repression
WNT4,GATA4,0.000636429622939577,repression
UGR,DMRT1,4.93121744859037e-05,repression
WNT4,SOX9,4.26727071806663e-05,repression
CBX2,UGR,1.10359290096516e-35,activation
