SourceGENES,TargetGENES,Interaction,Edges
SRY,SOX9,1,activation
WT1mKTS,DMRT1,0.940848547516853,repression
SRY,AMH,0.819981239505354,repression
WT1mKTS,PGD2,0.658464572273801,repression
SRY,FGF9,0.652551297986254,activation
SRY,PGD2,0.581988339660674,repression
WT1mKTS,DKK1,0.513723276133247,repression
WT1mKTS,DHH,0.507215989673678,repression
WT1mKTS,WT1mKTS,0.390773248692399,activation
NR5A1,CBX2,0.347672760640589,repression
WT1mKTS,FGF9,0.322326100821465,repression
WT1mKTS,GATA4,0.316943886106262,repression
SRY,UGR,0.29831284699158,repression
SRY,CBX2,0.256203120997308,repression
NR5A1,RSPO1,0.249764829361818,repression
WT1mKTS,WNT4,0.236979080082754,repression
NR5A1,CTNNB1,0.21827925219403,repression
SRY,DKK1,0.207005852914121,activation
WT1mKTS,NR0B1,0.204501436026919,repression
NR5A1,SOX9,0.164916907567093,activation
NR5A1,UGR,0.152540913646121,repression
WT1mKTS,SOX9,0.150408118783658,repression
WT1mKTS,FOXL2,0.139236691029948,repression
SRY,SRY,0.113603758286127,activation
WT1mKTS,WT1pKTS,0.0968185600691424,repression
SRY,DHH,0.0816431055491147,repression
NR5A1,SRY,0.0639523783337531,repression
SRY,DMRT1,0.0534856281889538,activation
NR5A1,DKK1,0.0522423622363483,repression
NR0B1,PGD2,0.0376773376570406,repression
NR0B1,SOX9,0.0284247921278513,repression
NR0B1,FGF9,0.0263410662074006,repression
NR0B1,AMH,0.0222144680001152,repression
UGR,SOX9,0.0215734531249785,activation
UGR,AMH,0.0212097776476612,activation
NR0B1,DMRT1,0.0160447606780926,repression
UGR,PGD2,0.015543447922451,repression
WNT4,PGD2,0.0154897294290313,repression
AMH,DMRT1,0.0144326354204679,activation
UGR,FGF9,0.013953235274399,activation
AMH,DKK1,0.0120296004015374,activation
NR0B1,DHH,0.0108273443030543,repression
AMH,DHH,0.0105985008041386,activation
AMH,WT1mKTS,0.0103129373077431,repression
WNT4,FGF9,0.00993067322813264,repression
WNT4,AMH,0.00826112631807179,repression
NR0B1,DKK1,0.00678704788623574,repression
AMH,GATA4,0.00604780711219797,repression
WNT4,WT1pKTS,0.00593774690000678,repression
UGR,UGR,0.00578825982934908,activation
CTNNB1,CBX2,0.00551039376146106,repression
RSPO1,WT1mKTS,0.00548558675149832,repression
WNT4,DHH,0.00547276759655183,repression
UGR,SRY,0.0047896740366656,repression
CTNNB1,UGR,0.00463887758448946,repression
RSPO1,DMRT1,0.00461937497115287,activation
AMH,FGF9,0.00451300665301426,activation
NR0B1,WNT4,0.00446084123315952,activation
WNT4,DMRT1,0.00400883573006485,repression
RSPO1,UGR,0.00394140415597315,repression
RSPO1,CBX2,0.00378150896957971,repression
