Gene1	Gene2	corVal	pValue
DMRT1	DMRT1	1	0
FGF9	FGF9	1	0
RSPO1	RSPO1	1	0
DHH	DHH	1	0
CTNNB1	CTNNB1	1	0
PGD2	PGD2	1	0
WT1mKTS	WT1mKTS	1	0
SRY	SRY	1	0
DKK1	DKK1	1	0
WNT4	WNT4	1	0
CBX2	CBX2	1	0
AMH	AMH	1	0
NR0B1	NR0B1	1	0
NR5A1	NR5A1	1	0
WT1pKTS	WT1pKTS	1	0
FOXL2	FOXL2	1	0
UGR	UGR	1	0
SOX9	SOX9	1	0
GATA4	GATA4	1	0
WT1pKTS	NR5A1	0.348786514640273	1.68397136603376e-46
NR5A1	WT1pKTS	0.348786514640273	1.68397136603407e-46
DKK1	DMRT1	0.297984965963434	7.97897876537943e-34
DMRT1	DKK1	0.297984965963434	7.97897876538023e-34
SRY	DKK1	0.227051407277499	5.89441177191763e-20
DKK1	SRY	0.227051407277499	5.89441177191798e-20
CTNNB1	RSPO1	0.207925587934784	6.39584519451674e-17
RSPO1	CTNNB1	0.207925587934784	6.39584519451744e-17
NR0B1	WNT4	0.207572744837355	7.23130660893411e-17
WNT4	NR0B1	0.207572744837355	7.23130660893443e-17
UGR	CBX2	0.19821154598328	1.73304924600883e-15
CBX2	UGR	0.19821154598328	1.73304924600887e-15
WNT4	CTNNB1	0.191380819261195	1.59673664377873e-14
CTNNB1	WNT4	0.191380819261195	1.59673664377888e-14
CBX2	NR5A1	0.19103962928735	1.78023658370081e-14
NR5A1	CBX2	0.191039629287349	1.78023658370086e-14
DMRT1	SRY	0.147593736932129	3.63495140887907e-09
SRY	DMRT1	0.147593736932129	3.63495140887925e-09
SRY	NR0B1	0.142502940717609	1.23835689515968e-08
NR0B1	SRY	0.142502940717609	1.23835689515969e-08
WT1mKTS	GATA4	0.125353814206845	5.63715641000487e-07
GATA4	WT1mKTS	0.125353814206845	5.63715641000491e-07
SRY	WT1pKTS	0.12287758686072	9.40703814783669e-07
WT1pKTS	SRY	0.12287758686072	9.40703814783707e-07
PGD2	AMH	0.119080409895078	2.02397828373705e-06
AMH	PGD2	0.119080409895078	2.02397828373709e-06
FGF9	DHH	0.117409652830576	2.81483837394992e-06
DHH	FGF9	0.117409652830576	2.81483837394993e-06
WT1mKTS	WT1pKTS	0.113933886707744	5.51172249199608e-06
WT1pKTS	WT1mKTS	0.113933886707744	5.51172249199608e-06
RSPO1	WNT4	0.11261092236998	7.08242744934978e-06
WNT4	RSPO1	0.112610922369979	7.08242744934998e-06
SOX9	DKK1	0.111616429583476	8.53589179751382e-06
DKK1	SOX9	0.111616429583476	8.53589179751432e-06
UGR	WT1pKTS	0.111442228744932	8.81818469000836e-06
WT1pKTS	UGR	0.111442228744932	8.81818469000843e-06
AMH	DHH	0.107003485403849	1.98802974880768e-05
DHH	AMH	0.107003485403849	1.9880297488077e-05
DMRT1	SOX9	0.103560345415656	3.65617900858083e-05
SOX9	DMRT1	0.103560345415656	3.65617900858094e-05
GATA4	WT1pKTS	0.0930596741115502	0.000209164880332953
WT1pKTS	GATA4	0.0930596741115502	0.000209164880332954
PGD2	DHH	0.0920833356182816	0.000243867052554905
DHH	PGD2	0.0920833356182815	0.000243867052554906
SOX9	NR5A1	0.0827535348266056	0.000982249573499869
NR5A1	SOX9	0.0827535348266056	0.000982249573499873
WT1pKTS	DMRT1	0.0818747908669032	0.00111236104781697
DMRT1	WT1pKTS	0.0818747908669031	0.001112361047817
CTNNB1	NR0B1	0.0787955081245535	0.00170433584372133
NR0B1	CTNNB1	0.0787955081245534	0.00170433584372135
FGF9	AMH	0.0701475276288144	0.00523525585719989
AMH	FGF9	0.0701475276288144	0.00523525585719993
CBX2	WT1pKTS	0.0691420233184495	0.0059219881025003
WT1pKTS	CBX2	0.0691420233184494	0.00592198810250036
FOXL2	CTNNB1	0.0668276277028285	0.00782010877174013
CTNNB1	FOXL2	0.0668276277028284	0.00782010877174022
FOXL2	WT1mKTS	0.0657880368617738	0.00883759931516344
WT1mKTS	FOXL2	0.0657880368617737	0.0088375993151635
SOX9	DHH	0.0604916790590846	0.0160805733437158
DHH	SOX9	0.0604916790590845	0.0160805733437159
UGR	FOXL2	0.0580922853681966	0.0208085522451246
FOXL2	UGR	0.0580922853681966	0.0208085522451246
PGD2	FGF9	0.0543008532150433	0.0307454516690105
FGF9	PGD2	0.0543008532150433	0.0307454516690106
FGF9	SOX9	0.0504572450887979	0.0447249888163343
SOX9	FGF9	0.0504572450887979	0.0447249888163344
NR0B1	RSPO1	0.0476252380858584	0.058166588219143
RSPO1	NR0B1	0.0476252380858583	0.0581665882191436
SOX9	PGD2	0.0445678787673469	0.0762785463208456
PGD2	SOX9	0.0445678787673469	0.0762785463208456
