Parent	Type	Child	Weight	Probability	Score
DMRT1	+	DMRT1	0.576707	1.000000	0.614073
FGF9	+	DMRT1	0.129379	0.108153	0.014899
RSPO1	+	DMRT1	0.120234	0.107318	0.013739
DHH	+	DMRT1	0.033780	0.077982	0.002805
CTNNB1	-	DMRT1	-0.011940	0.042753	-0.000544
PGD2	+	DMRT1	0.057752	0.086200	0.005301
WT1mKTS	+	DMRT1	0.339838	0.394289	0.142676
SRY	+	DMRT1	0.092582	0.090630	0.008934
DKK1	+	DMRT1	0.430802	0.991764	0.454937
WNT4	-	DMRT1	-0.124594	0.165060	-0.021898
CBX2	-	DMRT1	-0.241376	0.836445	-0.214979
AMH	+	DMRT1	0.017152	0.070988	0.001296
NR0B1	+	DMRT1	0.032277	0.074995	0.002577
NR5A1	-	DMRT1	-0.507207	1.000000	-0.540070
WT1pKTS	+	DMRT1	0.410961	0.845191	0.369845
FOXL2	+	DMRT1	0.017292	0.038606	0.000711
UGR	-	DMRT1	-0.062407	0.099242	-0.006595
SOX9	+	DMRT1	0.263284	0.255683	0.071679
GATA4	+	DMRT1	0.283709	0.180281	0.054461
DMRT1	+	FGF9	0.277489	0.000000	0.000000
FGF9	+	FGF9	1.299033	0.000000	0.000000
RSPO1	-	FGF9	-0.082632	0.639914	-0.056303
DHH	+	FGF9	1.085485	0.000000	0.000000
CTNNB1	-	FGF9	-0.002391	0.041431	-0.000105
PGD2	+	FGF9	1.163553	0.000000	0.000000
WT1mKTS	+	FGF9	0.833501	0.000000	0.000000
SRY	+	FGF9	0.941575	0.000000	0.000000
DKK1	-	FGF9	-0.034424	0.305415	-0.011195
WNT4	-	FGF9	-0.044238	0.254864	-0.012005
CBX2	-	FGF9	-0.013743	0.076182	-0.001115
AMH	+	FGF9	1.249588	0.000000	0.000000
NR0B1	-	FGF9	-0.132551	0.999883	-0.141123
NR5A1	+	FGF9	0.469938	0.000000	0.000000
WT1pKTS	+	FGF9	0.849160	0.000000	0.000000
FOXL2	-	FGF9	-0.032354	0.074444	-0.002565
UGR	+	FGF9	0.010797	0.033834	0.000389
SOX9	+	FGF9	0.195271	0.000000	0.000000
GATA4	-	FGF9	-0.114786	0.996239	-0.121763
DMRT1	+	RSPO1	0.276764	0.329034	0.096965
FGF9	-	RSPO1	-0.157853	0.143433	-0.024108
RSPO1	+	RSPO1	0.620196	1.000000	0.660379
DHH	-	RSPO1	-0.059477	0.085882	-0.005439
CTNNB1	+	RSPO1	0.495294	0.999478	0.527109
PGD2	+	RSPO1	0.023007	0.069881	0.001712
WT1mKTS	+	RSPO1	0.617330	0.981845	0.645394
SRY	-	RSPO1	-0.002461	0.080138	-0.000210
DKK1	+	RSPO1	0.124169	0.110170	0.014566
WNT4	+	RSPO1	0.282435	0.422738	0.127132
CBX2	+	RSPO1	0.112257	0.103755	0.012402
AMH	+	RSPO1	0.029440	0.069365	0.002174
NR0B1	+	RSPO1	0.027459	0.072189	0.002111
NR5A1	-	RSPO1	-0.448534	0.979088	-0.467608
WT1pKTS	-	RSPO1	-0.543316	0.944773	-0.546568
FOXL2	+	RSPO1	0.059513	0.058570	0.003711
UGR	-	RSPO1	-0.037520	0.060009	-0.002397
