	AMH	CBX2	CTNNB1	DHH	DKK1	DMRT1	FGF9	FOXL2	GATA4	NR0B1	NR5A1	PGD2	RSPO1	SOX9	SRY	UGR	WNT4	WT1mKTS	WT1pKTS
E801_438	8.1614084597	1.7172498791	3.4131752697	8.2224802479	10.6046269835	0.0	8.8650341719	0.0	0.0	10.6136502257	11.0284349723	8.7148742732	0.0	0.0	10.8386971408	0.0	3.8288479496	0.0	10.5199813722
E1_769	9.5880863369	0.0	1.649080864	10.0595797582	9.8498720575	9.8489646969	9.4797567333	0.0	9.881434072	0.0	9.8280399595	9.8360607031	0.0	9.745178409	9.7230029263	4.242807755	0.0	0.0	10.1364943741
E1795_733	0.0	0.0	10.8433973594	0.0	0.0	0.0	0.0	11.1791184263	0.0	10.9537135259	1.9151813556	0.0	10.9679058951	0.0	0.0	0.0	10.8609992924	0.0	0.0
E645_767	9.9357870539	0.0	2.9171982056	10.3378077607	9.9436430642	9.9179830869	9.9765471936	0.0	0.0	3.1506837973	0.0	10.1126782071	0.0	0.0	10.4226780836	0.0	2.5755632264	10.3289446905	9.9517810275
E487_58	0.0	10.9973390472	0.5225397339	0.0	0.0	0.0	0.0	5.382764567	10.8023241673	5.1697874992	10.6020068168	0.0	0.0	0.0	0.0	10.1426310116	0.0	10.740699411	10.7347958562
E284_5	0.0	11.989500699	0.0	4.2738453044	0.0	0.0	0.0	0.0	0.0	2.2870055794	0.0	4.632206065	0.0	0.0	0.0	12.5239727802	0.0	0.0	0.0
E1797_596	0.0	3.7412478399	11.2285324811	0.0	0.0	3.5720599219	0.0	10.7752584861	0.0	10.8706452854	0.0	0.0	10.7890871578	0.0	0.0	0.0	0.0	11.0921501069	2.5209810353
E1058_571	9.970924041	0.0	0.0	10.4103427078	9.6615987769	9.9121284032	9.484147108	0.0	0.0	5.6242926042	9.8544943244	9.8745472677	0.0	10.0651477572	9.9322150472	0.0	2.4619446559	0.0	10.2171865646
E426_671	0.0	0.0	10.8016013741	0.0	0.0	2.9728057797	4.0983130053	10.3691815702	0.0	10.7334173588	0.0	0.0	10.7715567025	4.9137995436	4.4311681249	0.0	10.6044285208	10.8284508478	0.0
E1421_298	0.0	5.2405084106	0.0	0.0	10.9117055376	11.0630443747	0.0	0.0	10.4979420225	0.0	9.7913052857	0.0	0.0	0.0	10.7364445816	5.3932175457	0.0	0.0	10.832923182
E1342_303	0.0	0.0	0.0	0.0	11.0547594453	11.0158856072	0.0	3.2520935671	0.0	0.0	0.0	0.0	0.0	4.1750570195	10.9616670702	4.6569277369	0.0	11.0220425994	10.7172010511
E1838_217	0.0	0.0	0.0	0.0	10.4272383991	10.476701644	0.8026242736	0.0	10.4218984803	10.3578813164	0.0	0.0	0.0	0.0	10.4050502378	3.2786276152	0.0	10.6379946801	10.6092694919
E1205_441	2.9597994332	6.160103413	2.0064967114	2.0018339041	10.225287799	0.0	0.0	0.0	10.2740574613	10.2703276966	9.8179057018	0.0	3.8146728282	10.2089607606	9.9805568574	3.3630881119	0.0	10.6879545895	10.537100928
E243_17	0.0	11.3773495609	1.9536707616	6.3072806043	4.1837463083	0.0	0.0	5.6891246061	0.0	5.5624475481	11.4304543988	3.0282022368	0.0	0.0	0.0	11.2197375087	0.0	0.0	10.9632953326
E1297_71	0.0	11.6420522139	0.0	0.0	0.0	0.0	2.0502680468	4.4091215714	10.9516127774	0.0	0.0	0.0	3.8063287875	0.0	0.0	11.0199238149	0.0	11.4065724289	0.0
E955_615	9.5288304628	0.0	0.0	10.1440762026	10.1006301311	10.2441578274	9.3169667696	3.7566009846	0.0	0.0	10.0649437724	10.0212498928	3.0844863983	10.1386709654	10.0337106676	0.0	0.0	0.0	9.7900156545
E1249_687	10.1777531675	0.0	0.0	10.4028714421	10.0310475956	10.5863303138	10.2437533522	0.0	0.0	0.0	10.3252573669	10.1389716097	0.0	10.3090565047	0.0	4.4269117012	0.0	0.0	0.0
E911_206	0.0	9.2436665162	0.0	0.0	10.046945267	9.7469177421	3.1555464469	0.0	10.2702200525	0.0	9.747651455	5.2671701656	0.0	9.1444385451	10.214545143	4.5366298455	10.4638930521	9.8553546179	10.2663973666
E356_143	0.0	10.8166742134	0.0	0.0	2.501014281	0.0	0.0	3.9685812685	10.4342713747	0.0	10.2753998365	0.0	0.0	0.0	10.3777265119	0.0	10.2987313347	10.6074141112	10.4623851772
E585_315	0.0	0.0	0.0	3.1805712348	10.8568334718	10.8445530828	0.0	0.0	0.0	10.7587336869	0.0	0.0	0.0	8.8225669607	10.8356580506	4.4522947623	7.2874439601	11.0468692655	0.0
E1875_274	4.5564399319	6.7865370108	0.0	4.3944066196	0.0	11.1041511421	0.0	0.0	11.4165344761	0.0	0.0	3.509226545	0.0	0.0	11.200896897	0.0	0.0	0.0	11.3178885179
E1395_781	0.0	0.0	11.2818700113	0.0	0.0	0.0	0.0	11.4562453199	11.342777476	0.0	0.0	0.0	11.0311822845	0.0	0.0	3.9358353069	0.0	0.0	0.0
E64_718	10.0589882101	0.0	0.0	10.0433187334	9.849047321	9.9355853016	9.6684566135	0.0	0.0	0.0	9.79135328	9.5226852701	3.0694166816	9.6414929331	10.0792553759	0.0	0.0	9.635926823	9.7624446105
E1582_573	6.0270002442	2.7071829777	10.7641720843	0.979035379	0.2585855151	0.0	0.0	10.8470494814	11.1034442089	0.0	1.6034215543	0.0	11.0469347737	0.0	0.0	0.0	10.9907753564	0.0	0.0
E395_752	0.0	0.0	11.1645826825	3.8179073236	0.0	0.0	0.0	11.0888524927	10.8685955707	10.8317428319	0.0	0.0	10.8029768329	0.0	0.5258541296	4.9208383409	0.0	0.0	3.4274481473
E700_361	0.0	2.2070162842	0.0	0.0	10.9500055505	10.9602279186	5.1702586953	6.0384761798	0.0	10.5440235197	0.0	2.9406978224	0.0	11.0590608036	0.0	0.0	0.0	0.0	11.1660394981
E709_134	0.0	11.0287323805	7.4530303724	5.9350134097	0.5178678012	0.0	0.0	5.7130265852	10.8673872556	0.0	10.7489806591	0.0	0.0	0.0	0.0	6.6175373787	10.8774792857	0.0	11.0098198944
E1343_759	0.0	0.0	11.4218569091	0.0	0.0	0.0	3.8393198427	10.8273127884	0.0	11.2771585557	0.0	0.84900578	10.9877176792	0.0	4.9106781139	3.151862111	0.0	0.0	9.7828907823
E84_794	0.0	0.0	10.3775962601	1.2484688931	0.0	0.0	0.0	10.7386856837	10.8752730769	10.8473247723	3.8053925484	0.0	10.5630026136	3.3042760784	0.0	0.0	10.7399393992	0.0	0.0
E1434_21	0.0	11.4971392632	0.0	0.0	0.0	0.0	4.6962259978	0.0	0.0	0.2960645043	11.4723609665	3.5212460258	0.0	4.7902876923	0.0	12.0346281769	3.8349413018	0.0	0.0
E1329_321	0.0	7.4983211633	0.0	1.1100916502	10.6932228355	11.4739487902	0.0	1.8217135995	0.0	0.0	0.0	0.0	0.0	0.0	11.0920796328	0.0	9.2151738888	0.0	11.3128800863
E322_105	0.0	10.9337605647	0.0	0.0	0.0	0.0	0.0	0.0	11.060997967	0.0	11.2623151778	0.0	1.2678238794	0.0	9.043299786	9.9551828733	0.0	0.0	10.9184135533
E140_372	6.3036467386	6.4060290481	11.1361985949	0.0	0.0	0.0	1.8563429429	10.7875968429	10.8457279542	11.0692783527	6.1610515731	0.0	10.7720495801	3.8982320009	0.0	0.0	0.0	0.0	0.0
E106_563	3.2894013569	0.0	10.3475294341	0.0	0.0	0.0	0.0	10.6064477793	10.7239314129	10.1868431079	0.0	3.7027611222	10.1674018164	0.0	0.6364136049	0.0	10.6953822332	10.5103833134	0.0
E1606_316	0.0	0.0	0.0	0.0	0.0	10.8859021888	0.0	0.0	11.6723916694	0.0	0.0	2.3971086815	0.0	0.0	0.0	3.8364114977	10.3381944237	11.787796615	0.0
E1508_539	9.7384624336	0.6009118733	2.8957855143	9.2154424077	10.0505686527	0.0	9.6516276585	0.0	9.9823834225	0.0	9.9492299758	9.468322206	0.0	9.9559896137	9.9428051809	1.5396368733	0.0	9.9850735161	9.9501103653
