Parent	Type	Child	Weight	Probability	Score
DMRT1	+	DMRT1	0.347345	0.000000	0.000000
FGF9	+	DMRT1	0.066594	0.033541	0.002816
RSPO1	+	DMRT1	0.709440	0.000000	0.000000
DHH	+	DMRT1	0.053165	0.034478	0.002311
CTNNB1	+	DMRT1	0.002346	0.083210	0.000246
PGD2	+	DMRT1	0.124224	0.017737	0.002778
WT1mKTS	+	DMRT1	0.084129	0.000003	0.000000
SRY	+	DMRT1	0.151842	0.000395	0.000076
DKK1	+	DMRT1	0.133826	0.010274	0.001734
WNT4	+	DMRT1	0.649888	0.000000	0.000000
CBX2	-	DMRT1	-0.007379	0.072277	-0.000673
AMH	+	DMRT1	0.105433	0.022797	0.003031
NR0B1	+	DMRT1	0.480286	0.000000	0.000000
NR5A1	+	DMRT1	0.084980	0.003536	0.000379
WT1pKTS	+	DMRT1	0.076730	0.003940	0.000381
FOXL2	-	DMRT1	-0.064211	0.342417	-0.027724
UGR	+	DMRT1	0.129998	0.000549	0.000090
SOX9	+	DMRT1	0.162665	0.004697	0.000963
GATA4	+	DMRT1	0.440980	0.000000	0.000000
DMRT1	+	FGF9	0.061148	0.073670	0.005680
FGF9	+	FGF9	0.136986	0.116637	0.020147
RSPO1	-	FGF9	-0.014028	0.080372	-0.001422
DHH	+	FGF9	0.091704	0.090123	0.010421
CTNNB1	+	FGF9	0.020362	0.082713	0.002124
PGD2	+	FGF9	0.090931	0.087714	0.010057
WT1mKTS	-	FGF9	-0.087463	0.131132	-0.014462
SRY	+	FGF9	0.070044	0.092370	0.008158
DKK1	+	FGF9	0.077596	0.084708	0.008288
WNT4	-	FGF9	-0.070552	0.102701	-0.009136
CBX2	+	FGF9	0.014651	0.065760	0.001215
AMH	+	FGF9	0.152706	0.129490	0.024933
NR0B1	+	FGF9	0.005671	0.087477	0.000626
NR5A1	-	FGF9	-0.041524	0.081897	-0.004288
WT1pKTS	+	FGF9	0.011183	0.071187	0.001004
FOXL2	+	FGF9	0.094047	0.120041	0.014235
UGR	+	FGF9	0.152270	0.180029	0.034566
SOX9	+	FGF9	0.154403	0.132721	0.025839
GATA4	+	FGF9	0.385788	0.995009	0.484021
DMRT1	+	RSPO1	0.029865	0.041244	0.001553
FGF9	+	RSPO1	0.052822	0.044900	0.002991
RSPO1	+	RSPO1	1.214355	0.000000	0.000000
DHH	-	RSPO1	-0.041102	0.085421	-0.004427
CTNNB1	+	RSPO1	1.020224	0.000000	0.000000
PGD2	+	RSPO1	0.093797	0.034777	0.004113
WT1mKTS	+	RSPO1	1.203294	0.000000	0.000000
SRY	-	RSPO1	-0.062037	0.205125	-0.016046
DKK1	+	RSPO1	0.061728	0.043442	0.003381
WNT4	+	RSPO1	0.063737	0.002754	0.000221
CBX2	-	RSPO1	-0.282552	1.000000	-0.356276
AMH	+	RSPO1	0.105182	0.026779	0.003552
NR0B1	+	RSPO1	0.075125	0.000959	0.000091
NR5A1	-	RSPO1	-0.104831	0.844282	-0.111600
WT1pKTS	+	RSPO1	0.031822	0.040234	0.001614
FOXL2	+	RSPO1	0.083270	0.002898	0.000304
UGR	-	RSPO1	-0.092060	0.541128	-0.062815
SOX9	+	RSPO1	0.054924	0.044827	0.003104
GATA4	+	RSPO1	0.237408	0.000000	0.000000
DMRT1	+	DHH	0.122622	0.109658	0.016955
FGF9	+	DHH	0.114959	0.100225	0.014528
RSPO1	+	DHH	0.159457	0.170534	0.034288
DHH	+	DHH	0.014344	0.038863	0.000703
CTNNB1	-	DHH	-0.030950	0.088712	-0.003462
PGD2	+	DHH	0.005404	0.039615	0.000270
WT1mKTS	-	DHH	-0.080757	0.124813	-0.012709
SRY	+	DHH	0.004852	0.042026	0.000257
DKK1	+	DHH	0.075133	0.081193	0.007692
WNT4	-	DHH	-0.000837	0.087927	-0.000093
CBX2	-	DHH	-0.025604	0.069008	-0.002228
AMH	+	DHH	0.133857	0.112134	0.018926
NR0B1	-	DHH	-0.078243	0.105150	-0.010374
NR5A1	+	DHH	0.073537	0.103642	0.009610
