Parent	Type	Child	Weight	Probability	Score
DMRT1	+	DMRT1	1.171377	0.000000	0.000000
FGF9	+	DMRT1	0.025681	0.049871	0.001364
RSPO1	+	DMRT1	0.136398	0.002189	0.000318
DHH	-	DMRT1	-0.018589	0.091659	-0.001815
CTNNB1	-	DMRT1	-0.036333	0.085720	-0.003318
PGD2	+	DMRT1	0.103930	0.003903	0.000432
WT1mKTS	+	DMRT1	0.195199	0.000000	0.000000
SRY	+	DMRT1	0.139961	0.000001	0.000000
DKK1	+	DMRT1	1.055471	0.000000	0.000000
WNT4	-	DMRT1	-0.099258	0.652705	-0.069022
CBX2	-	DMRT1	-0.182398	0.999904	-0.194305
AMH	+	DMRT1	0.118531	0.001281	0.000162
NR0B1	+	DMRT1	0.015250	0.051411	0.000835
NR5A1	-	DMRT1	-0.291532	1.000000	-0.310592
WT1pKTS	+	DMRT1	1.314809	0.000000	0.000000
FOXL2	-	DMRT1	-0.057752	0.108965	-0.006704
UGR	-	DMRT1	-0.068341	0.285707	-0.020802
SOX9	+	DMRT1	0.239677	0.000000	0.000000
GATA4	+	DMRT1	0.599302	0.000000	0.000000
DMRT1	+	FGF9	0.089302	0.000031	0.000003
FGF9	+	FGF9	0.751167	0.000000	0.000000
RSPO1	-	FGF9	-0.126132	0.983586	-0.132173
DHH	+	FGF9	1.092942	0.000000	0.000000
CTNNB1	-	FGF9	-0.051557	0.172553	-0.009478
PGD2	+	FGF9	1.205527	0.000000	0.000000
WT1mKTS	+	FGF9	0.433175	0.000000	0.000000
SRY	+	FGF9	0.181818	0.000000	0.000000
DKK1	+	FGF9	0.358520	0.000000	0.000000
WNT4	+	FGF9	0.043847	0.020241	0.000946
CBX2	+	FGF9	0.010645	0.048012	0.000545
AMH	+	FGF9	1.107589	0.000000	0.000000
NR0B1	-	FGF9	-0.117498	0.995590	-0.124628
NR5A1	+	FGF9	0.607753	0.000000	0.000000
WT1pKTS	+	FGF9	1.116990	0.000000	0.000000
FOXL2	+	FGF9	0.010110	0.030263	0.000326
UGR	+	FGF9	0.001369	0.037675	0.000055
SOX9	+	FGF9	0.045130	0.012024	0.000578
GATA4	-	FGF9	-0.181566	0.999425	-0.193326
DMRT1	+	RSPO1	0.200102	0.175316	0.037375
FGF9	-	RSPO1	-0.188050	0.156216	-0.031297
RSPO1	+	RSPO1	0.604869	1.000000	0.644415
DHH	-	RSPO1	-0.087443	0.094775	-0.008829
CTNNB1	+	RSPO1	0.472821	0.998228	0.502841
PGD2	+	RSPO1	0.083160	0.089234	0.007906
WT1mKTS	+	RSPO1	0.513103	0.951860	0.520333
SRY	+	RSPO1	0.059544	0.093615	0.005939
DKK1	+	RSPO1	0.162889	0.137088	0.023790
WNT4	+	RSPO1	0.267448	0.383068	0.109149
CBX2	+	RSPO1	0.169089	0.139210	0.025078
AMH	+	RSPO1	0.062627	0.081450	0.005434
NR0B1	+	RSPO1	0.004802	0.065985	0.000338
NR5A1	-	RSPO1	-0.532604	0.998997	-0.566856
WT1pKTS	-	RSPO1	-0.399944	0.650491	-0.277169
FOXL2	-	RSPO1	-0.006490	0.034580	-0.000239
UGR	-	RSPO1	-0.050016	0.069010	-0.003677
SOX9	-	RSPO1	-0.137590	0.119231	-0.017478
GATA4	+	RSPO1	0.421321	0.766847	0.344212
DMRT1	+	DHH	0.041420	0.075556	0.003334
FGF9	+	DHH	0.344845	0.032909	0.012090
RSPO1	-	DHH	-0.064957	0.099878	-0.006912
DHH	+	DHH	0.347710	0.032034	0.011867
CTNNB1	-	DHH	-0.080732	0.109701	-0.009435
PGD2	+	DHH	0.450229	0.113265	0.054329
WT1mKTS	-	DHH	-0.069491	0.212596	-0.015739
SRY	+	DHH	0.121722	0.047684	0.006184
DKK1	+	DHH	0.017019	0.076965	0.001395
WNT4	+	DHH	0.017357	0.061660	0.001140
CBX2	+	DHH	0.087249	0.079407	0.007381
AMH	+	DHH	0.510012	0.480845	0.261270
NR0B1	-	DHH	-0.180681	0.630669	-0.121400
NR5A1	+	DHH	0.037099	0.077542	0.003065
WT1pKTS	+	DHH	0.005284	0.104117	0.000586
FOXL2	-	DHH	-0.129619	0.143205	-0.019776
UGR	-	DHH	-0.025624	0.058458	-0.001596
SOX9	+	DHH	0.185878	0.031298	0.006198
GATA4	+	DHH	0.184963	0.016029	0.003159
DMRT1	+	CTNNB1	0.037319	0.022250	0.000885
FGF9	-	CTNNB1	-0.053646	0.234005	-0.013374
RSPO1	+	CTNNB1	1.364815	0.000000	0.000000
DHH	-	CTNNB1	-0.047918	0.197899	-0.010103
CTNNB1	+	CTNNB1	1.167157	0.000000	0.000000
PGD2	+	CTNNB1	0.026261	0.037784	0.001057
WT1mKTS	-	CTNNB1	-0.145828	0.988434	-0.153565
SRY	+	CTNNB1	1.301955	0.000000	0.000000
DKK1	-	CTNNB1	-0.088257	0.670511	-0.063046
WNT4	+	CTNNB1	0.129115	0.000036	0.000005
CBX2	+	CTNNB1	0.459335	0.000000	0.000000
AMH	+	CTNNB1	0.000264	0.060349	0.000017
NR0B1	-	CTNNB1	-0.036663	0.196215	-0.007664
NR5A1	+	CTNNB1	0.131549	0.000000	0.000000
WT1pKTS	+	CTNNB1	0.819856	0.000000	0.000000
FOXL2	+	CTNNB1	0.072101	0.025248	0.001939
UGR	-	CTNNB1	-0.026802	0.094023	-0.002685
SOX9	-	CTNNB1	-0.032036	0.153827	-0.005250
GATA4	+	CTNNB1	0.437432	0.000000	0.000000
DMRT1	+	PGD2	0.035024	0.011930	0.000445
FGF9	+	PGD2	1.007946	0.000000	0.000000
RSPO1	-	PGD2	-0.025004	0.088604	-0.002360
DHH	+	PGD2	1.309901	0.000000	0.000000
CTNNB1	-	PGD2	-0.034765	0.106089	-0.003929
PGD2	+	PGD2	1.071291	0.000000	0.000000
WT1mKTS	-	PGD2	-0.061667	0.954068	-0.062681
SRY	+	PGD2	0.667166	0.000000	0.000000
DKK1	+	PGD2	0.543653	0.000000	0.000000
WNT4	-	PGD2	-0.019067	0.104277	-0.002118
CBX2	+	PGD2	0.078613	0.002849	0.000239
AMH	+	PGD2	1.368569	0.000000	0.000000
NR0B1	-	PGD2	-0.161000	1.000000	-0.171526
NR5A1	+	PGD2	1.154846	0.000000	0.000000
WT1pKTS	+	PGD2	0.731234	0.000000	0.000000
FOXL2	+	PGD2	0.003078	0.033299	0.000109
UGR	-	PGD2	-0.118996	0.979306	-0.124152
SOX9	+	PGD2	0.114131	0.000000	0.000000
GATA4	-	PGD2	-0.018442	0.438214	-0.008610
DMRT1	-	WT1mKTS	-0.004695	0.086350	-0.000432
FGF9	+	WT1mKTS	0.061144	0.048630	0.003168
RSPO1	+	WT1mKTS	0.031170	0.077190	0.002563
DHH	+	WT1mKTS	0.040537	0.068460	0.002957
CTNNB1	+	WT1mKTS	0.029169	0.076725	0.002384
PGD2	+	WT1mKTS	0.008288	0.072326	0.000639
WT1mKTS	+	WT1mKTS	0.600999	1.000000	0.640291
SRY	+	WT1mKTS	0.047021	0.035011	0.001754
DKK1	+	WT1mKTS	0.055409	0.030503	0.001801
WNT4	+	WT1mKTS	0.018817	0.072810	0.001460
CBX2	+	WT1mKTS	0.014908	0.072919	0.001158
AMH	+	WT1mKTS	0.012982	0.072583	0.001004
NR0B1	+	WT1mKTS	0.109872	0.000801	0.000094
NR5A1	+	WT1mKTS	0.031529	0.048168	0.001618
WT1pKTS	+	WT1mKTS	0.305491	0.219815	0.071542
FOXL2	+	WT1mKTS	0.035814	0.077517	0.002958
