Gene1	Gene2	corVal	pValue
AMH	AMH	1	0
CBX2	CBX2	1	0
CTNNB1	CTNNB1	1	0
DHH	DHH	1	0
DKK1	DKK1	1	0
DMRT1	DMRT1	1	0
FGF9	FGF9	1	0
FOXL2	FOXL2	1	0
GATA4	GATA4	1	0
NR0B1	NR0B1	1	0
NR5A1	NR5A1	1	0
PGD2	PGD2	1	0
RSPO1	RSPO1	1	0
SOX9	SOX9	1	0
SRY	SRY	1	0
UGR	UGR	1	0
WNT4	WNT4	1	0
WT1mKTS	WT1mKTS	1	0
WT1pKTS	WT1pKTS	1	0
DKK1	DMRT1	0.448611968959165	8.65409668222203e-99
DMRT1	DKK1	0.448611968959165	8.65409668222376e-99
NR5A1	WT1pKTS	0.294477224163281	5.77849405914148e-41
WT1pKTS	NR5A1	0.294477224163281	5.77849405914182e-41
WNT4	NR0B1	0.238539647752215	4.69073488082589e-27
NR0B1	WNT4	0.238539647752215	4.69073488082613e-27
DKK1	SRY	0.217489092369556	1.16708664121593e-22
SRY	DKK1	0.217489092369556	1.16708664121597e-22
DMRT1	SRY	0.215313418426963	3.13576954272442e-22
SRY	DMRT1	0.215313418426963	3.13576954272451e-22
CTNNB1	RSPO1	0.206826477766571	1.33807791966009e-20
RSPO1	CTNNB1	0.206826477766571	1.33807791966017e-20
NR0B1	SRY	0.187211054176362	4.24808809845232e-17
SRY	NR0B1	0.187211054176362	4.24808809845236e-17
SRY	WT1pKTS	0.169929388031018	2.58033898288678e-14
WT1pKTS	SRY	0.169929388031017	2.5803389828869e-14
WT1pKTS	CBX2	0.164848551943925	1.50389015307109e-13
CBX2	WT1pKTS	0.164848551943925	1.50389015307113e-13
WNT4	RSPO1	0.162860799978527	2.95289417184726e-13
RSPO1	WNT4	0.162860799978527	2.95289417184737e-13
NR5A1	CBX2	0.159573025112007	8.85069080990031e-13
CBX2	NR5A1	0.159573025112007	8.85069080990044e-13
SOX9	DKK1	0.138988624908923	5.11372524282564e-10
DKK1	SOX9	0.138988624908923	5.11372524282606e-10
SOX9	NR5A1	0.133133225893955	2.66000962343989e-09
NR5A1	SOX9	0.133133225893955	2.66000962343989e-09
WNT4	CTNNB1	0.132010543511955	3.62005241435152e-09
CTNNB1	WNT4	0.132010543511955	3.6200524143516e-09
WT1mKTS	WT1pKTS	0.131306679793134	4.38582423207970e-09
WT1pKTS	WT1mKTS	0.131306679793134	4.38582423207986e-09
PGD2	FGF9	0.125392036291234	2.11376373250834e-08
FGF9	PGD2	0.125392036291234	2.11376373250837e-08
AMH	DHH	0.122682698834593	4.24272968559107e-08
DHH	AMH	0.122682698834593	4.24272968559119e-08
PGD2	AMH	0.118964902283021	1.07746175128412e-07
AMH	PGD2	0.118964902283021	1.07746175128412e-07
DMRT1	SOX9	0.112706456929526	4.85912050097381e-07
SOX9	DMRT1	0.112706456929526	4.85912050097407e-07
FGF9	DHH	0.111996865820615	5.73563509654648e-07
DHH	FGF9	0.111996865820615	5.73563509654653e-07
FOXL2	NR0B1	0.102354602865954	4.94597507729724e-06
NR0B1	FOXL2	0.102354602865953	4.94597507729741e-06
DMRT1	WT1pKTS	0.101598133723767	5.811429589681e-06
WT1pKTS	DMRT1	0.101598133723767	5.81142958968117e-06
WT1pKTS	UGR	0.101200151481866	6.32310488211501e-06
UGR	WT1pKTS	0.101200151481866	6.32310488211506e-06
WT1pKTS	DKK1	0.10077682813618	6.91453274592974e-06
DKK1	WT1pKTS	0.10077682813618	6.91453274593017e-06
GATA4	WT1mKTS	0.0944665157434022	2.51498756357283e-05
WT1mKTS	GATA4	0.0944665157434021	2.51498756357287e-05
UGR	GATA4	0.0928672126132783	3.44583423832623e-05
GATA4	UGR	0.0928672126132783	3.44583423832627e-05
SRY	WNT4	0.089976330761781	6.01198683914598e-05
WNT4	SRY	0.089976330761781	6.01198683914607e-05
NR0B1	WT1mKTS	0.0876239705916745	9.34377244668772e-05
WT1mKTS	NR0B1	0.0876239705916745	9.34377244668775e-05
CBX2	UGR	0.0849145009621983	0.000153231588016794
