Parent	Type	Child	Weight	Probability	Score
DMRT1	+	DMRT1	0.686914	0.380800	0.355044
FGF9	+	DMRT1	0.076420	0.069935	0.007254
RSPO1	+	DMRT1	0.092647	0.073019	0.009182
DHH	+	DMRT1	0.036784	0.071440	0.003567
CTNNB1	-	DMRT1	-0.017402	0.046616	-0.001101
PGD2	+	DMRT1	0.029145	0.070304	0.002781
WT1mKTS	+	DMRT1	0.299652	0.000027	0.000011
SRY	+	DMRT1	0.097261	0.043484	0.005740
DKK1	+	DMRT1	0.535413	0.000296	0.000215
WNT4	-	DMRT1	-0.124656	0.296303	-0.050134
CBX2	-	DMRT1	-0.209942	0.933771	-0.266086
AMH	+	DMRT1	0.053740	0.072373	0.005279
NR0B1	+	DMRT1	0.003696	0.064117	0.000322
NR5A1	-	DMRT1	-0.392145	1.000000	-0.532267
WT1pKTS	+	DMRT1	0.523167	0.000000	0.000000
FOXL2	-	DMRT1	-0.050994	0.069411	-0.004804
UGR	-	DMRT1	-0.098607	0.195723	-0.026196
SOX9	+	DMRT1	0.165125	0.030937	0.006934
GATA4	+	DMRT1	0.272865	0.000069	0.000025
DMRT1	+	FGF9	0.043823	0.090900	0.005407
FGF9	+	FGF9	0.377552	0.995679	0.510246
RSPO1	-	FGF9	-0.146321	0.170791	-0.033920
DHH	+	FGF9	0.348136	0.975493	0.460953
CTNNB1	-	FGF9	-0.059321	0.081411	-0.006555
PGD2	+	FGF9	0.401908	0.999254	0.545112
WT1mKTS	+	FGF9	0.059122	0.118082	0.009476
SRY	+	FGF9	0.184466	0.241397	0.060441
DKK1	+	FGF9	0.001859	0.079108	0.000200
WNT4	-	FGF9	-0.021175	0.068234	-0.001961
CBX2	-	FGF9	-0.007843	0.053344	-0.000568
AMH	+	FGF9	0.349499	0.978186	0.464035
NR0B1	-	FGF9	-0.211037	0.389162	-0.111474
NR5A1	-	FGF9	-0.006162	0.089369	-0.000747
WT1pKTS	+	FGF9	0.531087	0.996523	0.718349
FOXL2	+	FGF9	0.004586	0.033958	0.000211
UGR	-	FGF9	-0.002759	0.039488	-0.000148
SOX9	+	FGF9	0.121113	0.133621	0.021966
GATA4	-	FGF9	-0.386484	0.764043	-0.400805
DMRT1	+	RSPO1	0.899476	0.000000	0.000000
FGF9	-	RSPO1	-0.112940	0.719948	-0.110365
RSPO1	+	RSPO1	1.350353	0.000000	0.000000
DHH	-	RSPO1	-0.064588	0.260552	-0.022842
CTNNB1	+	RSPO1	0.835596	0.000000	0.000000
PGD2	-	RSPO1	-0.016557	0.090855	-0.002042
WT1mKTS	+	RSPO1	0.206573	0.000000	0.000000
SRY	+	RSPO1	0.054534	0.008801	0.000651
DKK1	+	RSPO1	0.275467	0.000000	0.000000
WNT4	+	RSPO1	0.870108	0.000000	0.000000
CBX2	+	RSPO1	0.473378	0.000000	0.000000
AMH	+	RSPO1	0.045884	0.029978	0.001867
NR0B1	+	RSPO1	0.010226	0.052043	0.000722
NR5A1	-	RSPO1	-0.300194	1.000000	-0.407461
WT1pKTS	+	RSPO1	0.066970	0.000017	0.000002
FOXL2	+	RSPO1	0.060490	0.030336	0.002491
UGR	-	RSPO1	-0.081447	0.332695	-0.036780
SOX9	-	RSPO1	-0.134445	0.908846	-0.165851
GATA4	+	RSPO1	1.507118	0.000000	0.000000
DMRT1	+	DHH	0.041663	0.032935	0.001862
FGF9	+	DHH	0.696512	0.000000	0.000000
RSPO1	-	DHH	-0.070332	0.194840	-0.018600
DHH	+	DHH	0.345745	0.000000	0.000000
CTNNB1	-	DHH	-0.017482	0.052278	-0.001241
PGD2	+	DHH	0.646210	0.000000	0.000000
WT1mKTS	+	DHH	0.458166	0.000000	0.000000
SRY	+	DHH	0.362427	0.000000	0.000000
DKK1	-	DHH	-0.021480	0.117672	-0.003431
WNT4	-	DHH	-0.061767	0.217547	-0.018239
CBX2	+	DHH	0.021375	0.049759	0.001444
AMH	+	DHH	0.798398	0.000000	0.000000
NR0B1	-	DHH	-0.207122	0.999992	-0.281129
NR5A1	+	DHH	0.114542	0.000024	0.000004
WT1pKTS	+	DHH	0.118616	0.000000	0.000000
FOXL2	-	DHH	-0.125668	0.314628	-0.053667
UGR	-	DHH	-0.029538	0.077707	-0.003115
SOX9	+	DHH	0.134824	0.000339	0.000062
GATA4	-	DHH	-0.051657	0.766337	-0.053731
DMRT1	-	CTNNB1	-0.008082	0.074772	-0.000820
FGF9	+	CTNNB1	0.044093	0.069556	0.004163
RSPO1	+	CTNNB1	0.422438	0.654975	0.375552
DHH	-	CTNNB1	-0.149689	0.151143	-0.030709
CTNNB1	+	CTNNB1	0.570049	0.999475	0.773334
PGD2	-	CTNNB1	-0.079575	0.095625	-0.010328
WT1mKTS	+	CTNNB1	0.024657	0.095735	0.003204
SRY	+	CTNNB1	0.283747	0.041286	0.015901
DKK1	-	CTNNB1	-0.034169	0.085675	-0.003973
WNT4	+	CTNNB1	0.099972	0.085290	0.011573
CBX2	+	CTNNB1	0.185599	0.080603	0.020305
AMH	+	CTNNB1	0.158679	0.090846	0.019566
NR0B1	+	CTNNB1	0.044369	0.076769	0.004623
NR5A1	-	CTNNB1	-0.012641	0.090475	-0.001552
WT1pKTS	+	CTNNB1	0.065387	0.083878	0.007444
FOXL2	+	CTNNB1	0.062976	0.058772	0.005024
UGR	-	CTNNB1	-0.045342	0.069969	-0.004306
SOX9	-	CTNNB1	-0.063850	0.095014	-0.008234
GATA4	-	CTNNB1	-0.040688	0.124913	-0.006899
DMRT1	+	PGD2	0.116068	0.131292	0.020684
FGF9	+	PGD2	0.430645	0.999760	0.584384
RSPO1	-	PGD2	-0.036613	0.065982	-0.003279
DHH	+	PGD2	0.392269	0.995983	0.530296
CTNNB1	-	PGD2	-0.039837	0.063685	-0.003444
PGD2	+	PGD2	0.198230	0.221867	0.059696
WT1mKTS	-	PGD2	-0.152096	0.166329	-0.034338
SRY	+	PGD2	0.176495	0.197349	0.047277
DKK1	+	PGD2	0.017600	0.085206	0.002035
WNT4	-	PGD2	-0.045131	0.082798	-0.005072
CBX2	+	PGD2	0.071408	0.094957	0.009204
AMH	+	PGD2	0.416855	0.999414	0.565475
NR0B1	-	PGD2	-0.246304	0.607089	-0.202958
NR5A1	+	PGD2	0.163204	0.179216	0.039700
WT1pKTS	+	PGD2	0.530973	0.972986	0.701233
FOXL2	-	PGD2	-0.078058	0.081495	-0.008634
UGR	-	PGD2	-0.077847	0.095052	-0.010044
SOX9	+	PGD2	0.111951	0.122138	0.018559
GATA4	-	PGD2	-0.364766	0.642836	-0.318271
DMRT1	+	WT1mKTS	0.019379	0.076495	0.002012
FGF9	+	WT1mKTS	0.005292	0.071068	0.000510
RSPO1	+	WT1mKTS	0.029299	0.081920	0.003258
DHH	+	WT1mKTS	0.052422	0.061252	0.004358
CTNNB1	+	WT1mKTS	0.007142	0.048146	0.000467
PGD2	+	WT1mKTS	0.018538	0.078250	0.001969
WT1mKTS	+	WT1mKTS	0.531500	1.000000	0.721416
SRY	+	WT1mKTS	0.033763	0.056951	0.002610
DKK1	+	WT1mKTS	0.057091	0.032245	0.002499
WNT4	+	WT1mKTS	0.022280	0.076979	0.002328
CBX2	+	WT1mKTS	0.023824	0.076678	0.002479
AMH	+	WT1mKTS	0.000645	0.069492	0.000061
NR0B1	+	WT1mKTS	0.065329	0.019441	0.001724
NR5A1	+	WT1mKTS	0.056604	0.018095	0.001390
WT1pKTS	+	WT1mKTS	0.359698	1.000000	0.488226
FOXL2	+	WT1mKTS	0.024217	0.071108	0.002337
UGR	+	WT1mKTS	0.083249	0.037230	0.004207
SOX9	-	WT1mKTS	-0.002164	0.074209	-0.000218
GATA4	+	WT1mKTS	0.451102	1.000000	0.612291
DMRT1	+	SRY	0.087361	0.116400	0.013802
FGF9	+	SRY	0.205828	0.437861	0.122327
RSPO1	+	SRY	0.023956	0.060322	0.001961
DHH	+	SRY	0.055896	0.093483	0.007092
CTNNB1	+	SRY	0.079898	0.099929	0.010837
PGD2	+	SRY	0.028901	0.078981	0.003098
WT1mKTS	-	SRY	-0.077411	0.138882	-0.014593
SRY	+	SRY	0.579702	1.000000	0.786842
DKK1	+	SRY	0.224722	0.562244	0.171496
WNT4	+	SRY	0.307472	0.997372	0.416242
CBX2	-	SRY	-0.136058	0.160641	-0.029666
AMH	-	SRY	-0.013088	0.070509	-0.001253
NR0B1	+	SRY	0.227436	0.689064	0.212717
NR5A1	+	SRY	0.070938	0.111194	0.010706
WT1pKTS	+	SRY	0.736745	1.000000	1.000000
FOXL2	+	SRY	0.008098	0.037086	0.000408
