Parent	Type	Child	Weight	Probability	Score
DMRT1	+	DMRT1	0.275324	0.076132	0.022955
FGF9	+	DMRT1	0.044109	0.050705	0.002449
RSPO1	+	DMRT1	0.177502	0.012874	0.002503
DHH	+	DMRT1	0.063502	0.060361	0.004198
CTNNB1	+	DMRT1	0.065505	0.069690	0.004999
PGD2	+	DMRT1	0.052815	0.054531	0.003154
WT1mKTS	+	DMRT1	0.131547	0.016926	0.002438
SRY	+	DMRT1	0.079568	0.073815	0.006432
DKK1	+	DMRT1	0.066729	0.064716	0.004729
WNT4	+	DMRT1	0.073355	0.062208	0.004997
CBX2	-	DMRT1	-0.008644	0.065595	-0.000621
AMH	+	DMRT1	0.088313	0.071066	0.006873
NR0B1	-	DMRT1	-0.100272	0.187785	-0.020621
NR5A1	+	DMRT1	0.112189	0.058038	0.007131
WT1pKTS	+	DMRT1	0.129432	0.043328	0.006142
FOXL2	-	DMRT1	-0.070787	0.115605	-0.008962
UGR	+	DMRT1	0.080737	0.076811	0.006792
SOX9	+	DMRT1	0.149176	0.081651	0.013339
GATA4	+	DMRT1	0.033070	0.079479	0.002878
DMRT1	+	FGF9	0.086031	0.091768	0.008646
FGF9	+	FGF9	0.145094	0.123377	0.019604
RSPO1	+	FGF9	0.013520	0.082998	0.001229
DHH	+	FGF9	0.020648	0.043292	0.000979
CTNNB1	+	FGF9	0.020542	0.084764	0.001907
PGD2	+	FGF9	0.148174	0.124928	0.020272
WT1mKTS	-	FGF9	-0.135942	0.155619	-0.023168
SRY	+	FGF9	0.022014	0.052152	0.001257
DKK1	+	FGF9	0.092658	0.095478	0.009689
WNT4	-	FGF9	-0.030303	0.091109	-0.003024
CBX2	+	FGF9	0.006928	0.064120	0.000486
AMH	+	FGF9	0.141168	0.122232	0.018897
NR0B1	-	FGF9	-0.041244	0.093402	-0.004219
NR5A1	-	FGF9	-0.014491	0.073288	-0.001163
WT1pKTS	+	FGF9	0.066727	0.102466	0.007488
FOXL2	+	FGF9	0.148538	0.200754	0.032657
UGR	+	FGF9	0.160540	0.202838	0.035662
SOX9	+	FGF9	0.102771	0.098864	0.011127
GATA4	+	FGF9	0.349846	0.897938	0.344027
DMRT1	+	RSPO1	0.092366	0.068509	0.006930
FGF9	-	RSPO1	-0.030473	0.057445	-0.001917
RSPO1	+	RSPO1	0.692177	0.000000	0.000000
DHH	-	RSPO1	-0.023387	0.049772	-0.001275
CTNNB1	+	RSPO1	0.581817	0.000000	0.000000
PGD2	+	RSPO1	0.053881	0.060618	0.003577
WT1mKTS	+	RSPO1	0.251596	0.000000	0.000000
SRY	-	RSPO1	-0.073909	0.147376	-0.011929
DKK1	+	RSPO1	0.029518	0.049755	0.001608
WNT4	+	RSPO1	0.186247	0.000066	0.000014
CBX2	-	RSPO1	-0.328322	1.000000	-0.359559
AMH	+	RSPO1	0.077208	0.068402	0.005784
NR0B1	+	RSPO1	0.034379	0.060596	0.002281
NR5A1	-	RSPO1	-0.086676	0.244124	-0.023173
WT1pKTS	+	RSPO1	0.044351	0.061576	0.002991
FOXL2	+	RSPO1	0.145802	0.004396	0.000702
UGR	-	RSPO1	-0.099290	0.261976	-0.028486
SOX9	+	RSPO1	0.030562	0.048812	0.001634
GATA4	+	RSPO1	0.558917	0.000000	0.000000
DMRT1	+	DHH	0.176718	0.002330	0.000451
FGF9	+	DHH	0.198120	0.002535	0.000550
RSPO1	+	DHH	0.191990	0.000000	0.000000
DHH	+	DHH	0.033405	0.038106	0.001394
CTNNB1	+	DHH	0.044952	0.021149	0.001041
PGD2	+	DHH	0.067414	0.040308	0.002976
WT1mKTS	+	DHH	0.599580	0.000000	0.000000
SRY	-	DHH	-0.034024	0.088029	-0.003280
