Gene1	Gene2	corVal	pValue
DMRT1	DMRT1	1	0
FGF9	FGF9	1	0
RSPO1	RSPO1	1	0
DHH	DHH	1	0
CTNNB1	CTNNB1	1	0
PGD2	PGD2	1	0
WT1mKTS	WT1mKTS	1	0
SRY	SRY	1	0
DKK1	DKK1	1	0
WNT4	WNT4	1	0
CBX2	CBX2	1	0
AMH	AMH	1	0
NR0B1	NR0B1	1	0
NR5A1	NR5A1	1	0
WT1pKTS	WT1pKTS	1	0
FOXL2	FOXL2	1	0
UGR	UGR	1	0
SOX9	SOX9	1	0
GATA4	GATA4	1	0
WT1pKTS	NR5A1	0.346575438455969	6.75285349975149e-46
NR5A1	WT1pKTS	0.346575438455968	6.75285349975265e-46
DMRT1	DKK1	0.273973927932873	1.18444055989091e-28
DKK1	DMRT1	0.273973927932873	1.18444055989094e-28
SRY	DKK1	0.237129145780318	1.13384419500644e-21
DKK1	SRY	0.237129145780318	1.13384419500644e-21
NR0B1	WNT4	0.234697945220142	2.99195770491397e-21
WNT4	NR0B1	0.234697945220142	2.99195770491406e-21
CTNNB1	RSPO1	0.233401718104626	4.99675702625262e-21
RSPO1	CTNNB1	0.233401718104626	4.99675702625269e-21
UGR	CBX2	0.197970279277143	1.87706673222921e-15
CBX2	UGR	0.197970279277143	1.87706673222921e-15
NR5A1	CBX2	0.193429125964547	8.27472016162582e-15
CBX2	NR5A1	0.193429125964547	8.27472016162612e-15
WNT4	CTNNB1	0.181674898007101	3.25832085524523e-13
CTNNB1	WNT4	0.181674898007101	3.25832085524547e-13
DMRT1	SRY	0.162617194601745	7.60088826074254e-11
SRY	DMRT1	0.162617194601745	7.60088826074294e-11
NR0B1	SRY	0.152401263942584	1.09834166949298e-09
SRY	NR0B1	0.152401263942584	1.09834166949302e-09
RSPO1	WNT4	0.145680790054006	5.790377763882e-09
WNT4	RSPO1	0.145680790054006	5.79037776388243e-09
WT1pKTS	WT1mKTS	0.127720910161234	3.4235096968258e-07
WT1mKTS	WT1pKTS	0.127720910161234	3.42350969682583e-07
WT1mKTS	GATA4	0.127545329240115	3.5536247133188e-07
GATA4	WT1mKTS	0.127545329240115	3.55362471331884e-07
FGF9	DHH	0.12231587197064	1.05513380108631e-06
DHH	FGF9	0.12231587197064	1.05513380108633e-06
AMH	DHH	0.118268967638409	2.3769410725037e-06
DHH	AMH	0.118268967638409	2.37694107250373e-06
PGD2	DHH	0.11597634430864	3.72225682534102e-06
DHH	PGD2	0.115976344308639	3.72225682534113e-06
WT1pKTS	SRY	0.114941038195293	4.54549082805762e-06
SRY	WT1pKTS	0.114941038195293	4.54549082805765e-06
SOX9	DKK1	0.114525639456197	4.92254898911969e-06
DKK1	SOX9	0.114525639456197	4.92254898911977e-06
WT1pKTS	UGR	0.109328906911573	1.303604104429e-05
UGR	WT1pKTS	0.109328906911572	1.30360410442901e-05
DMRT1	SOX9	0.0929940446130602	0.000211343998774753
SOX9	DMRT1	0.0929940446130602	0.000211343998774754
AMH	PGD2	0.0876444488727956	0.000481092245260307
PGD2	AMH	0.0876444488727955	0.000481092245260308
WT1pKTS	DMRT1	0.0844786855224288	0.000766801533662294
DMRT1	WT1pKTS	0.0844786855224288	0.000766801533662294
NR0B1	CTNNB1	0.082050189312641	0.00108518327703064
CTNNB1	NR0B1	0.082050189312641	0.00108518327703064
FOXL2	UGR	0.0779722094325254	0.0019056757597693
UGR	FOXL2	0.0779722094325253	0.00190567575976931
SOX9	PGD2	0.0731070360732524	0.00361079716976793
PGD2	SOX9	0.0731070360732523	0.00361079716976796
FGF9	AMH	0.0720222087594783	0.00414379141654668
AMH	FGF9	0.0720222087594782	0.00414379141654675
SOX9	NR5A1	0.0713015946102869	0.00453625315733968
NR5A1	SOX9	0.0713015946102869	0.0045362531573397
GATA4	WT1pKTS	0.0685759065495728	0.00634336720886026
WT1pKTS	GATA4	0.0685759065495728	0.00634336720886028
FOXL2	CTNNB1	0.0669755159531291	0.00768422079625042
CTNNB1	FOXL2	0.0669755159531289	0.00768422079625061
CBX2	WT1pKTS	0.0650345501520456	0.00964729101890505
WT1pKTS	CBX2	0.0650345501520456	0.00964729101890508
FOXL2	WT1mKTS	0.058355824158853	0.0202359486864573
WT1mKTS	FOXL2	0.058355824158853	0.0202359486864573
PGD2	FGF9	0.0531771546730252	0.0343804164417259
FGF9	PGD2	0.0531771546730251	0.0343804164417263
SOX9	FGF9	0.0529373993484938	0.0352017697727902
FGF9	SOX9	0.0529373993484938	0.0352017697727905
DHH	SOX9	0.0486838365454687	0.0527944056974201
SOX9	DHH	0.0486838365454687	0.0527944056974202
FOXL2	RSPO1	0.0461351726028583	0.0664902562012382
RSPO1	FOXL2	0.0461351726028583	0.0664902562012384
NR5A1	UGR	0.0424255760738545	0.0915245628997676
