Parent	Type	Child	Weight	Probability	Score
DMRT1	+	DMRT1	0.324995	0.000000	0.000000
FGF9	+	DMRT1	0.174039	0.003222	0.000658
RSPO1	+	DMRT1	0.764003	0.000000	0.000000
DHH	-	DMRT1	-0.001727	0.036568	-0.000074
CTNNB1	+	DMRT1	0.061427	0.005336	0.000384
PGD2	+	DMRT1	0.062673	0.033544	0.002466
WT1mKTS	+	DMRT1	0.053641	0.000624	0.000039
SRY	+	DMRT1	0.111049	0.004738	0.000617
DKK1	+	DMRT1	0.233037	0.000042	0.000011
WNT4	+	DMRT1	0.828445	0.000000	0.000000
CBX2	+	DMRT1	0.101647	0.002092	0.000249
AMH	+	DMRT1	0.017793	0.034215	0.000714
NR0B1	-	DMRT1	-0.180926	0.998284	-0.211849
NR5A1	+	DMRT1	0.041285	0.026675	0.001292
WT1pKTS	+	DMRT1	0.189878	0.000000	0.000000
FOXL2	-	DMRT1	-0.055723	0.269105	-0.017589
UGR	+	DMRT1	0.071496	0.017362	0.001456
SOX9	+	DMRT1	0.166883	0.003246	0.000635
GATA4	+	DMRT1	0.313233	0.000000	0.000000
DMRT1	+	FGF9	0.093094	0.095380	0.010415
FGF9	+	FGF9	0.199059	0.182370	0.042580
RSPO1	+	FGF9	0.017621	0.084911	0.001755
DHH	-	FGF9	-0.029477	0.047167	-0.001631
CTNNB1	+	FGF9	0.018916	0.085179	0.001890
PGD2	+	FGF9	0.163765	0.137046	0.026324
WT1mKTS	-	FGF9	-0.252886	0.306475	-0.090905
SRY	+	FGF9	0.042221	0.071784	0.003555
DKK1	+	FGF9	0.102325	0.100639	0.012079
WNT4	-	FGF9	-0.017497	0.089224	-0.001831
CBX2	+	FGF9	0.002472	0.061760	0.000179
AMH	+	FGF9	0.148919	0.128188	0.022391
NR0B1	-	FGF9	-0.044117	0.094268	-0.004878
NR5A1	+	FGF9	0.001174	0.069290	0.000095
WT1pKTS	+	FGF9	0.002587	0.069870	0.000212
FOXL2	+	FGF9	0.094889	0.124012	0.013802
UGR	+	FGF9	0.171386	0.237670	0.047777
SOX9	+	FGF9	0.125445	0.112161	0.016503
GATA4	+	FGF9	0.474849	0.994596	0.553953
DMRT1	+	RSPO1	0.111744	0.076638	0.010045
FGF9	+	RSPO1	0.025940	0.047657	0.001450
RSPO1	+	RSPO1	0.701252	0.063144	0.051937
DHH	+	RSPO1	0.018028	0.041498	0.000878
CTNNB1	+	RSPO1	0.591836	0.000003	0.000002
PGD2	+	RSPO1	0.084317	0.076604	0.007576
WT1mKTS	+	RSPO1	0.245550	0.000005	0.000001
SRY	-	RSPO1	-0.068994	0.134171	-0.010858
DKK1	+	RSPO1	0.001431	0.037686	0.000063
WNT4	+	RSPO1	0.025324	0.074412	0.002210
CBX2	-	RSPO1	-0.309316	1.000000	-0.362804
AMH	+	RSPO1	0.071813	0.073483	0.006190
NR0B1	+	RSPO1	0.063698	0.045805	0.003422
NR5A1	-	RSPO1	-0.089887	0.231239	-0.024380
WT1pKTS	+	RSPO1	0.033490	0.069552	0.002732
FOXL2	+	RSPO1	0.093014	0.039245	0.004282
UGR	-	RSPO1	-0.101665	0.249697	-0.029775
SOX9	+	RSPO1	0.043804	0.060659	0.003117
GATA4	+	RSPO1	0.487959	0.000000	0.000000
DMRT1	+	DHH	0.026955	0.047468	0.001501
FGF9	+	DHH	0.171433	0.139405	0.028031
RSPO1	+	DHH	0.091533	0.116562	0.012514
DHH	+	DHH	0.115358	0.101777	0.013771
CTNNB1	+	DHH	0.023595	0.090423	0.002502
PGD2	+	DHH	0.113006	0.098448	0.013049
WT1mKTS	-	DHH	-0.064174	0.117059	-0.008811
SRY	+	DHH	0.035674	0.063731	0.002667
DKK1	+	DHH	0.035757	0.053989	0.002264
WNT4	-	DHH	-0.019757	0.089241	-0.002068
CBX2	-	DHH	-0.010087	0.063883	-0.000756
AMH	+	DHH	0.162643	0.134100	0.025582
NR0B1	-	DHH	-0.044613	0.093993	-0.004918
NR5A1	+	DHH	0.127518	0.138834	0.020765
WT1pKTS	-	DHH	-0.010859	0.072595	-0.000925
FOXL2	+	DHH	0.135097	0.152512	0.024167
UGR	+	DHH	0.200659	0.291522	0.068612
SOX9	+	DHH	0.101008	0.095195	0.011278
GATA4	+	DHH	0.196511	0.222061	0.051183
DMRT1	+	CTNNB1	0.045718	0.063862	0.003424
FGF9	+	CTNNB1	0.012882	0.040501	0.000612
RSPO1	+	CTNNB1	0.627495	0.999093	0.735337
DHH	-	CTNNB1	-0.018388	0.044021	-0.000949
CTNNB1	+	CTNNB1	0.486970	0.012775	0.007297
PGD2	+	CTNNB1	0.045999	0.060360	0.003257
WT1mKTS	+	CTNNB1	0.214109	0.001103	0.000277
SRY	-	CTNNB1	-0.076431	0.126339	-0.011326
DKK1	+	CTNNB1	0.101834	0.086017	0.010274
WNT4	+	CTNNB1	0.210124	0.002750	0.000678
CBX2	-	CTNNB1	-0.330449	1.000000	-0.387591
AMH	+	CTNNB1	0.045151	0.061384	0.003251
NR0B1	+	CTNNB1	0.061041	0.062167	0.004451
NR5A1	-	CTNNB1	-0.085580	0.170993	-0.017164
WT1pKTS	+	CTNNB1	0.022982	0.072414	0.001952
FOXL2	+	CTNNB1	0.169449	0.019251	0.003826
UGR	-	CTNNB1	-0.115643	0.242353	-0.032873
SOX9	+	CTNNB1	0.108990	0.087486	0.011184
GATA4	+	CTNNB1	0.403059	0.000027	0.000013
DMRT1	+	PGD2	0.018945	0.042941	0.000954
FGF9	+	PGD2	0.142426	0.121894	0.020363
RSPO1	+	PGD2	0.093341	0.116860	0.012794
DHH	+	PGD2	0.109940	0.101681	0.013112
CTNNB1	+	PGD2	0.061601	0.101817	0.007357
PGD2	+	PGD2	0.084863	0.084782	0.008439
WT1mKTS	-	PGD2	-0.007010	0.115296	-0.000948
SRY	-	PGD2	-0.018702	0.048642	-0.001067
DKK1	+	PGD2	0.087348	0.091653	0.009390
WNT4	-	PGD2	-0.046599	0.097167	-0.005311
CBX2	+	PGD2	0.061100	0.093397	0.006693
AMH	+	PGD2	0.103991	0.098703	0.012039
NR0B1	+	PGD2	0.635606	0.000000	0.000000
NR5A1	-	PGD2	-0.013057	0.071054	-0.001088
WT1pKTS	-	PGD2	-0.042609	0.086919	-0.004344
FOXL2	-	PGD2	-0.055030	0.090704	-0.005855
UGR	+	PGD2	0.136331	0.148057	0.023675
SOX9	+	PGD2	0.057316	0.069654	0.004683
GATA4	+	PGD2	0.423380	0.999779	0.496483
DMRT1	+	WT1mKTS	0.015900	0.061554	0.001148
FGF9	-	WT1mKTS	-0.009705	0.051575	-0.000587
RSPO1	+	WT1mKTS	0.062079	0.011996	0.000873
DHH	+	WT1mKTS	0.034452	0.082387	0.003329
CTNNB1	+	WT1mKTS	0.005702	0.083843	0.000561
PGD2	+	WT1mKTS	0.042292	0.087167	0.004324
WT1mKTS	+	WT1mKTS	0.671792	1.000000	0.787961
SRY	-	WT1mKTS	-0.004906	0.050506	-0.000291
DKK1	+	WT1mKTS	0.023175	0.073323	0.001993
WNT4	+	WT1mKTS	0.087266	0.001292	0.000132
CBX2	+	WT1mKTS	0.030931	0.072345	0.002625
AMH	+	WT1mKTS	0.032094	0.080381	0.003026
NR0B1	+	WT1mKTS	0.080933	0.002045	0.000194
NR5A1	+	WT1mKTS	0.023481	0.071839	0.001979
WT1pKTS	+	WT1mKTS	0.025376	0.066431	0.001977
FOXL2	+	WT1mKTS	0.040323	0.045137	0.002135
UGR	+	WT1mKTS	0.091992	0.030034	0.003241
SOX9	-	WT1mKTS	-0.006771	0.045205	-0.000359
GATA4	+	WT1mKTS	0.503273	1.000000	0.590301
DMRT1	+	SRY	0.048093	0.025051	0.001413
FGF9	+	SRY	0.208746	0.000096	0.000023
RSPO1	+	SRY	0.037265	0.013079	0.000572
DHH	-	SRY	-0.001547	0.036979	-0.000067
CTNNB1	-	SRY	-0.207574	1.000000	-0.243468
PGD2	-	SRY	-0.045193	0.090810	-0.004814
WT1mKTS	-	SRY	-0.110271	0.999051	-0.129217
SRY	+	SRY	1.568044	0.000000	0.000000
DKK1	+	SRY	0.344970	0.000000	0.000000
WNT4	+	SRY	2.668846	0.000000	0.000000
CBX2	+	SRY	0.497705	0.000000	0.000000
AMH	+	SRY	0.174365	0.000571	0.000117
NR0B1	+	SRY	1.686154	0.000000	0.000000
NR5A1	+	SRY	1.442023	0.000000	0.000000
WT1pKTS	-	SRY	-0.022492	0.162003	-0.004274
FOXL2	-	SRY	-0.246879	1.000000	-0.289570
UGR	-	SRY	-0.037608	0.140895	-0.006215
SOX9	+	SRY	0.158113	0.001248	0.000231
GATA4	+	SRY	0.247374	0.000000	0.000000
DMRT1	+	DKK1	0.649696	0.000000	0.000000
FGF9	+	DKK1	0.022236	0.027826	0.000726
RSPO1	+	DKK1	1.074162	0.000000	0.000000
DHH	+	DKK1	0.056708	0.018597	0.001237
CTNNB1	+	DKK1	1.250208	0.000000	0.000000
PGD2	+	DKK1	0.088781	0.009863	0.001027
WT1mKTS	-	DKK1	-0.200454	0.999937	-0.235103
SRY	+	DKK1	0.609660	0.000000	0.000000
DKK1	+	DKK1	0.124251	0.000991	0.000144
WNT4	+	DKK1	0.880902	0.000000	0.000000
CBX2	+	DKK1	0.412014	0.000000	0.000000
AMH	+	DKK1	0.061717	0.016739	0.001212
NR0B1	-	DKK1	-0.072705	0.872460	-0.074401
NR5A1	+	DKK1	0.813519	0.000000	0.000000
