Gene1	Gene2	corVal	pValue
DMRT1	DMRT1	1	0
FGF9	FGF9	1	0
RSPO1	RSPO1	1	0
DHH	DHH	1	0
CTNNB1	CTNNB1	1	0
PGD2	PGD2	1	0
WT1mKTS	WT1mKTS	1	0
SRY	SRY	1	0
DKK1	DKK1	1	0
WNT4	WNT4	1	0
CBX2	CBX2	1	0
AMH	AMH	1	0
NR0B1	NR0B1	1	0
NR5A1	NR5A1	1	0
WT1pKTS	WT1pKTS	1	0
FOXL2	FOXL2	1	0
UGR	UGR	1	0
SOX9	SOX9	1	0
GATA4	GATA4	1	0
WT1pKTS	NR5A1	0.352290980837201	1.82133452675737e-47
NR5A1	WT1pKTS	0.3522909808372	1.82133452675763e-47
DKK1	DMRT1	0.272157853816102	2.78157014733816e-28
DMRT1	DKK1	0.272157853816102	2.78157014733816e-28
RSPO1	CTNNB1	0.227826210551395	4.37923713706848e-20
CTNNB1	RSPO1	0.227826210551395	4.37923713706886e-20
SRY	DKK1	0.222257752102473	3.61599598060524e-19
DKK1	SRY	0.222257752102473	3.61599598060535e-19
CTNNB1	WNT4	0.20901277913315	4.37526928132722e-17
WNT4	CTNNB1	0.20901277913315	4.37526928132748e-17
UGR	CBX2	0.196300925550396	3.25193405249673e-15
CBX2	UGR	0.196300925550396	3.25193405249683e-15
NR5A1	CBX2	0.195005204685817	4.96505902448604e-15
CBX2	NR5A1	0.195005204685817	4.96505902448613e-15
WNT4	NR0B1	0.194225640672326	6.39560484478407e-15
NR0B1	WNT4	0.194225640672326	6.3956048447847e-15
DMRT1	SRY	0.169164822188972	1.2517497649211e-11
SRY	DMRT1	0.169164822188971	1.25174976492116e-11
NR0B1	SRY	0.140502100759196	1.98161398875677e-08
SRY	NR0B1	0.140502100759196	1.9816139887568e-08
GATA4	WT1mKTS	0.136834983073699	4.61159688183465e-08
WT1mKTS	GATA4	0.136834983073699	4.61159688183473e-08
WT1pKTS	WT1mKTS	0.134526774011757	7.76015282446467e-08
WT1mKTS	WT1pKTS	0.134526774011757	7.76015282446479e-08
SOX9	DKK1	0.130713708659502	1.79895961891986e-07
DKK1	SOX9	0.130713708659502	1.79895961891986e-07
WNT4	RSPO1	0.129986226341927	2.10633238758858e-07
RSPO1	WNT4	0.129986226341927	2.10633238758871e-07
SRY	WT1pKTS	0.123780593923438	7.81353017611429e-07
WT1pKTS	SRY	0.123780593923438	7.81353017611437e-07
PGD2	AMH	0.114500462377076	4.94633899736746e-06
AMH	PGD2	0.114500462377076	4.94633899736749e-06
DHH	AMH	0.113117647902902	6.43598485834891e-06
AMH	DHH	0.113117647902902	6.43598485834906e-06
UGR	WT1pKTS	0.110553565877224	1.04025403963062e-05
WT1pKTS	UGR	0.110553565877224	1.04025403963062e-05
DHH	FGF9	0.10843544747906	1.53461718091397e-05
FGF9	DHH	0.10843544747906	1.53461718091397e-05
PGD2	DHH	0.103260827488679	3.85180710975491e-05
DHH	PGD2	0.103260827488679	3.85180710975497e-05
DMRT1	SOX9	0.0991513103809232	7.76464150926226e-05
SOX9	DMRT1	0.099151310380923	7.7646415092625e-05
FGF9	PGD2	0.0976677306461115	9.93646782186423e-05
PGD2	FGF9	0.0976677306461114	9.93646782186439e-05
NR5A1	SOX9	0.0935904551856082	0.000192300160429753
SOX9	NR5A1	0.0935904551856081	0.000192300160429755
DHH	SOX9	0.0914956325899817	0.000267284960446705
SOX9	DHH	0.0914956325899816	0.000267284960446709
NR0B1	CTNNB1	0.0914099212377429	0.000270871221291799
CTNNB1	NR0B1	0.0914099212377428	0.000270871221291804
WT1pKTS	GATA4	0.0905986126268107	0.000307121558356344
GATA4	WT1pKTS	0.0905986126268107	0.000307121558356345
FGF9	AMH	0.0841061406315659	0.000809230087999068
AMH	FGF9	0.0841061406315658	0.000809230087999089
DMRT1	WT1pKTS	0.0824727071043145	0.00102221432501988
WT1pKTS	DMRT1	0.0824727071043145	0.00102221432501988
UGR	FOXL2	0.0701913631848196	0.00520702261683137
FOXL2	UGR	0.0701913631848196	0.0052070226168314
FOXL2	CTNNB1	0.0647717874204799	0.00994481751056013
CTNNB1	FOXL2	0.0647717874204799	0.00994481751056015
FOXL2	WT1mKTS	0.0592370815462638	0.0184197739915665
WT1mKTS	FOXL2	0.0592370815462638	0.0184197739915665
PGD2	SOX9	0.0492861299721474	0.0499272832411223
SOX9	PGD2	0.0492861299721473	0.0499272832411226
FGF9	SOX9	0.044508180991752	0.0766734398452338
SOX9	FGF9	0.0445081809917519	0.0766734398452342
CBX2	WT1pKTS	0.0420103955892541	0.094744971295429
WT1pKTS	CBX2	0.042010395589254	0.0947449712954298
FOXL2	RSPO1	0.04037780135805	0.108297041851041
RSPO1	FOXL2	0.04037780135805	0.108297041851041
