Regulator	Target	SINGE_Score
WT1mKTS	UGR	6
WT1mKTS	CBX2	1.5
WT1mKTS	CTNNB1	0.66666
WT1mKTS	DKK1	0.375
WT1mKTS	DMRT1	0.24
WT1mKTS	PGD2	0.16666
WT1mKTS	AMH	0.12244
WT1mKTS	RSPO1	0.09375
NR0B1	DKK1	0.07407
CTNNB1	CBX2	0.06
GATA4	CBX2	0.04958
GATA4	NR5A1	0.04166
WT1mKTS	WNT4	0.0355
GATA4	AMH	0.03061
CTNNB1	FOXL2	0.02666
CTNNB1	NR5A1	0.02343
NR0B1	DMRT1	0.02076
GATA4	RSPO1	0.01851
GATA4	PGD2	0.01662
NR0B1	FOXL2	0.015
WNT4	SRY	0.0136
CTNNB1	WT1pKTS	0.01239
WT1mKTS	NR0B1	0.01134
NR0B1	DHH	0.0096
GATA4	UGR	0.00887
NR0B1	CBX2	0.00823
WT1mKTS	WT1pKTS	0.00765
CTNNB1	RSPO1	0.00713
GATA4	CTNNB1	0.00666
WNT4	FOXL2	0.00624
GATA4	SRY	0.00585
WNT4	CTNNB1	0.0055
WNT4	RSPO1	0.00519
WNT4	NR5A1	0.00489
GATA4	DMRT1	0.00462
NR0B1	FGF9	0.00438
WT1mKTS	SRY	0.00415
NR0B1	UGR	0.00394
DKK1	WT1pKTS	0.00375
NR0B1	SRY	0.00356
GATA4	WNT4	0.0034
RSPO1	CBX2	0.00324
RSPO1	SOX9	0.00309
GATA4	WT1pKTS	0.00296
NR0B1	CTNNB1	0.00283
PGD2	CBX2	0.00271
PGD2	UGR	0.0026
WNT4	WT1pKTS	0.00249
DKK1	FOXL2	0.0024
DKK1	CTNNB1	0.0023
DKK1	CBX2	0.00221
WNT4	CBX2	0.00213
DKK1	UGR	0.00205
GATA4	DKK1	0.00198
WNT4	DHH	0.00191
FGF9	UGR	0.00184
NR5A1	WT1pKTS	0.00178
DMRT1	NR5A1	0.00172
DKK1	RSPO1	0.00166
DKK1	NR5A1	0.00161
WNT4	AMH	0.00156
DMRT1	FOXL2	0.00151
DMRT1	RSPO1	0.00146
DMRT1	CTNNB1	0.00142
GATA4	FOXL2	0.00137
