Regulator	Target	SINGE_Score
WT1mKTS	DMRT1	6
WT1pKTS	DMRT1	1.5
WT1pKTS	DKK1	0.66666
WT1pKTS	AMH	0.375
GATA4	DHH	0.24
WT1mKTS	CBX2	0.16666
GATA4	SRY	0.12244
WT1mKTS	NR0B1	0.09375
WT1mKTS	PGD2	0.07407
WT1mKTS	DKK1	0.06
GATA4	SOX9	0.04958
GATA4	CBX2	0.04166
GATA4	FGF9	0.0355
GATA4	NR0B1	0.03061
WT1pKTS	WNT4	0.02666
GATA4	RSPO1	0.02343
GATA4	PGD2	0.02076
WT1pKTS	UGR	0.01851
GATA4	UGR	0.01662
WT1mKTS	AMH	0.015
WT1pKTS	SOX9	0.0136
WT1mKTS	WNT4	0.01239
WT1mKTS	NR5A1	0.01134
WT1pKTS	NR0B1	0.01041
WT1pKTS	PGD2	0.0096
WT1pKTS	NR5A1	0.00823
GATA4	NR5A1	0.00765
SRY	CBX2	0.00713
WT1pKTS	CTNNB1	0.00666
WT1mKTS	SRY	0.00624
FGF9	AMH	0.00585
NR5A1	WNT4	0.0055
GATA4	DKK1	0.00519
GATA4	DMRT1	0.00489
WT1pKTS	DHH	0.00462
FOXL2	DMRT1	0.00438
WT1mKTS	SOX9	0.00415
WT1mKTS	FGF9	0.00394
WT1pKTS	CBX2	0.00375
WT1pKTS	RSPO1	0.00356
FOXL2	SOX9	0.0034
WT1pKTS	FOXL2	0.00324
FOXL2	NR0B1	0.00309
NR5A1	UGR	0.00296
NR5A1	NR0B1	0.00283
GATA4	CTNNB1	0.00249
UGR	CBX2	0.0024
NR5A1	DHH	0.0023
NR0B1	FGF9	0.00221
DHH	WNT4	0.00213
FOXL2	FGF9	0.00198
SRY	RSPO1	0.00191
DHH	AMH	0.00184
DHH	FGF9	0.00178
WT1pKTS	FGF9	0.00172
DHH	DMRT1	0.00166
FGF9	DHH	0.00161
FOXL2	DKK1	0.00151
NR5A1	DMRT1	0.00146
NR5A1	FGF9	0.00142
FGF9	PGD2	0.00137
FOXL2	AMH	0.00133
FOXL2	PGD2	0.00129
WT1mKTS	DHH	0.00126
FOXL2	DHH	0.00122
FGF9	SOX9	0.00119
SRY	DKK1	0.00115
PGD2	DMRT1	0.00112
FGF9	DKK1	0.00109
SOX9	UGR	0.00106
SOX9	WNT4	0.00103
SOX9	AMH	0.00101
FOXL2	CBX2	0.00098
NR0B1	UGR	0.00096
SOX9	DMRT1	0.00093
SRY	FGF9	0.00089
FOXL2	WNT4	0.00085
FGF9	CBX2	0.00083
DHH	DKK1	0.00081
NR5A1	RSPO1	0.00079
SOX9	DKK1	0.00077
RSPO1	DMRT1	0.00074
SOX9	CBX2	0.00072
UGR	SOX9	0.0007
RSPO1	SOX9	0.00069
WT1mKTS	FOXL2	0.00067
SOX9	RSPO1	0.00065
NR5A1	PGD2	0.00063
PGD2	NR0B1	0.00062
SRY	DHH	0.00061
AMH	DMRT1	0.00058
CBX2	FGF9	0.00057
WT1mKTS	CTNNB1	0.00056
SOX9	PGD2	0.00055
FGF9	UGR	0.00054
DHH	NR0B1	0.00052
PGD2	DKK1	0.00051
SOX9	FGF9	0.0005
PGD2	DHH	0.00049
FGF9	DMRT1	0.00048
UGR	WNT4	0.00047
PGD2	CBX2	0.00046
WNT4	UGR	0.00046
DHH	SOX9	0.00045
WNT4	FGF9	0.00044
CBX2	DHH	0.00043
CBX2	UGR	0.00043
UGR	PGD2	0.00042
DHH	CTNNB1	0.00041
DKK1	WNT4	0.0004
CTNNB1	CBX2	0.0004
SRY	FOXL2	0.00039
WT1mKTS	UGR	0.00039
FOXL2	RSPO1	0.00038
FGF9	NR0B1	0.00037
DMRT1	SOX9	0.00037
RSPO1	FGF9	0.00036
NR0B1	AMH	0.00036
RSPO1	WNT4	0.00035
FOXL2	CTNNB1	0.00034
NR0B1	NR5A1	0.00034
AMH	PGD2	0.00033
CBX2	AMH	0.00033
DKK1	UGR	0.00032
CTNNB1	WNT4	0.00032
RSPO1	UGR	0.00031
NR0B1	SRY	0.00031
CTNNB1	RSPO1	0.00031
SRY	DMRT1	0.0003
