Parent	Type	Child	Weight	Probability	Score
DMRT1	+	DMRT1	1.142061	0.000000	0.000000
FGF9	-	DMRT1	-0.047364	0.153011	-0.009123
RSPO1	+	DMRT1	0.080867	0.029144	0.002967
DHH	-	DMRT1	-0.047612	0.150690	-0.009032
CTNNB1	-	DMRT1	-0.019052	0.054614	-0.001310
PGD2	+	DMRT1	0.174808	0.000108	0.000024
WT1mKTS	+	DMRT1	1.004121	0.000000	0.000000
SRY	+	DMRT1	0.132246	0.000035	0.000006
DKK1	+	DMRT1	0.863566	0.000000	0.000000
WNT4	-	DMRT1	-0.097909	0.554827	-0.068383
CBX2	-	DMRT1	-0.161413	0.993732	-0.201918
AMH	+	DMRT1	0.107202	0.007182	0.000969
NR0B1	-	DMRT1	-0.001684	0.065861	-0.000140
NR5A1	-	DMRT1	-0.345381	1.000000	-0.434777
WT1pKTS	+	DMRT1	0.885869	0.000000	0.000000
FOXL2	-	DMRT1	-0.067074	0.120587	-0.010182
UGR	-	DMRT1	-0.058211	0.192107	-0.014077
SOX9	+	DMRT1	0.384104	0.000000	0.000000
GATA4	+	DMRT1	0.208819	0.000000	0.000000
DMRT1	+	FGF9	0.151919	0.179877	0.034400
FGF9	+	FGF9	0.434345	0.999983	0.546759
RSPO1	-	FGF9	-0.087608	0.109634	-0.012091
DHH	+	FGF9	0.274849	0.695481	0.240629
CTNNB1	-	FGF9	-0.049028	0.075522	-0.004661
PGD2	+	FGF9	0.359406	0.991805	0.448726
WT1mKTS	-	FGF9	-0.319791	0.582757	-0.234597
SRY	+	FGF9	0.162350	0.191560	0.039149
DKK1	-	FGF9	-0.039918	0.087654	-0.004405
WNT4	-	FGF9	-0.018287	0.066121	-0.001522
CBX2	-	FGF9	-0.031246	0.071564	-0.002815
AMH	+	FGF9	0.435234	0.999992	0.547883
NR0B1	-	FGF9	-0.159798	0.205765	-0.041391
NR5A1	+	FGF9	0.224252	0.378255	0.106780
WT1pKTS	+	FGF9	0.622046	0.996498	0.780311
FOXL2	+	FGF9	0.049945	0.062650	0.003939
UGR	-	FGF9	-0.012289	0.046842	-0.000725
SOX9	+	FGF9	0.043208	0.087295	0.004748
GATA4	-	FGF9	-0.413043	0.876157	-0.455560
DMRT1	+	RSPO1	0.790206	0.000000	0.000000
FGF9	-	RSPO1	-0.117844	0.591423	-0.087735
RSPO1	+	RSPO1	1.189526	0.000000	0.000000
DHH	-	RSPO1	-0.165130	0.944084	-0.196248
CTNNB1	+	RSPO1	0.813348	0.000000	0.000000
PGD2	+	RSPO1	0.056334	0.031350	0.002223
WT1mKTS	+	RSPO1	0.845885	0.000000	0.000000
SRY	+	RSPO1	0.043168	0.022791	0.001238
DKK1	+	RSPO1	0.159477	0.000013	0.000003
WNT4	+	RSPO1	0.392630	0.000000	0.000000
CBX2	+	RSPO1	0.289104	0.000000	0.000000
AMH	+	RSPO1	0.075829	0.021365	0.002039
NR0B1	+	RSPO1	0.008087	0.056121	0.000571
NR5A1	-	RSPO1	-0.291743	1.000000	-0.367256
WT1pKTS	+	RSPO1	0.145028	0.000000	0.000000
FOXL2	-	RSPO1	-0.003973	0.035439	-0.000177
UGR	-	RSPO1	-0.083459	0.286828	-0.030134
SOX9	-	RSPO1	-0.160236	0.950737	-0.191774
GATA4	+	RSPO1	0.996426	0.000000	0.000000
DMRT1	+	DHH	0.029862	0.003693	0.000139
FGF9	+	DHH	2.066884	0.000000	0.000000
RSPO1	-	DHH	-0.066466	0.644842	-0.053954
DHH	+	DHH	1.548015	0.000000	0.000000
CTNNB1	-	DHH	-0.022719	0.098283	-0.002811
PGD2	+	DHH	2.093796	0.000000	0.000000
WT1mKTS	-	DHH	-0.033463	0.935283	-0.039398
