Parent	Type	Child	Weight	Probability	Score
DMRT1	+	DMRT1	0.218784	0.163372	0.039275
FGF9	+	DMRT1	0.044395	0.054930	0.002680
RSPO1	+	DMRT1	0.262179	0.222070	0.063976
DHH	+	DMRT1	0.068626	0.069100	0.005211
CTNNB1	+	DMRT1	0.051115	0.091382	0.005133
PGD2	+	DMRT1	0.088021	0.078472	0.007590
WT1mKTS	-	DMRT1	-0.109475	0.163460	-0.019663
SRY	+	DMRT1	0.131255	0.108848	0.015699
DKK1	+	DMRT1	0.127493	0.101037	0.014154
WNT4	+	DMRT1	0.133029	0.098798	0.014442
CBX2	+	DMRT1	0.050284	0.084305	0.004658
AMH	+	DMRT1	0.021599	0.042266	0.001003
NR0B1	+	DMRT1	0.962216	0.000000	0.000000
NR5A1	+	DMRT1	0.023099	0.077969	0.001979
WT1pKTS	+	DMRT1	0.102715	0.102128	0.011527
FOXL2	-	DMRT1	-0.131770	0.137318	-0.019883
UGR	+	DMRT1	0.072313	0.092193	0.007326
SOX9	+	DMRT1	0.138317	0.104409	0.015869
GATA4	+	DMRT1	0.354717	0.359623	0.140170
DMRT1	+	FGF9	0.169624	0.154650	0.028825
FGF9	+	FGF9	0.117074	0.104804	0.013482
RSPO1	+	FGF9	0.039536	0.093480	0.004061
DHH	+	FGF9	0.014585	0.039798	0.000638
CTNNB1	+	FGF9	0.046801	0.096169	0.004946
PGD2	+	FGF9	0.070024	0.075336	0.005797
WT1mKTS	-	FGF9	-0.230266	0.249783	-0.063200
SRY	+	FGF9	0.058241	0.082769	0.005297
DKK1	+	FGF9	0.056391	0.070874	0.004392
WNT4	-	FGF9	-0.058176	0.099377	-0.006353
CBX2	+	FGF9	0.038056	0.080735	0.003376
AMH	+	FGF9	0.154545	0.133124	0.022607
NR0B1	-	FGF9	-0.038253	0.092936	-0.003906
NR5A1	-	FGF9	-0.014122	0.072851	-0.001130
WT1pKTS	+	FGF9	0.061223	0.098438	0.006622
FOXL2	+	FGF9	0.146462	0.183681	0.029561
UGR	+	FGF9	0.184195	0.266548	0.053948
SOX9	+	FGF9	0.164528	0.142986	0.025850
GATA4	+	FGF9	0.390140	0.845032	0.362260
DMRT1	+	RSPO1	0.104026	0.072131	0.008245
FGF9	-	RSPO1	-0.018842	0.047203	-0.000977
RSPO1	+	RSPO1	0.598951	0.000000	0.000000
DHH	-	RSPO1	-0.095422	0.145688	-0.015276
CTNNB1	+	RSPO1	0.709493	0.000000	0.000000
PGD2	+	RSPO1	0.020524	0.042714	0.000963
WT1mKTS	+	RSPO1	0.240289	0.000001	0.000000
SRY	-	RSPO1	-0.086709	0.173927	-0.016571
DKK1	+	RSPO1	0.023713	0.046541	0.001213
WNT4	+	RSPO1	0.047927	0.053290	0.002806
CBX2	-	RSPO1	-0.317256	1.000000	-0.348607
AMH	+	RSPO1	0.092146	0.073611	0.007453
NR0B1	+	RSPO1	0.098799	0.016354	0.001775
NR5A1	-	RSPO1	-0.085815	0.219788	-0.020725
WT1pKTS	+	RSPO1	0.047473	0.064239	0.003351
FOXL2	+	RSPO1	0.124593	0.014999	0.002053
UGR	-	RSPO1	-0.083986	0.184980	-0.017071
SOX9	+	RSPO1	0.060300	0.066695	0.004419
GATA4	+	RSPO1	0.515746	0.000000	0.000000
DMRT1	+	DHH	0.100555	0.096694	0.010684
FGF9	+	DHH	0.092606	0.087958	0.008950
RSPO1	+	DHH	0.055819	0.100866	0.006187
DHH	+	DHH	0.063294	0.070268	0.004887
CTNNB1	+	DHH	0.004157	0.085771	0.000392
PGD2	+	DHH	0.174558	0.138898	0.026642
WT1mKTS	+	DHH	0.285499	0.738389	0.231641
SRY	-	DHH	-0.006902	0.039972	-0.000303
DKK1	+	DHH	0.053423	0.066563	0.003907
WNT4	-	DHH	-0.010064	0.087469	-0.000967
CBX2	+	DHH	0.038712	0.080466	0.003423
AMH	+	DHH	0.189641	0.160325	0.033409
NR0B1	+	DHH	0.015968	0.087514	0.001535
NR5A1	+	DHH	0.113674	0.119986	0.014987
WT1pKTS	+	DHH	0.504189	0.000000	0.000000
FOXL2	+	DHH	0.075659	0.106609	0.008863
UGR	+	DHH	0.121863	0.130860	0.017523
SOX9	+	DHH	0.077519	0.080524	0.006859
GATA4	-	DHH	-0.063313	0.121444	-0.008449
DMRT1	+	CTNNB1	0.065743	0.075185	0.005431
FGF9	+	CTNNB1	0.005575	0.038738	0.000237
RSPO1	+	CTNNB1	0.640925	0.999052	0.703592
DHH	-	CTNNB1	-0.091494	0.127444	-0.012813
CTNNB1	+	CTNNB1	0.485757	0.001517	0.000809
PGD2	+	CTNNB1	0.025305	0.046590	0.001295
WT1mKTS	+	CTNNB1	0.181696	0.001340	0.000268
SRY	-	CTNNB1	-0.069919	0.120541	-0.009261
DKK1	+	CTNNB1	0.072943	0.077739	0.006231
WNT4	-	CTNNB1	-0.014501	0.107363	-0.001711
CBX2	-	CTNNB1	-0.309100	1.000000	-0.339645
AMH	+	CTNNB1	0.102235	0.084695	0.009515
NR0B1	+	CTNNB1	0.350741	0.000011	0.000004
NR5A1	-	CTNNB1	-0.100514	0.236925	-0.026168
WT1pKTS	+	CTNNB1	0.019347	0.071211	0.001514
FOXL2	+	CTNNB1	0.144947	0.022818	0.003634
UGR	-	CTNNB1	-0.093498	0.183795	-0.018883
SOX9	+	CTNNB1	0.107228	0.085677	0.010095
GATA4	+	CTNNB1	0.395068	0.000003	0.000002
DMRT1	+	PGD2	0.039267	0.040278	0.001738
FGF9	+	PGD2	0.048707	0.041587	0.002226
RSPO1	+	PGD2	0.184389	0.000000	0.000000
DHH	+	PGD2	0.266160	0.000035	0.000010
CTNNB1	-	PGD2	-0.015662	0.126253	-0.002173
PGD2	+	PGD2	0.181896	0.005427	0.001085
WT1mKTS	+	PGD2	0.187473	0.000000	0.000000
SRY	-	PGD2	-0.037562	0.096432	-0.003980
DKK1	-	PGD2	-0.034624	0.070805	-0.002694
WNT4	+	PGD2	0.011805	0.061297	0.000795
CBX2	+	PGD2	0.006039	0.059808	0.000397
AMH	+	PGD2	0.042720	0.040936	0.001922
NR0B1	+	PGD2	0.427760	0.000000	0.000000
NR5A1	+	PGD2	0.021460	0.051099	0.001205
WT1pKTS	+	PGD2	0.048563	0.023560	0.001257
FOXL2	-	PGD2	-0.005036	0.072564	-0.000402
UGR	+	PGD2	0.191156	0.000000	0.000000
SOX9	+	PGD2	0.071269	0.039998	0.003132
GATA4	+	PGD2	0.710317	0.000000	0.000000
DMRT1	+	WT1mKTS	0.038286	0.083135	0.003497
FGF9	+	WT1mKTS	0.007998	0.045186	0.000397
RSPO1	+	WT1mKTS	0.029196	0.056433	0.001810
DHH	+	WT1mKTS	0.026260	0.074139	0.002139
CTNNB1	+	WT1mKTS	0.051044	0.023337	0.001309
PGD2	+	WT1mKTS	0.052397	0.090599	0.005216
WT1mKTS	+	WT1mKTS	0.699290	1.000000	0.768392
SRY	+	WT1mKTS	0.002353	0.046870	0.000121
DKK1	+	WT1mKTS	0.018195	0.065272	0.001305
WNT4	+	WT1mKTS	0.062408	0.007415	0.000508
CBX2	+	WT1mKTS	0.035096	0.067566	0.002606
AMH	+	WT1mKTS	0.032742	0.080013	0.002879
NR0B1	+	WT1mKTS	0.086006	0.000896	0.000085
NR5A1	+	WT1mKTS	0.041763	0.047695	0.002189
WT1pKTS	+	WT1mKTS	0.030203	0.058884	0.001954
FOXL2	+	WT1mKTS	0.071956	0.008220	0.000650
UGR	+	WT1mKTS	0.093220	0.023387	0.002396
SOX9	+	WT1mKTS	0.025262	0.073553	0.002042
GATA4	+	WT1mKTS	0.453987	1.000000	0.498849
DMRT1	+	SRY	0.104106	0.088642	0.010140
FGF9	-	SRY	-0.006387	0.038140	-0.000268
RSPO1	+	SRY	0.114965	0.107438	0.013572
DHH	+	SRY	0.052164	0.056183	0.003220
CTNNB1	-	SRY	-0.352934	0.569311	-0.220785
PGD2	+	SRY	0.031154	0.045072	0.001543
WT1mKTS	+	SRY	1.051875	0.000000	0.000000
SRY	+	SRY	0.453570	0.995725	0.496261
DKK1	+	SRY	0.135142	0.103540	0.015375
WNT4	+	SRY	0.762784	1.000000	0.838161
CBX2	+	SRY	0.126566	0.112702	0.015674
AMH	+	SRY	0.127344	0.097196	0.013600
NR0B1	+	SRY	0.227096	0.203558	0.050795
NR5A1	+	SRY	0.343554	0.785829	0.296654
WT1pKTS	+	SRY	0.101217	0.105096	0.011689
FOXL2	-	SRY	-0.281239	0.416664	-0.128762
UGR	+	SRY	0.019276	0.058978	0.001249
SOX9	+	SRY	0.029099	0.044942	0.001437
GATA4	-	SRY	-0.151225	0.149123	-0.024780
DMRT1	+	DKK1	0.172800	0.133417	0.025333
FGF9	+	DKK1	0.163542	0.121964	0.021917
RSPO1	+	DKK1	0.239545	0.327684	0.086252
DHH	+	DKK1	0.097295	0.086459	0.009243
CTNNB1	+	DKK1	0.046024	0.094301	0.004769
PGD2	+	DKK1	0.161751	0.119010	0.021152
WT1mKTS	-	DKK1	-0.330072	0.364184	-0.132086
SRY	+	DKK1	0.096160	0.098934	0.010454
DKK1	+	DKK1	0.140410	0.112088	0.017293
WNT4	+	DKK1	0.121796	0.111480	0.014920
CBX2	+	DKK1	0.113403	0.114760	0.014300
AMH	+	DKK1	0.078531	0.076882	0.006634
NR0B1	-	DKK1	-0.125392	0.118084	-0.016270
NR5A1	+	DKK1	0.101894	0.110482	0.012370
WT1pKTS	+	DKK1	0.092024	0.106673	0.010787
FOXL2	-	DKK1	-0.094681	0.102959	-0.010712
UGR	+	DKK1	0.048229	0.079410	0.004208
SOX9	-	DKK1	-0.005611	0.038134	-0.000235
GATA4	+	DKK1	0.376693	0.423205	0.175172
DMRT1	-	WNT4	-0.057587	0.099446	-0.006293
FGF9	-	WNT4	-0.057884	0.095084	-0.006048
RSPO1	+	WNT4	0.026817	0.081114	0.002390
