Gene1	Gene2	corVal	pValue
DMRT1	DMRT1	1	0
FGF9	FGF9	1	0
RSPO1	RSPO1	1	0
DHH	DHH	1	0
CTNNB1	CTNNB1	1	0
PGD2	PGD2	1	0
WT1mKTS	WT1mKTS	1	0
SRY	SRY	1	0
DKK1	DKK1	1	0
WNT4	WNT4	1	0
CBX2	CBX2	1	0
AMH	AMH	1	0
NR0B1	NR0B1	1	0
NR5A1	NR5A1	1	0
WT1pKTS	WT1pKTS	1	0
FOXL2	FOXL2	1	0
UGR	UGR	1	0
SOX9	SOX9	1	0
GATA4	GATA4	1	0
WT1pKTS	NR5A1	0.367365743539434	9.19666886547154e-52
NR5A1	WT1pKTS	0.367365743539434	9.19666886547391e-52
DKK1	DMRT1	0.270095954619516	7.27510290972062e-28
DMRT1	DKK1	0.270095954619516	7.27510290972077e-28
SRY	DKK1	0.223953213945004	1.91282716053676e-19
DKK1	SRY	0.223953213945004	1.91282716053691e-19
RSPO1	CTNNB1	0.222990632926954	2.74766702126169e-19
CTNNB1	RSPO1	0.222990632926953	2.74766702126211e-19
UGR	CBX2	0.20754563252762	7.29978031800765e-17
CBX2	UGR	0.20754563252762	7.29978031800765e-17
NR0B1	WNT4	0.207398310975085	7.68316719322071e-17
WNT4	NR0B1	0.207398310975085	7.68316719322088e-17
DMRT1	SRY	0.18160429291541	3.32860943622199e-13
SRY	DMRT1	0.18160429291541	3.32860943622215e-13
CTNNB1	WNT4	0.178840093697009	7.62470938963055e-13
WNT4	CTNNB1	0.178840093697009	7.62470938963072e-13
NR5A1	CBX2	0.173864901165267	3.27939746386533e-12
CBX2	NR5A1	0.173864901165267	3.27939746386536e-12
SRY	NR0B1	0.163099173642784	6.67221606576487e-11
NR0B1	SRY	0.163099173642784	6.67221606576496e-11
WNT4	RSPO1	0.151314271014069	1.44447332629401e-09
RSPO1	WNT4	0.151314271014069	1.44447332629406e-09
AMH	DHH	0.134863042204079	7.19742275145247e-08
DHH	AMH	0.134863042204079	7.19742275145257e-08
DKK1	SOX9	0.128311907715925	3.01845466098695e-07
SOX9	DKK1	0.128311907715925	3.01845466098696e-07
GATA4	WT1mKTS	0.122479995559551	1.02038374083863e-06
WT1mKTS	GATA4	0.122479995559551	1.02038374083863e-06
WT1pKTS	WT1mKTS	0.118121284744125	2.44723324413668e-06
WT1mKTS	WT1pKTS	0.118121284744125	2.44723324413671e-06
DHH	PGD2	0.112483307816633	7.25475373214729e-06
PGD2	DHH	0.112483307816633	7.25475373214739e-06
AMH	PGD2	0.109945920337408	1.16384721006614e-05
PGD2	AMH	0.109945920337407	1.16384721006616e-05
UGR	WT1pKTS	0.108657344746518	1.47385159704456e-05
WT1pKTS	UGR	0.108657344746518	1.47385159704458e-05
FGF9	DHH	0.106730524160153	2.08782598912059e-05
DHH	FGF9	0.106730524160153	2.08782598912061e-05
CTNNB1	NR0B1	0.102880131410459	4.11480362814013e-05
NR0B1	CTNNB1	0.102880131410459	4.11480362814016e-05
SRY	WT1pKTS	0.101493707141718	5.22375774702174e-05
WT1pKTS	SRY	0.101493707141718	5.22375774702176e-05
GATA4	WT1pKTS	0.0954268151192342	0.000143288881394827
WT1pKTS	GATA4	0.0954268151192342	0.000143288881394827
DMRT1	SOX9	0.0944085953710828	0.000168785666584343
SOX9	DMRT1	0.0944085953710828	0.000168785666584343
SOX9	NR5A1	0.0920477097249792	0.000245230013396937
NR5A1	SOX9	0.0920477097249792	0.000245230013396937
WT1pKTS	DMRT1	0.0798333993690706	0.00147839272089253
DMRT1	WT1pKTS	0.0798333993690706	0.00147839272089254
SOX9	PGD2	0.079029731265434	0.00165073759732009
PGD2	SOX9	0.079029731265434	0.00165073759732009
CTNNB1	FOXL2	0.0735048101201324	0.00343152642023557
FOXL2	CTNNB1	0.0735048101201324	0.00343152642023558
PGD2	FGF9	0.0688494865704748	0.00613647809861626
FGF9	PGD2	0.0688494865704748	0.00613647809861626
AMH	FGF9	0.0651244210132773	0.00954736479674386
FGF9	AMH	0.0651244210132771	0.009547364796744
DHH	SOX9	0.0602584798175583	0.0164945308384225
SOX9	DHH	0.0602584798175582	0.0164945308384227
UGR	FOXL2	0.0598985515695473	0.0171518063685119
FOXL2	UGR	0.0598985515695471	0.0171518063685121
WT1pKTS	DKK1	0.0495437426418061	0.0487414041753244
DKK1	WT1pKTS	0.049543742641806	0.0487414041753248
CBX2	WT1pKTS	0.0491963402986749	0.0503462551234819
WT1pKTS	CBX2	0.0491963402986748	0.0503462551234819
SOX9	FGF9	0.047968961852321	0.056374584133255
FGF9	SOX9	0.0479689618523209	0.0563745841332551
NR0B1	FOXL2	0.0380387638772651	0.130331049424657
FOXL2	NR0B1	0.0380387638772651	0.130331049424657
WT1mKTS	FOXL2	0.0371105578221208	0.139982207921263
