Gene1	Gene2	Score
DMRT1	DKK1	0.922022973954944
DKK1	DMRT1	0.922022973954944
SRY	DMRT1	0.875136948318993
SRY	DKK1	0.861405177884669
DMRT1	CBX2	-0.851836653877624
DKK1	CBX2	-0.842512560686314
CBX2	DMRT1	-0.83988325481964
CBX2	DKK1	-0.835790063791324
CBX2	WNT4	0.827851224078407
UGR	DMRT1	-0.826686521128599
UGR	DKK1	-0.815820982605572
DMRT1	AMH	0.806319796199298
DMRT1	WNT4	-0.802276386232465
DMRT1	PGD2	0.799810274828912
CBX2	PGD2	-0.797314880875189
DKK1	WNT4	-0.795501544309249
DMRT1	RSPO1	-0.794584286048999
CBX2	AMH	-0.791685271309314
DKK1	AMH	0.790808202304331
DKK1	PGD2	0.789859997969887
DMRT1	DHH	0.789092954870302
DKK1	RSPO1	-0.788316966882042
CBX2	DHH	-0.787260541323308
DMRT1	FGF9	0.786854218462818
SRY	UGR	-0.785364358780377
DKK1	FGF9	0.783822073020621
CBX2	FGF9	-0.783468916838728
DKK1	DHH	0.780890188519553
UGR	CBX2	0.778861613089913
PGD2	FGF9	0.776082640266445
FGF9	PGD2	0.776082640266445
CBX2	NR0B1	0.771738554285166
UGR	SRY	-0.770524171020122
FGF9	DHH	0.768150732411228
DHH	FGF9	0.768150732411228
PGD2	DHH	0.76735744149173
DHH	PGD2	0.76735744149173
SRY	CBX2	-0.756393816120121
CBX2	RSPO1	0.754828059423158
PGD2	AMH	0.753505873820067
AMH	PGD2	0.753505873820067
DHH	AMH	0.751403214840593
AMH	DHH	0.751403214840593
DMRT1	UGR	-0.746290961940206
UGR	RSPO1	0.743670096683761
UGR	WNT4	0.740816673014882
SRY	RSPO1	-0.739169900682877
DKK1	UGR	-0.736748178375589
SRY	SOX9	0.736033672452403
DMRT1	SOX9	0.728905715995667
DMRT1	NR0B1	-0.725227528487967
DKK1	SOX9	0.724453534370979
FGF9	AMH	0.722589521463109
AMH	FGF9	0.722589521463109
DKK1	NR0B1	-0.720975726227028
CBX2	SOX9	-0.717621836885583
UGR	PGD2	-0.715448466353524
UGR	AMH	-0.710100071543287
SRY	WNT4	-0.702138286642807
SOX9	DHH	0.698341607579066
UGR	DHH	-0.697784984192818
SOX9	PGD2	0.697177139555934
SOX9	FGF9	0.696805886611402
UGR	SOX9	-0.695923748353104
UGR	FGF9	-0.693727042672647
WNT4	RSPO1	0.690873227071357
CBX2	UGR	0.675218214060853
SOX9	AMH	0.674407973110315
SOX9	WNT4	-0.672050117200809
NR0B1	SRY	0.671034519003431
SOX9	NR0B1	-0.667017799640201
SRY	NR5A1	0.656919506931225
DMRT1	GATA4	-0.650021813698665
DMRT1	CTNNB1	-0.649573372814548
DKK1	CTNNB1	-0.647866638201836
CBX2	GATA4	0.644687405635572
DKK1	GATA4	-0.641153066275485
NR0B1	DMRT1	0.639812887553924
PGD2	NR0B1	-0.635580501892453
SRY	AMH	0.632909516859925
SOX9	CBX2	-0.632537515157317
NR0B1	DKK1	0.632292064502757
UGR	CTNNB1	0.630728279386174
SRY	DHH	0.629281694922939
SRY	NR0B1	0.6289900298047
SRY	PGD2	0.62878696948547
DHH	NR0B1	-0.628509473654885
SOX9	DKK1	0.627439728857686
DMRT1	WT1pKTS	-0.62724383193204
CBX2	WT1pKTS	0.62544332034899
DMRT1	SRY	0.624410995810021
DKK1	WT1pKTS	-0.623977245068947
CBX2	CTNNB1	0.623972293717408
FGF9	NR0B1	-0.622057644095858
SRY	FGF9	0.620917777739221
SOX9	DMRT1	0.620420099518007
DMRT1	WT1mKTS	-0.619905360384208
DMRT1	NR5A1	0.619460291205009
DKK1	NR5A1	0.617736763407106
RSPO1	WNT4	0.615565369857403
SRY	CTNNB1	-0.615123811516396
DKK1	SRY	0.614848066621086
UGR	NR5A1	-0.611990532873715
UGR	NR0B1	0.607673720780249
CBX2	WT1mKTS	0.606247588208987
AMH	NR0B1	-0.605056623406203
DKK1	WT1mKTS	-0.598105384025844
WNT4	NR0B1	0.594283778676213
WT1pKTS	WT1mKTS	0.593562998513225
WT1mKTS	WT1pKTS	0.593562998513225
RSPO1	CTNNB1	0.593182151515177
CTNNB1	RSPO1	0.593182151515177
WNT4	DHH	-0.584443760475479
CBX2	SRY	0.582576048640042
UGR	GATA4	0.582504856769559
SOX9	RSPO1	-0.578982040650529
WNT4	AMH	-0.57755057767413
WNT4	PGD2	-0.576163421317795
RSPO1	NR5A1	-0.573772774885196
NR5A1	RSPO1	-0.573772774885196
UGR	WT1pKTS	0.571230291206559
SOX9	GATA4	-0.570968875563074
WNT4	FGF9	-0.570037522230634
CBX2	NR5A1	-0.560922001897258
WT1pKTS	GATA4	0.559420658741448
GATA4	WT1pKTS	0.559420658741448
PGD2	WNT4	-0.557795141418517
WT1mKTS	GATA4	0.556300078778542
GATA4	WT1mKTS	0.556300078778542
UGR	WT1mKTS	0.555797775093924
DHH	WNT4	-0.55561560156824
WT1pKTS	CBX2	0.554286640646609
WT1pKTS	PGD2	-0.552741974210318
PGD2	WT1pKTS	-0.552741974210318
PGD2	GATA4	-0.550293430393201
GATA4	PGD2	-0.550293430393201
WT1pKTS	FGF9	-0.549212561352883
FGF9	WT1pKTS	-0.549212561352883
GATA4	WNT4	0.547059238534183
WT1mKTS	UGR	0.545905545711623
FGF9	WNT4	-0.545393495475971
PGD2	SOX9	0.542577133752078
GATA4	SOX9	-0.541595333370438
WT1pKTS	WNT4	0.540122080461151
SOX9	WT1pKTS	-0.539522113070075
GATA4	CBX2	0.537881984571998
WT1pKTS	DHH	-0.535667270941736
DHH	WT1pKTS	-0.535667270941736
GATA4	UGR	0.534354700058441
WNT4	CTNNB1	0.534167087780988
GATA4	DHH	-0.531298839130672
WT1mKTS	CBX2	0.529430787658168
SOX9	UGR	-0.528703593144727
WNT4	SOX9	-0.528644679626468
NR0B1	WNT4	0.526924976080058
WT1pKTS	DKK1	-0.52668009086492
WT1pKTS	DMRT1	-0.52638278006716
