Parent	Type	Child	Weight	Probability	Score
DMRT1	+	DMRT1	0.167772	0.075352	0.019147
FGF9	+	DMRT1	0.106966	0.074334	0.012043
RSPO1	+	DMRT1	0.199185	0.003550	0.001071
DHH	+	DMRT1	0.063149	0.059564	0.005697
CTNNB1	+	DMRT1	0.091693	0.051615	0.007168
PGD2	+	DMRT1	0.100124	0.072482	0.010992
WT1mKTS	+	DMRT1	0.005372	0.104526	0.000851
SRY	+	DMRT1	0.062391	0.068653	0.006487
DKK1	+	DMRT1	0.126585	0.076901	0.014744
WNT4	+	DMRT1	0.057145	0.064157	0.005553
CBX2	+	DMRT1	0.028478	0.068050	0.002935
AMH	+	DMRT1	0.032813	0.045457	0.002259
NR0B1	-	DMRT1	-0.080307	0.168062	-0.020442
NR5A1	+	DMRT1	0.126488	0.044908	0.008603
WT1pKTS	+	DMRT1	0.127224	0.038058	0.007333
FOXL2	-	DMRT1	-0.074398	0.128137	-0.014439
UGR	+	DMRT1	0.083884	0.074289	0.009438
SOX9	+	DMRT1	0.183616	0.077104	0.021443
GATA4	+	DMRT1	0.097856	0.029352	0.004350
DMRT1	+	FGF9	0.033990	0.049270	0.002536
FGF9	+	FGF9	0.112405	0.069997	0.011917
RSPO1	+	FGF9	0.041655	0.064744	0.004085
DHH	-	FGF9	-0.006090	0.036777	-0.000339
CTNNB1	+	FGF9	0.001561	0.084010	0.000199
PGD2	+	FGF9	0.140076	0.069503	0.014745
WT1mKTS	-	FGF9	-0.022660	0.172759	-0.005929
SRY	+	FGF9	0.055044	0.065295	0.005443
DKK1	+	FGF9	0.187911	0.048466	0.013794
WNT4	+	FGF9	0.144526	0.007881	0.001725
CBX2	+	FGF9	0.080956	0.058453	0.007167
AMH	+	FGF9	0.145716	0.065799	0.014522
NR0B1	-	FGF9	-0.106138	0.329360	-0.052946
NR5A1	-	FGF9	-0.017481	0.079593	-0.002107
WT1pKTS	+	FGF9	0.028437	0.066962	0.002884
FOXL2	+	FGF9	0.154447	0.002090	0.000489
UGR	+	FGF9	0.195228	0.004632	0.001370
SOX9	+	FGF9	0.212348	0.047121	0.015155
GATA4	+	FGF9	0.127295	0.003314	0.000639
DMRT1	+	RSPO1	0.085327	0.086823	0.011220
FGF9	+	RSPO1	0.053200	0.067891	0.005470
RSPO1	+	RSPO1	0.580514	0.999999	0.879227
DHH	-	RSPO1	-0.023659	0.047475	-0.001701
CTNNB1	+	RSPO1	0.582007	0.999999	0.881488
PGD2	+	RSPO1	0.085040	0.084519	0.010886
WT1mKTS	+	RSPO1	0.414037	0.011847	0.007429
SRY	-	RSPO1	-0.070015	0.114513	-0.012143
DKK1	-	RSPO1	-0.023638	0.050600	-0.001812
WNT4	+	RSPO1	0.110398	0.045263	0.007568
CBX2	-	RSPO1	-0.364411	1.000000	-0.551925
AMH	+	RSPO1	0.039554	0.058546	0.003507
NR0B1	+	RSPO1	0.034478	0.081372	0.004249
NR5A1	-	RSPO1	-0.069332	0.130767	-0.013732
WT1pKTS	+	RSPO1	0.038937	0.077187	0.004552
FOXL2	+	RSPO1	0.103878	0.064341	0.010123
UGR	-	RSPO1	-0.090002	0.153923	-0.020982
SOX9	+	RSPO1	0.026657	0.049195	0.001986
GATA4	+	RSPO1	0.279946	0.003291	0.001395
DMRT1	+	DHH	0.020326	0.042511	0.001309
FGF9	+	DHH	0.030817	0.048780	0.002277
RSPO1	+	DHH	0.098138	0.119609	0.017778
DHH	+	DHH	0.051600	0.061634	0.004817
CTNNB1	+	DHH	0.084183	0.111846	0.014260
PGD2	+	DHH	0.073898	0.075360	0.008435
WT1mKTS	-	DHH	-0.041007	0.115840	-0.007195
SRY	-	DHH	-0.021264	0.048672	-0.001568
DKK1	+	DHH	0.033911	0.051939	0.002668
WNT4	-	DHH	-0.075176	0.103285	-0.011760
CBX2	+	DHH	0.077444	0.100923	0.011838
AMH	+	DHH	0.095634	0.090134	0.013055
NR0B1	+	DHH	0.019084	0.087893	0.002540
NR5A1	+	DHH	0.074683	0.102774	0.011625
WT1pKTS	-	DHH	-0.012036	0.071965	-0.001312
FOXL2	+	DHH	0.098707	0.118125	0.017659
UGR	+	DHH	0.202140	0.279666	0.085621
SOX9	+	DHH	0.126773	0.109002	0.020929
GATA4	+	DHH	0.242959	0.423521	0.155846
DMRT1	+	CTNNB1	0.054244	0.074348	0.006108
FGF9	+	CTNNB1	0.025100	0.048489	0.001843
RSPO1	+	CTNNB1	0.530979	1.000000	0.804203
DHH	+	CTNNB1	0.042204	0.061855	0.003954
CTNNB1	+	CTNNB1	0.555035	1.000000	0.840637
PGD2	+	CTNNB1	0.047257	0.064913	0.004646
WT1mKTS	+	CTNNB1	0.319647	0.100883	0.048840
SRY	-	CTNNB1	-0.066238	0.105223	-0.010556
DKK1	+	CTNNB1	0.097378	0.097173	0.014332
WNT4	+	CTNNB1	0.099519	0.067385	0.010157
CBX2	-	CTNNB1	-0.339288	1.000000	-0.513875
AMH	+	CTNNB1	0.009849	0.038854	0.000580
NR0B1	+	CTNNB1	0.151890	0.051540	0.011857
NR5A1	-	CTNNB1	-0.075137	0.132799	-0.015113
WT1pKTS	+	CTNNB1	0.018957	0.074322	0.002134
FOXL2	+	CTNNB1	0.131522	0.074626	0.014865
UGR	-	CTNNB1	-0.108802	0.185700	-0.030601
SOX9	+	CTNNB1	0.053668	0.072053	0.005857
GATA4	+	CTNNB1	0.269669	0.043851	0.017910
DMRT1	+	PGD2	0.038888	0.057136	0.003365
FGF9	+	PGD2	0.146604	0.124453	0.027634
RSPO1	+	PGD2	0.037565	0.095774	0.005449
DHH	+	PGD2	0.069127	0.076412	0.008000
CTNNB1	+	PGD2	0.133886	0.158524	0.032145
PGD2	+	PGD2	0.068962	0.074889	0.007822
WT1mKTS	+	PGD2	0.120654	0.154137	0.028167
SRY	-	PGD2	-0.069241	0.090356	-0.009476
DKK1	+	PGD2	0.123103	0.112433	0.020963
WNT4	+	PGD2	0.456352	0.000000	0.000000
CBX2	+	PGD2	0.046580	0.085425	0.006027
AMH	+	PGD2	0.064423	0.073753	0.007196
NR0B1	-	PGD2	-0.024263	0.089402	-0.003285
NR5A1	+	PGD2	0.013762	0.070693	0.001473
WT1pKTS	+	PGD2	0.003978	0.068153	0.000411
FOXL2	+	PGD2	0.010970	0.069447	0.001154
UGR	+	PGD2	0.222294	0.483656	0.162837
SOX9	+	PGD2	0.096651	0.094469	0.013829
GATA4	+	PGD2	0.140916	0.178879	0.038178
DMRT1	+	WT1mKTS	0.029403	0.081603	0.003634
FGF9	+	WT1mKTS	0.016277	0.062058	0.001530
RSPO1	+	WT1mKTS	0.041928	0.032380	0.002056
DHH	+	WT1mKTS	0.030924	0.082105	0.003845
CTNNB1	+	WT1mKTS	0.021228	0.067232	0.002162
PGD2	+	WT1mKTS	0.024588	0.074596	0.002778
WT1mKTS	+	WT1mKTS	0.607057	1.000000	0.919429
SRY	-	WT1mKTS	-0.011888	0.071609	-0.001289
DKK1	+	WT1mKTS	0.031578	0.082950	0.003967
WNT4	+	WT1mKTS	0.053155	0.012599	0.001014
CBX2	+	WT1mKTS	0.031852	0.070167	0.003385
AMH	+	WT1mKTS	0.028503	0.079674	0.003440
NR0B1	+	WT1mKTS	0.078349	0.001737	0.000206
NR5A1	+	WT1mKTS	0.036142	0.054252	0.002970
WT1pKTS	+	WT1mKTS	0.017263	0.073142	0.001912
FOXL2	+	WT1mKTS	0.051386	0.024347	0.001895
UGR	+	WT1mKTS	0.078246	0.032067	0.003800
SOX9	+	WT1mKTS	0.017172	0.065016	0.001691
GATA4	+	WT1mKTS	0.548372	1.000000	0.830547
DMRT1	-	SRY	-0.015463	0.045270	-0.001060
FGF9	+	SRY	0.076458	0.035267	0.004084
RSPO1	-	SRY	-0.043806	0.259623	-0.017225
DHH	+	SRY	0.049875	0.035666	0.002694
CTNNB1	-	SRY	-0.140701	0.982404	-0.209352
PGD2	+	SRY	0.030997	0.034638	0.001626
WT1mKTS	-	SRY	-0.242479	0.999993	-0.367249
SRY	+	SRY	0.850002	0.000000	0.000000
DKK1	+	SRY	0.205057	0.001573	0.000488
WNT4	+	SRY	1.853686	0.000000	0.000000
CBX2	+	SRY	0.214854	0.000000	0.000000
AMH	+	SRY	0.061961	0.036036	0.003382
NR0B1	+	SRY	1.229508	0.000000	0.000000
NR5A1	+	SRY	0.852613	0.000000	0.000000
WT1pKTS	+	SRY	0.069038	0.010911	0.001141
FOXL2	-	SRY	-0.265190	1.000000	-0.401648
UGR	-	SRY	-0.041788	0.110906	-0.007019
SOX9	+	SRY	0.093800	0.031050	0.004411
GATA4	+	SRY	0.200448	0.000000	0.000000
DMRT1	+	DKK1	0.175245	0.084987	0.022557
FGF9	+	DKK1	0.172107	0.088248	0.023003
RSPO1	+	DKK1	0.242345	0.002302	0.000845
DHH	+	DKK1	0.058574	0.058977	0.005232
CTNNB1	+	DKK1	0.008915	0.086132	0.001163
PGD2	+	DKK1	0.127684	0.082621	0.015978
WT1mKTS	-	DKK1	-0.066111	0.185426	-0.018567
SRY	+	DKK1	0.092039	0.078432	0.010933
DKK1	+	DKK1	0.138675	0.083686	0.017577
WNT4	+	DKK1	0.109206	0.043734	0.007234
CBX2	-	DKK1	-0.003384	0.063607	-0.000326
AMH	+	DKK1	0.037155	0.048339	0.002720
NR0B1	+	DKK1	0.009978	0.087579	0.001323
NR5A1	+	DKK1	0.188672	0.024851	0.007101
WT1pKTS	+	DKK1	0.090878	0.066386	0.009137
FOXL2	-	DKK1	-0.088110	0.141626	-0.018900
UGR	+	DKK1	0.104389	0.076365	0.012074
