Parent	Type	Child	Weight	Probability	Score
AMH	+	AMH	0.003293	0.036747	0.000142
CBX2	-	AMH	-0.010353	0.047762	-0.000579
CTNNB1	+	AMH	0.063536	0.011553	0.000859
DHH	+	AMH	0.147765	0.029041	0.005022
DKK1	+	AMH	0.012766	0.035675	0.000533
DMRT1	+	AMH	0.021245	0.036179	0.000899
FGF9	-	AMH	-0.089400	0.133450	-0.013961
FOXL2	-	AMH	-0.011109	0.086098	-0.001119
GATA4	+	AMH	1.001945	0.000000	0.000000
NR0B1	-	AMH	-0.070469	0.567203	-0.046774
NR5A1	-	AMH	-0.038220	0.109429	-0.004894
PGD2	+	AMH	0.025937	0.035507	0.001078
RSPO1	+	AMH	0.057145	0.015254	0.001020
SOX9	+	AMH	0.015444	0.036439	0.000659
SRY	+	AMH	0.008729	0.037152	0.000380
UGR	-	AMH	-0.022766	0.058251	-0.001552
WNT4	+	AMH	0.439212	0.000000	0.000000
WT1mKTS	+	AMH	0.350906	0.000000	0.000000
WT1pKTS	+	AMH	0.050769	0.037599	0.002234
AMH	-	CBX2	-0.053423	0.070873	-0.004431
CBX2	+	CBX2	0.697845	0.000000	0.000000
CTNNB1	-	CBX2	-0.307095	1.000000	-0.359371
DHH	-	CBX2	-0.121483	0.185338	-0.026348
DKK1	-	CBX2	-0.120853	0.249443	-0.035278
DMRT1	-	CBX2	-0.153580	0.415257	-0.074631
FGF9	+	CBX2	0.116132	0.036763	0.004996
FOXL2	-	CBX2	-0.180171	0.986712	-0.208039
GATA4	+	CBX2	1.727175	0.000000	0.000000
NR0B1	-	CBX2	-0.168400	0.993518	-0.195788
NR5A1	+	CBX2	0.480741	0.000000	0.000000
PGD2	-	CBX2	-0.044949	0.060713	-0.003194
RSPO1	-	CBX2	-0.175820	0.997396	-0.205214
SOX9	-	CBX2	-0.047417	0.068354	-0.003793
SRY	+	CBX2	0.149130	0.007951	0.001388
UGR	+	CBX2	0.303736	0.000007	0.000002
WNT4	-	CBX2	-0.004411	0.114188	-0.000589
WT1mKTS	+	CBX2	1.706547	0.000000	0.000000
WT1pKTS	+	CBX2	0.060281	0.028195	0.001989
AMH	+	CTNNB1	0.003187	0.036995	0.000138
CBX2	-	CTNNB1	-0.185335	0.703367	-0.152549
CTNNB1	+	CTNNB1	0.719241	1.000000	0.841674
DHH	+	CTNNB1	0.012623	0.037629	0.000556
DKK1	+	CTNNB1	0.076179	0.080566	0.007182
DMRT1	+	CTNNB1	0.107229	0.090930	0.011410
FGF9	+	CTNNB1	0.082905	0.078771	0.007642
FOXL2	+	CTNNB1	0.023701	0.076546	0.002123
GATA4	+	CTNNB1	0.232033	0.003649	0.000991
NR0B1	+	CTNNB1	0.325629	0.002368	0.000902
NR5A1	-	CTNNB1	-0.099671	0.189054	-0.022051
PGD2	+	CTNNB1	0.010141	0.035561	0.000422
RSPO1	+	CTNNB1	0.425039	0.037101	0.018454
SOX9	-	CTNNB1	-0.052515	0.072616	-0.004463
SRY	-	CTNNB1	-0.043262	0.080382	-0.004069
UGR	-	CTNNB1	-0.202672	0.695670	-0.164994
WNT4	+	CTNNB1	0.019092	0.088855	0.001985
WT1mKTS	+	CTNNB1	0.340338	0.002216	0.000883
WT1pKTS	-	CTNNB1	-0.008489	0.067293	-0.000668
AMH	-	DHH	-0.013091	0.038056	-0.000583
CBX2	+	DHH	0.072054	0.092271	0.007780
CTNNB1	-	DHH	-0.133694	0.120408	-0.018838
DHH	-	DHH	-0.100123	0.084509	-0.009902
DKK1	-	DHH	-0.012934	0.039836	-0.000603
DMRT1	+	DHH	0.096796	0.093221	0.010560
FGF9	+	DHH	0.057451	0.059724	0.004015
FOXL2	+	DHH	0.093558	0.112712	0.012340
GATA4	-	DHH	-0.179318	0.214309	-0.044971
NR0B1	+	DHH	0.783537	0.000000	0.000000
NR5A1	+	DHH	0.052050	0.084331	0.005137
PGD2	+	DHH	0.153941	0.118934	0.021425
RSPO1	+	DHH	0.142987	0.127690	0.021366
SOX9	+	DHH	0.131648	0.106368	0.016387
SRY	-	DHH	-0.020104	0.047334	-0.001114
UGR	-	DHH	-0.011510	0.045547	-0.000613
WNT4	+	DHH	0.077974	0.102755	0.009376
WT1mKTS	+	DHH	0.610470	1.000000	0.714387
WT1pKTS	-	DHH	-0.024721	0.067965	-0.001966
AMH	+	DKK1	0.002886	0.036415	0.000123
CBX2	+	DKK1	0.103188	0.094289	0.011386
CTNNB1	+	DKK1	0.158458	0.132293	0.024531
DHH	+	DKK1	0.020974	0.037405	0.000918
DKK1	+	DKK1	0.151933	0.107451	0.019104
DMRT1	+	DKK1	0.003110	0.038972	0.000142
FGF9	+	DKK1	0.044810	0.045167	0.002368
FOXL2	+	DKK1	0.862694	0.000000	0.000000
GATA4	+	DKK1	0.107194	0.121981	0.015301
NR0B1	-	DKK1	-0.096850	0.107496	-0.012183
NR5A1	+	DKK1	0.093945	0.095621	0.010512
PGD2	-	DKK1	-0.083782	0.063560	-0.006232
RSPO1	+	DKK1	0.346157	0.637285	0.258152
SOX9	+	DKK1	0.048839	0.050709	0.002898
SRY	+	DKK1	0.089924	0.085903	0.009040
UGR	-	DKK1	-0.104471	0.084959	-0.010387
WNT4	+	DKK1	0.038530	0.096354	0.004344
WT1mKTS	+	DKK1	0.072642	0.114376	0.009723
WT1pKTS	+	DKK1	0.215120	0.181736	0.045750
AMH	-	DMRT1	-0.098512	0.147473	-0.017001
