Gene1	Gene2	Score
CTNNB1	RSPO1	0.883786480282345
RSPO1	CTNNB1	0.883786480282345
UGR	FOXL2	-0.865831474305972
NR0B1	FOXL2	0.865616474475574
WNT4	FOXL2	0.859810646632881
UGR	CTNNB1	-0.856826200399906
RSPO1	FOXL2	0.856170610498129
WNT4	RSPO1	0.85542275000017
GATA4	WT1mKTS	0.85535068664254
WT1mKTS	GATA4	0.85535068664254
CTNNB1	FOXL2	0.854498786149121
NR0B1	CTNNB1	0.854436503140196
NR0B1	RSPO1	0.853317090039139
UGR	RSPO1	-0.851619114234095
WNT4	CTNNB1	0.84679493605455
CTNNB1	CBX2	-0.84528695920262
UGR	CBX2	0.845021280441276
NR0B1	WNT4	0.843797231779138
WNT4	NR0B1	0.843797231779138
CBX2	FOXL2	-0.84305188785353
RSPO1	CBX2	-0.837227301394293
CBX2	RSPO1	-0.837178148448674
CBX2	CTNNB1	-0.833235120050294
UGR	NR5A1	0.829916675522059
CBX2	NR5A1	0.827178074494289
CTNNB1	NR5A1	-0.826923427369772
RSPO1	NR5A1	-0.826169622164015
NR5A1	WT1pKTS	0.817841211276162
NR5A1	FOXL2	-0.813584372789251
WNT4	UGR	-0.810066320755233
UGR	WT1pKTS	0.806764480357541
NR0B1	UGR	-0.805384323975095
CTNNB1	WT1pKTS	-0.802477275429831
CBX2	WT1pKTS	0.802201751994809
WNT4	CBX2	-0.801549575566483
RSPO1	WT1pKTS	-0.799559183878805
FOXL2	NR5A1	-0.795368025469075
NR0B1	CBX2	-0.794321141619606
FOXL2	WT1pKTS	-0.786999711793602
NR0B1	NR5A1	-0.781958877738173
WNT4	NR5A1	-0.779121944669746
WNT4	WT1pKTS	-0.764100046824954
NR0B1	WT1pKTS	-0.764055185426945
UGR	WNT4	-0.760228977100125
WT1pKTS	NR5A1	0.74503335619338
UGR	NR0B1	-0.742974149076642
CBX2	UGR	0.738416914634975
CTNNB1	UGR	-0.73827617711442
WNT4	SRY	-0.735615533660227
NR0B1	SRY	-0.73289696806783
WT1pKTS	FOXL2	-0.732068899671202
RSPO1	UGR	-0.726582176880486
NR5A1	CBX2	0.71694712878455
NR5A1	CTNNB1	-0.712394750473728
NR5A1	RSPO1	-0.712237923077461
UGR	SRY	0.70292488838627
WT1mKTS	NR0B1	0.654216117949761
CTNNB1	SRY	-0.643170711298082
CBX2	SRY	0.641557436686361
GATA4	NR0B1	0.635187588761688
RSPO1	SRY	-0.632323904649941
CBX2	WNT4	-0.615309287188563
FOXL2	CBX2	-0.613202445790457
CTNNB1	WNT4	0.602239848508305
WT1mKTS	WNT4	0.600224504851777
FOXL2	RSPO1	0.58737722800555
CBX2	NR0B1	-0.583482709146703
GATA4	WNT4	0.581896661238623
FOXL2	CTNNB1	0.579474093804784
CTNNB1	NR0B1	0.575242846090744
RSPO1	WNT4	0.566843675747176
RSPO1	NR0B1	0.549202158110176
NR5A1	UGR	0.53493488323123
WT1pKTS	CTNNB1	-0.529798908305388
WT1pKTS	RSPO1	-0.525723726381624
WT1pKTS	CBX2	0.516286493633655
WT1mKTS	CTNNB1	0.509485824711903
WT1mKTS	RSPO1	0.5010573280128
FOXL2	SRY	-0.500316966452912
SRY	FOXL2	-0.499410056830052
NR5A1	SRY	0.495376926269868
GATA4	RSPO1	0.487099108531226
GATA4	CTNNB1	0.466613127070064
SRY	NR5A1	0.453061372105893
SRY	WT1pKTS	0.449016443393103
NR5A1	WNT4	-0.43696988471036
FOXL2	UGR	-0.421597261886843
NR5A1	NR0B1	-0.419654061191787
NR0B1	GATA4	-0.405570190256106
WT1pKTS	SRY	0.397391622874682
WT1mKTS	CBX2	-0.389811942238887
AMH	CTNNB1	-0.386845126304117
WT1pKTS	UGR	0.380279476950651
AMH	RSPO1	-0.380108507144239
WNT4	GATA4	-0.375487219213906
NR0B1	WT1mKTS	-0.372227871416567
WNT4	WT1mKTS	-0.371866850299538
DHH	CTNNB1	-0.370126255882264
UGR	GATA4	0.369008883640351
FGF9	RSPO1	-0.367304776258783
AMH	WNT4	-0.365940225199207
FGF9	WNT4	-0.365895638433979
FGF9	NR0B1	-0.364549663691537
DKK1	DMRT1	0.362330624722214
DMRT1	DKK1	0.362330624722214
FGF9	CTNNB1	-0.361870932776781
GATA4	CBX2	-0.357860938866433
DHH	WNT4	-0.357459287072212
AMH	NR0B1	-0.355638421645406
DHH	RSPO1	-0.35420515828578
GATA4	UGR	-0.350083352081247
WT1mKTS	UGR	-0.350002491150345
