Gene1	Gene2	Score
CTNNB1	RSPO1	0.875360130703478
RSPO1	CTNNB1	0.875360130703478
WNT4	FOXL2	0.870579485111304
NR0B1	FOXL2	0.868127249685011
UGR	FOXL2	-0.865166574099215
WNT4	RSPO1	0.859772544171461
NR0B1	RSPO1	0.856665858457119
UGR	CTNNB1	-0.853540326565353
UGR	RSPO1	-0.853378394193639
RSPO1	FOXL2	0.851522353076881
NR0B1	CTNNB1	0.851372596452532
CTNNB1	FOXL2	0.85134958156509
WNT4	CTNNB1	0.850171392276744
NR0B1	WNT4	0.848919221747219
WNT4	NR0B1	0.848919221747219
CBX2	FOXL2	-0.842957444800445
UGR	CBX2	0.84107560224157
CTNNB1	CBX2	-0.839625514762534
CBX2	NR5A1	0.833037836648197
RSPO1	CBX2	-0.831180330025217
CTNNB1	NR5A1	-0.830376121138931
CBX2	CTNNB1	-0.829435051276198
UGR	NR5A1	0.827974571297476
CBX2	RSPO1	-0.827612940197152
RSPO1	NR5A1	-0.825188338304497
GATA4	WT1mKTS	0.82265184555967
WT1mKTS	GATA4	0.82265184555967
NR5A1	FOXL2	-0.815814885817335
CBX2	WT1pKTS	0.814440388676368
NR5A1	WT1pKTS	0.813182906777264
WNT4	UGR	-0.813040917438233
NR0B1	UGR	-0.812081554233105
UGR	WT1pKTS	0.808571095377528
CTNNB1	WT1pKTS	-0.808212307871897
RSPO1	WT1pKTS	-0.80586336596048
WNT4	CBX2	-0.805497905821371
NR0B1	CBX2	-0.803840394051972
FOXL2	NR5A1	-0.789811139510282
FOXL2	WT1pKTS	-0.789270510650109
WNT4	NR5A1	-0.781465737526673
NR0B1	NR5A1	-0.775980848636594
NR0B1	WT1pKTS	-0.773683842892629
WNT4	WT1pKTS	-0.771345732404952
UGR	WNT4	-0.757350874170673
UGR	NR0B1	-0.746776725594936
CTNNB1	UGR	-0.743203475376327
WNT4	SRY	-0.740970992930674
WT1pKTS	NR5A1	0.738924558858321
CBX2	UGR	0.738517003778723
NR0B1	SRY	-0.7377020074993
WT1pKTS	FOXL2	-0.735535779159441
RSPO1	UGR	-0.724434515557617
UGR	SRY	0.722522451592566
NR5A1	CTNNB1	-0.721217233605586
NR5A1	RSPO1	-0.717555511434368
NR5A1	CBX2	0.713836357469364
RSPO1	SRY	-0.653083035262046
CTNNB1	SRY	-0.649492952223493
CBX2	SRY	0.641139986423393
CBX2	WNT4	-0.607681281212506
FOXL2	CBX2	-0.603985137124886
CTNNB1	WNT4	0.596422130838159
FOXL2	CTNNB1	0.592851344915157
FOXL2	RSPO1	0.587182089547437
CBX2	NR0B1	-0.584638126139253
CTNNB1	NR0B1	0.574809224767254
WT1mKTS	NR0B1	0.562213504918726
RSPO1	WNT4	0.55462056550024
RSPO1	NR0B1	0.549592234438027
NR5A1	UGR	0.540510445942027
WT1pKTS	CTNNB1	-0.532643243021837
WT1pKTS	RSPO1	-0.526103399402999
WT1mKTS	WNT4	0.523385867059561
GATA4	NR0B1	0.514378677191274
GATA4	WNT4	0.51419743635961
WT1pKTS	CBX2	0.512601267221834
NR5A1	SRY	0.508641875151383
FOXL2	SRY	-0.500153756888696
SRY	FOXL2	-0.497013955588362
WT1mKTS	CTNNB1	0.456038024567023
SRY	WT1pKTS	0.441537688667611
NR5A1	WNT4	-0.440580154949986
WT1mKTS	RSPO1	0.435811124138258
SRY	NR5A1	0.434390511670621
NR0B1	GATA4	-0.431274622786024
NR5A1	NR0B1	-0.429507805996884
GATA4	CTNNB1	0.415114034942859
FOXL2	UGR	-0.411462282426008
GATA4	RSPO1	0.402657593690159
WNT4	GATA4	-0.397632485113389
DKK1	DMRT1	0.385711166545546
DMRT1	DKK1	0.385711166545546
WT1pKTS	SRY	0.383355329834982
WT1pKTS	UGR	0.373917049119259
UGR	GATA4	0.366588716958072
NR0B1	WT1mKTS	-0.363321262904052
WNT4	WT1mKTS	-0.359466873304623
DHH	CTNNB1	-0.356020533456047
FGF9	NR0B1	-0.354819912655321
AMH	RSPO1	-0.351490564705419
FGF9	WNT4	-0.348492907681465
AMH	CTNNB1	-0.345918921085805
AMH	WNT4	-0.344668698370089
FGF9	RSPO1	-0.343292585886963
SRY	WNT4	0.343264390843497
DHH	NR0B1	-0.340504739237399
AMH	NR0B1	-0.339272673609962
WNT4	DKK1	-0.339077877252984
DHH	WNT4	-0.338971184517666
FGF9	CTNNB1	-0.337097485006217
NR0B1	DKK1	-0.336991366519772
DHH	RSPO1	-0.334408304952817
WT1mKTS	CBX2	-0.329925872698167
AMH	CBX2	0.318530985920684
FOXL2	WNT4	0.318427074310889
FGF9	CBX2	0.317160273424908
WT1pKTS	WNT4	-0.317035443536144
FGF9	UGR	0.313337515900793
WT1pKTS	NR0B1	-0.308647856426714
AMH	UGR	0.307544417645195
DHH	UGR	0.3068884274618
FGF9	NR5A1	0.305277087649536
NR0B1	DMRT1	-0.303097255669736
CBX2	GATA4	0.300737808703292
DHH	CBX2	0.300088294754689
FOXL2	GATA4	0.298652209825546
UGR	DKK1	0.298188358917963
AMH	NR5A1	0.297035191636463
FOXL2	NR0B1	0.29647512762547
GATA4	CBX2	-0.296196112505192
PGD2	CBX2	0.296047897678441
WT1mKTS	UGR	-0.294781200258688
WNT4	DMRT1	-0.294547824570245
SOX9	DKK1	0.294488708677659
DKK1	SOX9	0.294488708677659
PGD2	WNT4	-0.29436934775518
DHH	NR5A1	0.293634374970852
FGF9	FOXL2	-0.293509774009829
UGR	WT1mKTS	0.28838450116371
AMH	SRY	0.286985116426518
FGF9	SRY	0.286592082722562
DHH	FOXL2	-0.286345928939904
RSPO1	GATA4	-0.285736372397395
AMH	FOXL2	-0.284597856832335
PGD2	RSPO1	-0.284376454754751
CTNNB1	GATA4	-0.283967231098047
DKK1	SRY	0.282452764813263
SRY	DKK1	0.282452764813263
PGD2	CTNNB1	-0.282146230810978
PGD2	NR0B1	-0.280373377803607
PGD2	FOXL2	-0.279590719957196
WT1pKTS	GATA4	-0.278111760101041
DHH	SRY	0.277965864780766
PGD2	UGR	0.277356222914617
NR5A1	GATA4	-0.27533593584411
GATA4	UGR	-0.274295682059066
WT1pKTS	WT1mKTS	-0.267370651491156
SRY	CBX2	0.266490911350636
FGF9	WT1pKTS	0.266054281233921
CBX2	DKK1	0.264249336909698
UGR	DMRT1	0.263763647618366
PGD2	SRY	0.263736406388554
SRY	RSPO1	-0.263567620408967
CTNNB1	DKK1	-0.261733696867385
RSPO1	DKK1	-0.259802218864924
AMH	WT1pKTS	0.259646166145788
UGR	FGF9	0.256253709029674
CBX2	DMRT1	0.251501319502349
SOX9	NR0B1	-0.249553151008336
SOX9	WNT4	-0.246373299039302
NR0B1	FGF9	-0.245481511796044
PGD2	NR5A1	0.242728550731141
GATA4	SOX9	-0.242514435822299
SOX9	GATA4	-0.242514435822299
SOX9	WT1mKTS	-0.242059074297007
WT1mKTS	SOX9	-0.242059074297007
DHH	WT1pKTS	0.240524187903645
WNT4	FGF9	-0.240127903340571
CTNNB1	DMRT1	-0.238683272493373
SOX9	DMRT1	0.238336774944698
DMRT1	SOX9	0.238336774944698
