SourceGENES,TargetGENES,Interaction,Edges
WT1mKTS,PGD2,2.79875511157532,repression
WT1mKTS,DMRT1,2.09094581094328,repression
WT1mKTS,FGF9,1.04840277030515,repression
WT1mKTS,GATA4,1.04656323214718,repression
FOXL2,NR5A1,1.01492265681809,repression
WT1pKTS,NR5A1,1,activation
WT1mKTS,DKK1,0.951494597384467,repression
WT1mKTS,AMH,0.873726408643667,repression
WT1mKTS,SOX9,0.781588253170451,repression
WT1mKTS,DHH,0.763177392653121,repression
WT1mKTS,WT1mKTS,0.758814308755623,activation
FOXL2,CTNNB1,0.748511197133326,activation
WT1mKTS,WNT4,0.733341083281259,repression
NR5A1,CBX2,0.730162362735495,repression
FOXL2,RSPO1,0.717656063652977,repression
WT1mKTS,NR0B1,0.655813624383581,repression
NR5A1,RSPO1,0.56795129761762,repression
WT1pKTS,RSPO1,0.484440138464383,repression
NR5A1,CTNNB1,0.45062751150423,repression
WT1pKTS,CTNNB1,0.416429453004014,repression
NR5A1,SOX9,0.410633568402355,activation
NR5A1,UGR,0.388276835740924,repression
DKK1,PGD2,0.383264392092532,repression
WT1pKTS,FOXL2,0.37479695285628,repression
WT1pKTS,SRY,0.273007382311037,repression
WT1mKTS,FOXL2,0.220735891718005,repression
FOXL2,FOXL2,0.212317628072836,activation
WT1pKTS,WT1pKTS,0.207580264279019,activation
FOXL2,DKK1,0.196716249893584,repression
NR5A1,SRY,0.180885759967999,repression
DKK1,WNT4,0.175108491014611,repression
WT1mKTS,WT1pKTS,0.164686649419224,repression
FOXL2,GATA4,0.146731772897881,repression
DKK1,NR0B1,0.138239014280026,repression
DKK1,GATA4,0.119766992728294,repression
NR5A1,NR5A1,0.116587084435632,activation
FOXL2,WT1mKTS,0.113873984595977,repression
FOXL2,CBX2,0.10896986043457,repression
FOXL2,DMRT1,0.101553201168633,repression
DKK1,SOX9,0.09932108225594,activation
DMRT1,PGD2,0.0932134175961891,activation
WT1pKTS,CBX2,0.0612412552694645,repression
PGD2,PGD2,0.0610526491490478,activation
PGD2,AMH,0.0570338786881943,activation
NR0B1,SOX9,0.0552103760563625,repression
NR0B1,AMH,0.0551483996856851,repression
NR0B1,PGD2,0.0540650590596007,repression
SRY,SOX9,0.0488652625967014,activation
DKK1,DMRT1,0.0487397119307338,activation
DKK1,WT1mKTS,0.045190473859183,repression
DMRT1,WNT4,0.0349616817184268,repression
PGD2,DHH,0.0347218815088122,activation
NR0B1,DHH,0.0340227565813165,repression
FOXL2,SRY,0.0320379919344105,repression
DMRT1,GATA4,0.0316048394283218,repression
NR0B1,FGF9,0.0310795095158976,repression
WNT4,AMH,0.0279537461338562,repression
PGD2,FGF9,0.0270042008644437,activation
DMRT1,NR0B1,0.0239616338571679,repression
SRY,DHH,0.0235136684753496,repression
DMRT1,DMRT1,0.0226489636604624,activation
SRY,FGF9,0.0223074025187763,activation
DMRT1,SOX9,0.0216954419896149,activation
SRY,AMH,0.0212555587030597,repression
WNT4,PGD2,0.0200560109745361,repression
