Parent	Type	Child	Weight	Probability	Score
DMRT1	+	DMRT1	0.236101	0.054228	0.018688
FGF9	+	DMRT1	0.097639	0.069844	0.009954
RSPO1	+	DMRT1	0.129032	0.022800	0.004294
DHH	+	DMRT1	0.000056	0.036953	0.000003
CTNNB1	+	DMRT1	0.059379	0.063984	0.005546
PGD2	+	DMRT1	0.100682	0.070245	0.010323
WT1mKTS	+	DMRT1	0.103273	0.019316	0.002912
SRY	+	DMRT1	0.052896	0.064069	0.004947
DKK1	+	DMRT1	0.232875	0.055792	0.018965
WNT4	+	DMRT1	0.116307	0.027559	0.004679
CBX2	-	DMRT1	-0.026795	0.074178	-0.002901
AMH	+	DMRT1	0.144761	0.073359	0.015501
NR0B1	-	DMRT1	-0.054714	0.139489	-0.011140
NR5A1	+	DMRT1	0.101242	0.050412	0.007450
WT1pKTS	+	DMRT1	0.083302	0.055755	0.006779
FOXL2	-	DMRT1	-0.084448	0.147861	-0.018226
UGR	+	DMRT1	0.116864	0.055745	0.009509
SOX9	+	DMRT1	0.141086	0.072922	0.015017
GATA4	+	DMRT1	0.000342	0.111721	0.000056
DMRT1	+	FGF9	0.093883	0.095928	0.013146
FGF9	+	FGF9	0.142956	0.121867	0.025429
RSPO1	+	FGF9	0.031143	0.091075	0.004140
DHH	+	FGF9	0.023219	0.044890	0.001521
CTNNB1	+	FGF9	0.030420	0.090669	0.004026
PGD2	+	FGF9	0.096697	0.091823	0.012960
WT1mKTS	-	FGF9	-0.095467	0.132361	-0.018444
SRY	+	FGF9	0.041858	0.070616	0.004314
DKK1	+	FGF9	0.075559	0.084450	0.009314
WNT4	+	FGF9	0.027594	0.089247	0.003595
CBX2	+	FGF9	0.052790	0.090805	0.006997
AMH	+	FGF9	0.177748	0.156884	0.040703
NR0B1	-	FGF9	-0.090761	0.109483	-0.014504
NR5A1	-	FGF9	-0.007373	0.071011	-0.000764
WT1pKTS	+	FGF9	0.014949	0.074425	0.001624
FOXL2	+	FGF9	0.135373	0.168069	0.033210
UGR	+	FGF9	0.176369	0.242100	0.062325
SOX9	+	FGF9	0.129384	0.115145	0.021746
GATA4	+	FGF9	0.305232	0.777751	0.346512
DMRT1	+	RSPO1	0.132160	0.111038	0.021420
FGF9	+	RSPO1	0.016508	0.043892	0.001058
RSPO1	+	RSPO1	0.625865	1.000000	0.913541
DHH	-	RSPO1	-0.060856	0.089405	-0.007942
CTNNB1	+	RSPO1	0.553999	1.000000	0.808641
PGD2	+	RSPO1	0.111808	0.100604	0.016419
WT1mKTS	+	RSPO1	0.286592	0.013601	0.005690
SRY	-	RSPO1	-0.093503	0.160878	-0.021957
DKK1	+	RSPO1	0.008378	0.039581	0.000484
WNT4	+	RSPO1	0.070793	0.069800	0.007213
CBX2	-	RSPO1	-0.321217	1.000000	-0.468862
AMH	+	RSPO1	0.034063	0.056813	0.002825
NR0B1	+	RSPO1	0.035029	0.082666	0.004227
NR5A1	-	RSPO1	-0.063289	0.125037	-0.011551
WT1pKTS	+	RSPO1	0.036248	0.078592	0.004158
FOXL2	+	RSPO1	0.083427	0.076217	0.009281
UGR	-	RSPO1	-0.101405	0.191697	-0.028374
SOX9	+	RSPO1	0.054396	0.073006	0.005797
GATA4	+	RSPO1	0.370496	0.071491	0.038662
DMRT1	+	DHH	0.075120	0.066151	0.007253
FGF9	+	DHH	0.067784	0.062132	0.006147
RSPO1	+	DHH	0.045898	0.065100	0.004361
DHH	+	DHH	0.110849	0.069493	0.011244
CTNNB1	+	DHH	0.037965	0.069589	0.003856
PGD2	+	DHH	0.163572	0.066733	0.015933
WT1mKTS	+	DHH	0.074503	0.012898	0.001403
SRY	+	DHH	0.032488	0.055333	0.002624
DKK1	-	DHH	-0.021686	0.045265	-0.001433
WNT4	-	DHH	-0.020760	0.106085	-0.003215
CBX2	+	DHH	0.059162	0.066528	0.005745
AMH	+	DHH	0.224151	0.047169	0.015433
NR0B1	-	DHH	-0.008812	0.093962	-0.001209
NR5A1	+	DHH	0.039359	0.068484	0.003934
WT1pKTS	+	DHH	0.012346	0.069461	0.001252
FOXL2	+	DHH	0.084128	0.044302	0.005440
UGR	+	DHH	0.168166	0.011356	0.002788
SOX9	+	DHH	0.061902	0.060804	0.005494
GATA4	+	DHH	0.178730	0.000005	0.000001
DMRT1	+	CTNNB1	0.041875	0.044659	0.002730
FGF9	+	CTNNB1	0.000895	0.038679	0.000051
RSPO1	+	CTNNB1	1.273430	0.000000	0.000000
DHH	-	CTNNB1	-0.062928	0.140432	-0.012899
CTNNB1	+	CTNNB1	0.814263	0.000000	0.000000
PGD2	+	CTNNB1	0.094930	0.034312	0.004754
WT1mKTS	+	CTNNB1	1.108437	0.000000	0.000000
SRY	-	CTNNB1	-0.051161	0.153523	-0.011465
DKK1	+	CTNNB1	0.117472	0.016170	0.002773
WNT4	+	CTNNB1	0.338343	0.000000	0.000000
CBX2	-	CTNNB1	-0.291746	1.000000	-0.425846
AMH	+	CTNNB1	0.003946	0.037339	0.000215
NR0B1	+	CTNNB1	0.114936	0.000003	0.000001
NR5A1	-	CTNNB1	-0.076231	0.525633	-0.058487
