Gene1	Gene2	corVal	pValue
DMRT1	DMRT1	1	0
FGF9	FGF9	1	0
RSPO1	RSPO1	1	0
DHH	DHH	1	0
CTNNB1	CTNNB1	1	0
PGD2	PGD2	1	0
WT1mKTS	WT1mKTS	1	0
SRY	SRY	1	0
DKK1	DKK1	1	0
WNT4	WNT4	1	0
CBX2	CBX2	1	0
AMH	AMH	1	0
NR0B1	NR0B1	1	0
NR5A1	NR5A1	1	0
WT1pKTS	WT1pKTS	1	0
FOXL2	FOXL2	1	0
UGR	UGR	1	0
SOX9	SOX9	1	0
GATA4	GATA4	1	0
NR5A1	WT1pKTS	0.355719162547535	2.01167080521121e-48
WT1pKTS	NR5A1	0.355719162547535	2.01167080521147e-48
DKK1	DMRT1	0.256719384087583	3.04314482756448e-25
DMRT1	DKK1	0.256719384087583	3.04314482756462e-25
SRY	DKK1	0.237962626838869	8.10939363622098e-22
DKK1	SRY	0.237962626838868	8.10939363622222e-22
NR0B1	WNT4	0.229530170164347	2.26947846442056e-20
WNT4	NR0B1	0.229530170164347	2.26947846442062e-20
RSPO1	CTNNB1	0.215348345246854	4.59030889482639e-18
CTNNB1	RSPO1	0.215348345246854	4.59030889482682e-18
WNT4	CTNNB1	0.203869371656108	2.58848140789486e-16
CTNNB1	WNT4	0.203869371656108	2.58848140789505e-16
CBX2	UGR	0.191703837347177	1.44020396221057e-14
UGR	CBX2	0.191703837347177	1.44020396221065e-14
NR5A1	CBX2	0.18351663391943	1.86164132209538e-13
CBX2	NR5A1	0.18351663391943	1.86164132209542e-13
DMRT1	SRY	0.180428782009527	4.74281951157986e-13
SRY	DMRT1	0.180428782009527	4.74281951158026e-13
GATA4	WT1mKTS	0.150847572253934	1.6237874113857e-09
WT1mKTS	GATA4	0.150847572253934	1.62378741138572e-09
SRY	NR0B1	0.140391251015251	2.03351518165134e-08
NR0B1	SRY	0.140391251015251	2.03351518165136e-08
WNT4	RSPO1	0.138066589989718	3.48106799324732e-08
RSPO1	WNT4	0.138066589989718	3.48106799324742e-08
AMH	DHH	0.121677488988588	1.2014360963217e-06
DHH	AMH	0.121677488988588	1.20143609632172e-06
DHH	FGF9	0.119378734027635	1.90732613046256e-06
FGF9	DHH	0.119378734027635	1.90732613046259e-06
SRY	WT1pKTS	0.118257241876784	2.38245060665774e-06
WT1pKTS	SRY	0.118257241876784	2.38245060665775e-06
AMH	PGD2	0.117588890501721	2.71755494947358e-06
PGD2	AMH	0.117588890501721	2.71755494947362e-06
WT1mKTS	WT1pKTS	0.108300019086146	1.57286843168128e-05
WT1pKTS	WT1mKTS	0.108300019086146	1.57286843168129e-05
PGD2	DHH	0.107254883816724	1.90014565507183e-05
DHH	PGD2	0.107254883816724	1.90014565507189e-05
SOX9	DKK1	0.103059156729897	3.98907501466913e-05
DKK1	SOX9	0.103059156729897	3.98907501466915e-05
SOX9	DMRT1	0.100188671085763	6.52146155562251e-05
DMRT1	SOX9	0.100188671085762	6.52146155562267e-05
WT1pKTS	UGR	0.0986308132781361	8.46971593844086e-05
UGR	WT1pKTS	0.0986308132781359	8.46971593844108e-05
WT1pKTS	GATA4	0.0975044915530403	0.000102076776275445
GATA4	WT1pKTS	0.0975044915530402	0.000102076776275447
SOX9	NR5A1	0.0945645669949116	0.000164621274008832
NR5A1	SOX9	0.0945645669949116	0.000164621274008832
SOX9	DHH	0.0825758987844718	0.00100735749861834
DHH	SOX9	0.0825758987844717	0.00100735749861835
FOXL2	CTNNB1	0.0729512096360931	0.00368331557953068
CTNNB1	FOXL2	0.0729512096360931	0.00368331557953069
AMH	FGF9	0.0717611842284774	0.00428224817242759
FGF9	AMH	0.0717611842284773	0.00428224817242762
UGR	FOXL2	0.0711480739577963	0.00462409116002523
FOXL2	UGR	0.0711480739577963	0.00462409116002527
FGF9	PGD2	0.0682928226957648	0.00656402507631027
PGD2	FGF9	0.0682928226957648	0.00656402507631032
WT1pKTS	CBX2	0.0636363431890787	0.0113264676415071
CBX2	WT1pKTS	0.0636363431890787	0.0113264676415071
CTNNB1	NR0B1	0.0631288289955085	0.0119972771576915
NR0B1	CTNNB1	0.0631288289955084	0.0119972771576917
SOX9	PGD2	0.0546460660758087	0.0296971407908545
PGD2	SOX9	0.0546460660758087	0.0296971407908547
NR0B1	FOXL2	0.0542271689850143	0.030973274759482
FOXL2	NR0B1	0.0542271689850143	0.030973274759482
DMRT1	WT1pKTS	0.0540924440623547	0.0313935731922469
WT1pKTS	DMRT1	0.0540924440623547	0.031393573192247
NR0B1	RSPO1	0.0448369856695423	0.0745189604056498
RSPO1	NR0B1	0.0448369856695421	0.074518960405651
WT1pKTS	DKK1	0.0442324764896873	0.0785188482926015
DKK1	WT1pKTS	0.0442324764896873	0.0785188482926017
